Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	23:34:16	23:34:16	23:34:16			23:34:16	23:34:16	23:34:16	23:34:16	23:34:16	23:34:16	23:34:16	23:34:16	23:34:16	23:34:16	23:34:16	23:34:16	23:34:16			23:34:17	23:34:17		00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
1	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17			23:34:17	23:34:17		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
2	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17			23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17	23:34:17			23:34:18	23:34:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
3	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18			23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18			23:34:18	23:34:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
4	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18			23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18			23:34:18	23:34:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
5	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18			23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18			23:34:18	23:34:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
6	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18			23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18	23:34:18			23:34:19	23:34:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
7	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19			23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19			23:34:19	23:34:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
8	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19			23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19			23:34:19	23:34:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
9	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19			23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19	23:34:19			23:34:19	23:34:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
10	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20			23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
11	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20			23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20			23:34:20	23:34:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
12	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20			23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20			23:34:20	23:34:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
13	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20			23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20	23:34:20			23:34:21	23:34:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
14	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21			23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21			23:34:21	23:34:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
15	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21			23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21			23:34:21	23:34:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
16	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21			23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21			23:34:21	23:34:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
17	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21			23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21	23:34:21			23:34:22	23:34:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
18	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22			23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22			23:34:22	23:34:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
19	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22			23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22			23:34:22	23:34:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
20	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22			23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
21	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22			23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22	23:34:22			23:34:23	23:34:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
22	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23			23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23			23:34:23	23:34:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23			23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23			23:34:23	23:34:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
24	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23			23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23			23:34:23	23:34:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
25	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23			23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23	23:34:23			23:34:24	23:34:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
26	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24			23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24			23:34:24	23:34:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
27	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24			23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24			23:34:24	23:34:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
28	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24			23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24	23:34:24			23:34:25	23:34:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
29	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25			23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25			23:34:25	23:34:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
30	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25			23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
31	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25			23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25			23:34:25	23:34:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
32	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25			23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25	23:34:25			23:34:26	23:34:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
33	23:34:26	23:34:26	23:34:26	23:34:26	23:34:26	23:34:26			23:34:26	23:34:26	23:34:26	23:34:26	23:34:26	23:34:26	23:34:26	23:34:26	23:34:26	23:34:26			23:34:26	23:34:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
34	23:34:26	23:34:26	23:34:26	23:34:26	23:34:26	23:34:26			23:34:26	23:34:26	23:34:26	23:34:26	23:34:26	23:34:26	23:34:26	23:34:26	23:34:26	23:34:26			23:34:26	23:34:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
