Odawara,"35.25707,139.1559",,-
Kaisei,"35.32681,139.1357",,8.2
Shin-Matsuda,"35.34432,139.1388",,2.5
Shibusawa,"35.37390,139.1856",,6.2
Hadano,"35.36956,139.2269",,3.9
Tōkaidaigaku-mae,"35.37317,139.2713",,4.7
Tsurumaki-Onsen,"35.38099,139.2779",,1.1
Isehara,"35.39638,139.3144",,3.7
Aikō-Ishida,"35.41817,139.3447",,3.7
Hon-Atsugi,"35.43856,139.3636",,3.1
Ebina,"35.45355,139.3918",,2.9
Sagami-Ōno,"35.53329,139.4388",,10.2
Machida,"35.54471,139.4458",,1.5
Shin-Yurigaoka,"35.60306,139.5067",,9.3
Noborito,"35.62007,139.5688",,6.3
Shimo-Kitazawa,"35.66150,139.6672",,10.3
Yoyogi-Uehara,"35.66849,139.6788",,1.4
Shinjuku,"35.69047,139.6992",,3.5
