Chigasaki,"35.33122,139.4096",,-
Kita-Chigasaki,"35.33920,139.4077",,1.3
Kagawa,"35.35621,139.3999",,2.1
Samukawa,"35.36740,139.3877",,1.7
Miyayama,"35.38189,139.3797",,2.1
Kurami,"35.39466,139.3782",,1.4
Kadosawabashi,"35.40643,139.3802",,1.4
Shake,"35.42074,139.3772",,1.6
Atsugi,"35.44414,139.3786",,2.6
Ebina,"35.45443,139.3897",,1.7
Iriya,"35.47871,139.3917",,3
Sōbudaishita,"35.49329,139.3862",,1.7
Shimomizo,"35.51876,139.3803",,2.9
Harataima,"35.52925,139.3751",,1.3
Banda,"35.54510,139.3634",,2.1
Kamimizo,"35.55737,139.3633",,1.5
Minami-Hashimoto,"35.57982,139.3524",,2.9
Hashimoto,"35.59532,139.3442",,2
