Iteration	bike	car	walk
0	0	468076	0
1	1	248352	1
2	1	163144	2
3	1	118162	2
4	1	92457	2
5	1	81119	3
6	1	73296	3
7	1	68999	3
8	1	68787	3
9	1	66464	3
10	1	69356	3
11	1	71218	3
12	1	72252	3
13	1	69527	3
14	1	74188	3
15	1	72553	3
16	1	72231	3
17	1	75651	3
18	1	72084	3
19	1	73095	3
20	1	72451	3
21	1	74783	3
22	1	73067	3
23	1	75665	3
24	1	76777	3
25	1	71740	3
26	1	70551	3
27	1	73642	3
28	1	68633	3
29	1	72888	3
30	1	72879	3
31	1	73910	3
32	1	71501	3
33	1	74257	3
34	1	74522	3
35	1	74077	3
36	1	71685	3
37	1	75730	3
38	1	72504	3
39	1	72957	3
40	1	75872	3
41	1	73239	3
42	1	74128	3
43	1	73394	3
44	1	73866	3
45	1	71640	3
46	1	73907	3
47	1	74377	3
48	1	72510	3
49	1	71020	3
50	1	71933	3
