runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;8175;426.74;9602;773;515;352;88.8;96.46;893.46;5186.53;3189.17;1320.2;4.23;379;0.04
NA;1;8115;362.45;12351;715;442;267;91.02;97.54;856.76;4729.91;3191.77;1219.22;4.24;77;0.01
NA;2;7835;333.43;7519;700;447;268;91.16;97.8;783.32;4690.47;3189.51;1116.75;4.23;74;0.01
NA;3;7583;342.87;10900;689;440;261;91.9;97.93;764.74;4669.45;3195.36;1107.61;4.24;65;0.01
NA;4;7380;332.66;6546;684.95;441;265;91.94;97.89;736.3;4702;3192.66;1068.96;4.24;70;0.01
NA;5;7223;318.99;6147;678.8;443;259;92.09;98.35;728.04;4676.47;3195.44;1047.03;4.24;63;0.01
NA;6;7084;311.73;4823;658.75;430;256;92.66;98.63;713.56;4685.17;3197.13;1025.29;4.24;63;0.01
NA;7;6997;312.71;5491;658.1;435;258;92.91;98.49;711.42;4671.56;3199.72;1024.13;4.24;60;0.01
NA;8;6946;327.7;6589;686;437;259;91.74;98.11;728.2;4680.26;3202.23;1055.91;4.24;67;0.01
NA;9;6899;316;5671;665;436;259;92.58;98.74;712.85;4629.25;3195.56;1028.85;4.24;51;0.01
NA;10;6859;314.18;5332;655;437;261;92.8;98.51;717.59;4692.92;3200.84;1031.77;4.24;53;0.01
NA;11;6852;310.11;4786;661;434.75;256;92.53;98.72;710.32;4662.78;3199.69;1020.43;4.24;55;0.01
NA;12;6830;307.44;4533;642;432;259;92.94;99.11;701.19;4665.14;3198.31;1008.63;4.24;55;0.01
NA;13;6774;309.07;3888;657;435;256;92.66;98.89;709.23;4711.17;3199.71;1018.29;4.24;52;0.01
NA;14;6728;304.73;3193;626.55;431;258.5;93.52;99.05;698.24;4677.26;3192.02;1002.98;4.24;83;0.01
NA;15;6695;312.26;3546;661.2;439;259;92.34;98.61;702.44;4713.4;3187.03;1014.7;4.23;61;0.01
NA;16;6669;302.65;3394;637;428;254;92.98;99.09;700.83;4659.91;3181.28;1003.48;4.23;82;0.01
NA;17;6691;302.41;1987;634.4;427;253;93.51;99.1;700.12;4643.01;3178.81;1002.53;4.23;85;0.01
NA;18;6713;305.6;3652;647;428.5;256;92.98;98.96;707.6;4709.29;3179.91;1013.2;4.23;66;0.01
NA;19;6712;305.58;4046;644.05;427;255;93;99.02;701.73;4637.69;3173.3;1007.32;4.22;66;0.01
NA;20;6739;304.78;3621;635;426;256;93.49;98.93;708.41;4682.64;3181.34;1013.19;4.23;65;0.01
NA;21;6748;305.28;3328;643.55;430;257;92.72;99.13;709.6;4682.69;3178.98;1014.88;4.23;68;0.01
NA;22;6729;300.43;2452;623.5;427;253;93.68;99.33;700.37;4730.39;3191.01;1000.8;4.24;56;0.01
NA;23;6745;300.54;4046;621.7;426;253;93.74;99.23;694.74;4647.78;3187.28;995.27;4.23;48;0.01
NA;24;6738;301.46;2075;639;428;253;93.26;99.12;704.33;4733.28;3194.6;1005.79;4.24;55;0.01
NA;25;6732;306.12;2433;653;433;258;93.12;99.05;695.38;4700.12;3197.12;1001.5;4.24;51;0.01
