runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;8;173.5;250;250;240.75;166.5;100;100;193.38;1368.44;1368.44;366.88;2.96;0;0
NA;2;13;202.54;393;393;275;182;100;100;253.62;2199.51;2198.44;456.15;3.54;0;0
NA;3;22;179;421;404.8;211.75;165.5;100;100;197.86;1697.86;1697.23;376.86;3.21;0;0
NA;4;25;174.68;313;310;202;177;100;100;213.12;1598.43;1598.43;387.8;3.14;0;0
NA;5;25;169.96;613;523;181;138;96;100;216.44;1625.71;1624.34;386.4;3.16;0;0
NA;6;22;170.86;348;342.75;201.25;149;100;100;226.05;1750.56;1749.01;396.91;3.24;0;0
NA;7;23;174.39;313;312;197;177;100;100;217.43;1541.75;1537.93;391.83;3.09;0;0
NA;8;21;167.33;313;312.5;191;155;100;100;223.29;1601.74;1599.19;390.62;3.14;0;0
NA;9;24;178.46;313;311.75;231.25;177.5;100;100;211.08;1579.68;1577.45;389.54;3.12;0;0
NA;10;25;173.24;313;311.5;218;173;100;100;191.76;1519.81;1517.67;365;3.08;0;0
NA;11;25;179.56;313;311.5;216.5;182;100;100;224.96;1836.61;1834.46;404.52;3.3;0;0
NA;12;24;181.71;358;345.5;238.5;169;100;100;253.62;2187.82;2185.59;435.33;3.54;0;0
NA;13;31;171;320;312.8;208;159;100;100;253.77;2055.05;2053.33;424.77;3.45;0;0
NA;14;32;176.78;320;312.2;211.75;169;100;100;268.09;2187.79;2186.11;444.88;3.55;0;0
NA;15;32;182;320;312.2;230.25;185.5;100;100;267.41;2151.44;2063.97;449.41;3.46;0;0
NA;16;35;171.71;316;309.6;213;169;100;100;265.51;2008.8;2008.8;437.23;3.41;0;0
NA;17;34;171;308;306.5;207.75;170.5;100;100;228.97;1829.35;1829.35;399.97;3.29;1;0.03
NA;18;35;179.37;532;352.8;206;180;100;100;232.51;1881.14;1879.61;411.89;3.33;0;0
NA;19;30;173.77;308;301.95;206.5;182;100;100;228.07;1922.58;1922.19;401.83;3.36;0;0
NA;20;33;179.85;308;300.3;210.5;187;100;100;213.3;1808.49;1808.14;393.15;3.27;0;0
NA;21;27;186.41;308;303.6;229;194;100;100;232;1909.11;1904.55;418.41;3.34;0;0
NA;22;21;189;308;306.9;217.5;194;100;100;265.14;2143.16;2131.18;454.14;3.5;0;0
NA;23;28;185.39;406;388;213.25;182.5;100;100;260.71;2051.01;2041.71;446.11;3.43;0;0
NA;24;31;165.35;297;292.2;210;160;100;100;258.42;2075.12;2066.72;423.77;3.45;0;0
NA;25;31;171.81;297;292.2;210;180;100;100;272.77;2130.05;2121.65;444.58;3.49;0;0
