runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;383;0;0;NaN;0;0;0;0;NaN;NaN;1;383
NA;1;383;65338.35;26408.71;0.4;38929.63;170.6;68.95;101.64;0.6;1.68;0.99;380.6
NA;2;383;148660.89;60778.49;0.41;87882.4;388.15;158.69;229.46;0.59;1.69;0.99;379.22
NA;3;383;174086.96;79872.1;0.46;94214.86;454.54;208.54;245.99;0.54;1.85;0.99;378.88
NA;4;383;204891.45;90717.42;0.44;117390.2;534.96;236.86;306.5;0.57;1.83;0.99;378.43
NA;5;383;223501.28;100300.1;0.45;126417.35;583.55;261.88;330.07;0.57;1.84;0.99;378.44
NA;6;383;221104.41;104690.62;0.47;119629.96;577.3;273.34;312.35;0.54;1.93;0.99;377.52
NA;7;383;209832.23;94599.15;0.45;118449.25;547.86;247;309.27;0.56;1.87;0.99;377.38
NA;8;383;197640.61;86207.78;0.44;111432.83;516.03;225.09;290.95;0.56;1.78;0.98;376.53
NA;9;383;209755.32;102010.39;0.49;107744.93;547.66;266.35;281.32;0.51;1.95;0.99;377.87
NA;10;383;220829.16;104931.26;0.48;115897.9;576.58;273.97;302.61;0.52;1.91;0.98;376.89
NA;11;383;235132.25;102230.38;0.43;133578.02;613.92;266.92;348.77;0.57;1.79;0.99;377.53
NA;12;383;245740.37;104274.37;0.42;141466;641.62;272.26;369.36;0.58;1.74;0.99;377.81
NA;13;383;254240.86;98497.77;0.39;155743.1;663.81;257.17;406.64;0.61;1.63;0.99;377.39
NA;14;383;290847.07;111301.53;0.38;179545.54;759.39;290.6;468.79;0.62;1.62;0.99;377.6
NA;15;383;348475.35;135128.25;0.39;219735.01;909.86;352.82;573.72;0.63;1.64;0.98;376.91
NA;16;383;303706.8;112995.65;0.37;190974.81;792.97;295.03;498.63;0.63;1.6;0.98;376.33
NA;17;383;269479.6;93822.05;0.35;175657.55;703.6;244.97;458.64;0.65;1.53;0.98;376.47
NA;18;383;292656.83;109017.69;0.37;183639.13;764.12;284.64;479.48;0.63;1.59;0.98;377.08
NA;19;383;305248.17;113272.42;0.37;191975.75;796.99;295.75;501.24;0.63;1.59;0.98;376.21
NA;20;383;285121.05;104395.76;0.37;180725.29;744.44;272.57;471.87;0.63;1.58;0.98;375.28
NA;21;383;287493.26;100884.43;0.35;186608.83;750.64;263.41;487.23;0.65;1.54;0.98;374.41
NA;22;383;306851.26;104772.17;0.34;202079.09;801.18;273.56;527.62;0.66;1.52;0.99;378.58
NA;23;383;361430.61;120773.13;0.33;240657.48;943.68;315.33;628.35;0.67;1.5;0.99;377.57
NA;24;383;355289.45;127620.32;0.36;227669.13;927.65;333.21;594.44;0.64;1.56;0.99;377.8
NA;25;383;348632.6;129280.41;0.37;219352.19;910.27;337.55;572.72;0.63;1.59;0.99;377.75
