Iteration	bike	car	drt	pt	ride	walk
0	0.0	0.0	0.0	1.0	0.0	0.0
1	0.02302466816929627	0.026812546957175058	2.191334835962935E-4	0.9102178812922614	0.012302779864763335	0.027422990232907587
2	0.041713623841723016	0.04681630353117956	3.756574004507889E-4	0.8379664412722264	0.02221074380165289	0.05091723015276734
3	0.05689644377660907	0.06217129977460556	5.321813173052842E-4	0.7831674179814676	0.028549962434259956	0.06868269471575257
4	0.06874530428249437	0.07607062359128475	5.947908840470824E-4	0.7357563235662409	0.03490483345855247	0.08392812421738041
5	0.07771412471825695	0.08716816929626847	5.947908840470824E-4	0.6992236413724017	0.039428374655647386	0.09587089907337841
6	0.08596293513648885	0.09522915101427498	5.947908840470824E-4	0.6709084648134235	0.04409278737791134	0.10321187077385424
7	0.09101865765088905	0.10305534685699975	6.260956674179815E-4	0.6473829201101928	0.04608064112196344	0.11183633859253694
8	0.09715439519158528	0.10761019283746556	5.165289256198347E-4	0.6293670172802405	0.04855371900826446	0.11679814675682444
9	0.10067618332081142	0.11241547708489857	6.10443275732532E-4	0.6140746306035563	0.05094853493613824	0.12127473077886301
10	0.10314926120711244	0.11646944653143	5.947908840470824E-4	0.6023979464062109	0.05190333082895066	0.12548522414224894
11	0.10490232907588279	0.11922426746806912	5.634861006761833E-4	0.5918325820185324	0.053437265214124716	0.13004007012271476
12	0.10693713999499123	0.12096168294515403	5.634861006761833E-4	0.5851020535937891	0.05440771349862259	0.13202792386676684
13	0.10922238918106687	0.12271475081392437	6.887052341597796E-4	0.5788410969196093	0.055550338091660406	0.13298271975957926
14	0.11023979464062109	0.12376346105684949	7.669671925870273E-4	0.5742236413724017	0.05722514400200351	0.1337809917355372
15	0.11033370899073379	0.1248434760831455	7.982719759579264E-4	0.5698409717004759	0.05808602554470323	0.13609754570498372
16	0.11199286250939143	0.1248434760831455	7.982719759579264E-4	0.5676652892561983	0.05788254445279239	0.1368175557225144
17	0.1129007012271475	0.1254382669671926	7.669671925870273E-4	0.5654426496368645	0.05808602554470323	0.13736538943150514
18	0.11221199599298773	0.12700350613573755	7.982719759579264E-4	0.5642217630853994	0.05847733533683947	0.1372871274730779
19	0.1114137240170298	0.1272069872276484	7.356624092161282E-4	0.5623591284748309	0.05897821187077385	0.13930628600050088
20	0.11343288254445279	0.12604871024292513	7.669671925870273E-4	0.5624843476083146	0.057726020535937894	0.13954107187578263
21	0.11261895817680942	0.1274887302779865	7.200100175306787E-4	0.5606686701728024	0.05833646381167042	0.1401671675432006
22	0.11302592036063111	0.127019158527423	6.10443275732532E-4	0.5598703981968445	0.0591816929626847	0.1402923866766842
23	0.11371462559479088	0.12618958176809417	7.200100175306787E-4	0.5590721262208865	0.05910343100425745	0.14120022539444027
24	0.11435637365389431	0.12625219133483595	7.826195842724769E-4	0.5587277736038067	0.05936952166291009	0.14051152016028048
25	0.1144815927873779	0.12593914350112698	7.200100175306787E-4	0.5572877535687453	0.05988605058852993	0.1416854495366892
