runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;32;210.06;508;504.1;244.25;187.5;100;100;216.44;1612.6;1612.6;426.5;3.13;0;0
NA;2;61;199.89;580;440.3;227;174;100;100;248.61;2187.46;2187.25;448.49;3.55;0;0
NA;3;68;197.04;580;413.35;226.75;172;100;100;256.91;2320.05;2317.89;453.96;3.64;0;0
NA;4;85;204.78;583;406.8;231;187;100;100;275.15;2305.62;2242.72;479.93;3.59;0;0
NA;5;95;185.61;613;363.8;212;171;98.95;100;271.59;2221.79;2164.81;457.2;3.53;0;0
NA;6;93;187.58;495;351.3;214;180;100;100;301.28;2531.17;2472.82;488.86;3.74;0;0
NA;7;102;192.41;417;344.55;221.25;180;100;100;316.1;2693.57;2628.46;508.51;3.85;1;0.01
NA;8;101;201.29;698;362.4;243.5;185;99.01;100;307.51;2606.77;2584.03;508.8;3.82;0;0
NA;9;110;197.97;698;357.15;241.5;182.5;99.09;100;302.15;2657.23;2637.75;500.13;3.86;0;0
NA;10;108;195.69;699;351.9;225.5;181.5;99.07;100;274.55;2375.18;2356.15;470.24;3.67;0;0
NA;11;114;194.16;718;316.25;221.5;180;99.12;100;282.98;2376.35;2316.95;477.14;3.64;0;0
NA;12;105;189.47;718;323.7;220;176;99.05;100;286.82;2480.36;2460.79;476.29;3.73;0;0
NA;13;113;187.74;795;332.3;222.5;176;99.12;100;293.94;2490.03;2471.55;481.68;3.75;1;0.01
NA;14;120;185.8;440;350.95;229.5;174.5;100;100;299.1;2639.98;2636.97;484.9;3.86;1;0.01
NA;15;124;194.44;606;402;239.25;178;99.19;100;324.81;2878.13;2794.65;519.25;3.97;0;0
NA;16;118;182.86;542;359.8;205.25;168;100;100;310.29;2639.31;2624.27;493.14;3.85;0;0
NA;17;114;176.5;567;319.5;187;156.5;100;100;297.89;2510.65;2472.58;474.39;3.74;0;0
NA;18;113;186.83;849;333;205.5;160;98.23;100;284.88;2444.37;2407.06;471.72;3.7;1;0.01
NA;19;117;188.65;849;327;209;170;99.15;100;289.77;2502.64;2466.73;478.42;3.74;0;0
NA;20;116;181.9;849;318.05;201;165.5;98.28;100;280.06;2483.3;2482.67;461.96;3.75;0;0
NA;21;113;191.19;849;392.1;213.5;176;99.12;100;284.09;2393.92;2392.29;475.28;3.68;0;0
NA;22;113;192.76;555;367.8;234;170;100;100;328.92;2732.35;2683.21;521.68;3.89;0;0
NA;23;124;193.03;531;437.5;230.25;170;100;100;338.22;2822.62;2775.48;531.25;3.95;0;0
NA;24;122;173.57;531;296.7;210;159;100;100;320.18;2705.02;2701.78;493.75;3.9;0;0
NA;25;116;180.88;486;316.45;220.75;167;100;100;327.78;2621.23;2614.97;508.66;3.84;0;0
