runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;8637.74;16149.03;0;0;0
NA;2;20961.05;41396.62;0;0;0
NA;3;32754.83;46825.1;0;0;0
NA;4;41313.67;49432.84;0;0;0
NA;5;42130.57;50114.93;0;0;0
NA;6;47849.67;45789.46;0;0;0
NA;7;46542.62;43945.07;0;0;0
NA;8;31769.85;42121.53;0;0;0
NA;9;35398.41;46287.53;0;0;0
NA;10;33960.61;47994.43;0;0;0
NA;11;34755.88;50285.78;0;0;0
NA;12;32081.26;55724.8;0;0;0
NA;13;34480.99;69310.62;0;0;0
NA;14;36599.09;78641.39;0;0;0
NA;15;40532.2;73750.99;2328.21;0;0
NA;16;42719.71;74569.66;0;0;0
NA;17;36531.83;66752.69;0;0;0
NA;18;46281.13;80209.36;0;0;0
NA;19;41329.74;73489.56;0;0;0
NA;20;39084.61;84590.99;0;0;0
NA;21;36597.38;74770.5;0;0;0
NA;22;31380.3;68911.9;0;0;0
NA;23;37176.49;77617.87;0;0;0
NA;24;38081.37;78941.72;0;0;0
NA;25;36974.98;78974.89;0;0;0
