runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;383;0;0;NaN;0;0;0;0;NaN;NaN;1;383
NA;1;383;24786.77;8637.74;0.35;16149.03;64.72;22.55;42.16;0.65;1.53;1;381.13
NA;2;383;62357.67;20961.05;0.34;41396.62;162.81;54.73;108.09;0.66;1.51;1;381.13
NA;3;383;79579.93;32754.83;0.41;46825.1;207.78;85.52;122.26;0.59;1.7;0.99;381.07
NA;4;383;90746.51;41313.67;0.46;49432.84;236.94;107.87;129.07;0.54;1.84;0.99;380.31
NA;5;383;92245.51;42130.57;0.46;50114.93;240.85;110;130.85;0.54;1.84;0.99;380.16
NA;6;383;93639.14;47849.67;0.51;45789.46;244.49;124.93;119.55;0.49;2.05;0.99;380.16
NA;7;383;90487.69;46542.62;0.51;43945.07;236.26;121.52;114.74;0.49;2.06;0.99;380.37
NA;8;383;73891.38;31769.85;0.43;42121.53;192.93;82.95;109.98;0.57;1.76;0.99;380.37
NA;9;383;81685.94;35398.41;0.43;46287.53;213.28;92.42;120.86;0.57;1.77;1;381.17
NA;10;383;81955.04;33960.61;0.41;47994.43;213.98;88.67;125.31;0.59;1.71;0.99;381.04
NA;11;383;85041.66;34755.88;0.41;50285.78;222.04;90.75;131.29;0.59;1.69;0.99;381.05
NA;12;383;87806.06;32081.26;0.37;55724.8;229.26;83.76;145.5;0.63;1.58;0.99;381.05
NA;13;383;103791.61;34480.99;0.33;69310.62;271;90.03;180.97;0.67;1.5;0.99;380.29
NA;14;383;115240.48;36599.09;0.32;78641.39;300.89;95.56;205.33;0.68;1.47;0.99;380.29
NA;15;383;116611.4;40532.2;0.35;78407.41;304.47;105.83;204.72;0.67;1.55;0.99;381
NA;16;383;117289.37;42719.71;0.36;74569.66;306.24;111.54;194.7;0.64;1.58;0.99;381
NA;17;383;103284.52;36531.83;0.35;66752.69;269.67;95.38;174.29;0.65;1.55;0.99;380.63
NA;18;383;126490.48;46281.13;0.37;80209.36;330.26;120.84;209.42;0.63;1.58;0.99;380.1
NA;19;383;114819.3;41329.74;0.36;73489.56;299.79;107.91;191.88;0.64;1.56;0.99;380.11
NA;20;383;123675.6;39084.61;0.32;84590.99;322.91;102.05;220.86;0.68;1.46;0.99;380.63
NA;21;383;111367.89;36597.38;0.33;74770.5;290.78;95.55;195.22;0.67;1.49;0.99;379.8
NA;22;383;100292.2;31380.3;0.31;68911.9;261.86;81.93;179.93;0.69;1.46;0.99;381
NA;23;383;114794.36;37176.49;0.32;77617.87;299.72;97.07;202.66;0.68;1.48;0.99;379.32
NA;24;383;117023.09;38081.37;0.33;78941.72;305.54;99.43;206.11;0.67;1.49;0.99;379.22
NA;25;383;115949.86;36974.98;0.32;78974.89;302.74;96.54;206.2;0.68;1.47;0.99;379.36
