runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;9738;297.36;11132;640;379;207;93.72;97.99;807.53;4428.24;3136.14;1104.89;156.81;14;0
NA;1;9481;278.92;6949;656;365;192;93.54;98.16;748.14;4359.26;3132.02;1027.07;156.6;11;0
NA;2;9307;265.03;4504;637.6;360;191;93.8;98.51;712.21;4368.88;3131.08;977.24;156.55;7;0
NA;3;9138;261.42;2978;636;362;190;93.8;98.84;688.46;4369.08;3128.94;949.88;156.45;6;0
NA;4;8984;260.74;2772;634.75;359;191;93.79;98.76;685.49;4363.73;3135.26;946.24;156.76;6;0
NA;5;8868;256.32;3049;619.55;357;187;94.18;98.92;674.7;4354.94;3132.97;931.02;156.65;7;0
NA;6;8750;257.04;3170;620;354;190;94.32;98.88;681.92;4380.06;3133.3;938.96;156.67;11;0
NA;7;8704;254.32;3037;616;353;186;94.24;98.99;667.63;4352.7;3124.34;921.94;156.22;8;0
NA;8;8670;255.5;1869;628;356;188;93.96;99.07;658.67;4332.48;3117.41;914.17;155.87;12;0
NA;9;8671;252;1338;612;356;186;94.3;99.31;663.11;4334.25;3120.81;915.11;156.04;7;0
NA;10;8670;254.63;1902;624.45;356.25;189;93.91;99.13;660.17;4349.22;3106.48;914.8;155.32;7;0
NA;11;8632;254.49;3724;619;356;189;94.17;99.37;663.34;4340.28;3115.1;917.83;155.76;10;0
NA;12;8576;253.9;1862;625;354.75;185;93.83;99.22;662.34;4343.29;3122.18;916.24;156.11;7;0
NA;13;8559;251.06;1878;611;352;184;94.45;99.25;652.66;4335.14;3115.49;903.72;155.77;8;0
NA;14;8551;251.81;1874;612;352;184;94.19;99.19;662.9;4354.55;3116.35;914.71;155.82;9;0
NA;15;8491;250.65;1766;613;350;185;94.43;99.32;658.21;4356.06;3115.23;908.87;155.76;14;0
NA;16;8478;256.09;2898;618.05;355;188;94.16;98.91;665.91;4381.46;3120.69;922;156.03;12;0
NA;17;8479;254.99;2843;615;361;187;94.34;99.17;662.38;4343.73;3121.68;917.37;156.08;10;0
NA;18;8511;257.51;2389;631;362;185;93.89;98.87;658.3;4318.63;3114.01;915.81;155.7;8;0
NA;19;8457;251.75;1930;607;357;187;94.56;99.43;648.74;4310.5;3097.25;900.49;154.86;8;0
NA;20;8493;249.38;2410;605;347;184;94.64;99.38;649.73;4309.45;3094.63;899.11;154.73;8;0
