runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;9267;530.01;17919;913.6;522;356;87.36;94.93;1007.52;5272.91;3133.79;1537.53;156.69;473;0.05
NA;1;9414;355.91;11003;712;461.25;279;90.32;97.5;853.12;4688.16;3141.73;1209.03;157.09;74;0.01
NA;2;9232;343.88;9006;732;456;274;90.63;97.42;792.92;4726.25;3138.13;1136.8;156.91;70;0.01
NA;3;9058;355.25;8828;742;463;271;90.19;96.98;805.02;4691.35;3137;1160.27;156.85;75;0.01
NA;4;8897;329.41;6682;693;455;271;91.1;98.18;760.08;4690.62;3137.33;1089.49;156.87;68;0.01
NA;5;8797;330;7356;699.1;453;270;91.2;98.22;759.23;4650.1;3132.7;1089.23;156.63;59;0.01
NA;6;8660;334.94;7606;708;458;274;90.62;98.03;750.82;4694.85;3136.86;1085.75;156.84;70;0.01
NA;7;8608;327.75;3481;697.55;455;271;90.57;98.08;745.71;4716.74;3128.45;1073.46;156.42;71;0.01
NA;8;8588;325.3;2824;700;452;272;90.73;98.29;738.31;4632.49;3118.13;1063.61;155.91;73;0.01
NA;9;8572;319.8;3960;687;447;269;91.24;98.66;723.42;4624.63;3121.13;1043.22;156.06;87;0.01
NA;10;8588;320.84;4975;690;447;267;91.44;98.6;747.45;4664.46;3110.78;1068.29;155.54;65;0.01
NA;11;8552;326.91;6790;692;449;268;90.89;98.54;749.8;4690.52;3118.2;1076.71;155.91;75;0.01
NA;12;8504;319.35;4317;673;449.75;266;91.49;98.57;736.67;4680.59;3122.48;1056.02;156.12;66;0.01
NA;13;8502;323.38;4752;691;450;263;90.6;98.55;742.48;4706.28;3119.69;1065.86;155.98;56;0.01
NA;14;8486;324.12;3552;683.65;452;267;90.84;98.4;732.78;4673.89;3115.4;1056.9;155.77;64;0.01
NA;15;8441;321.45;5786;674;445;265;91.56;98.78;721.23;4657.68;3115.54;1042.68;155.78;67;0.01
NA;16;8441;324.25;4386;678.9;450;270;91.09;98.66;730.9;4690.98;3125.2;1055.15;156.26;62;0.01
NA;17;8418;322.46;2368;684.05;449.25;271;90.91;98.61;731.17;4678.52;3123.75;1053.63;156.19;76;0.01
NA;18;8446;326.48;5764;679;451;271;91.42;98.73;736.08;4664.45;3113;1062.56;155.65;80;0.01
NA;19;8416;321.71;5958;688;451;264;91.01;98.68;721.65;4622.68;3101.54;1043.36;155.08;56;0.01
NA;20;8460;328.1;5421;693;453;271;91.02;98.12;727.46;4625.23;3095.51;1055.56;154.78;59;0.01
