runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;5430454.39;13768084.37;6583034.72;3877755.79;2574162.88
NA;1;12142737.71;14954368.33;5853747.95;2919918.39;2178184.15
NA;2;11532174.68;14726692.2;5692379.4;2980395.84;2145028.89
NA;3;11260594.86;14813785.28;5509839.17;2969502.74;1938063.16
NA;4;11016045.6;14542349.85;5412471.67;3004501.01;1837903.62
NA;5;10854697.26;14518863.31;5313681.88;2784659.86;1851670.67
NA;6;10590490.7;14220562.95;5378087.18;2774371.59;1839384.28
NA;7;10426863.83;14213022.62;5191990.55;2770032.73;1923643.38
NA;8;10588670.42;14106058.66;5221823.53;2709586.49;1776347.86
NA;9;10367777.04;14269552.99;5215443.4;2666173.03;1735844.11
NA;10;10406970.34;14030578.62;5256098.04;2834226.52;1753222.17
NA;11;10461460.16;14175719.94;5245020.89;2732340.4;1812639.13
NA;12;10507219.35;14192141.22;5080119.35;2665768.25;1863509.94
NA;13;10338161.84;14116667.2;5102165.38;2750387.12;1860152.27
NA;14;10321778.02;14095117.49;5169860.56;2669262.78;1804992.07
NA;15;10333474.79;14244314.78;5064149.53;2591278.83;1792260.79
NA;16;10371852.58;13933979.4;5267944.57;2691056.38;1763373.2
NA;17;10356028.31;13904826.42;5191997.59;2749337.82;1711733.04
NA;18;10330812.45;14104916.94;5136591.11;2693022.38;1734696.74
NA;19;10182345.08;14030761.54;5014421.48;2680653.64;1700737.81
NA;20;10274406.88;13946951.69;5119832.53;2671993.08;1731717.96
