departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
20.0;81032004011-2;drt334;39433598_1;382163.19;3950970.52;39436467_0;382350.83;3951554.12;136.0;302.0;146.0;932.84;932.84;-46.64;620;1670.17
30.0;42124022751-4;drt90;80141194_0;338928.17;3915560.19;34916619_0;351311.83;3923229.25;87.0;2080.0;1963.0;17777.38;16390.18;-819.51;630;6031.4
42.0;31127120851-2;drt234;75031595_4;383711.8;3947490.3;199330050_0_r;375845.56;3946846.23;189.0;1169.0;938.0;9290.28;9290.28;-464.51;642;3939.8
548.0;31124062371-4;drt2;48671202_0;379620.45;3945318.91;116432483_0_r;377640.56;3945203.63;150.0;1061.0;363.0;2169.86;2169.86;-108.49;1148;2787.31
924.0;31124037151-2;drt83;182823065_0;382638.94;3946930.55;154464490_0_r;379565.65;3945041.67;93.0;1278.0;261.0;3969.5;3969.5;-198.47;1524;2875.2
1026.0;42147014951-2;drt90;113005017_0_r;345493.28;3919143.93;817988024_0_r;345651.58;3919035.36;158.0;1227.0;43.0;323.26;323.26;-16.16;1626;2352.67
1209.0;42063036331-3;drt176;320129721_0;333951.19;3905943.02;34099480_3;334419.76;3905169.08;225.0;1626.0;192.0;1415.92;1415.92;-70.8;1809;2977.66
1976.0;31123027201-3;drt365;199121804_7;376627.86;3946111.09;56193035_2;377602.1;3944640.42;156.0;2459.0;327.0;2663.53;2630.08;-131.5;2576;4087.79
2253.0;31157191992-5;drt153;276139679_0_r;375858.11;3949501.8;263041982_1;376590.2;3950937.76;167.0;2725.0;305.0;1919.7;1919.7;-95.98;2853;4344.53
2736.0;42154010241-2;drt213;128194837_0;356213.73;3925936.93;36877579_1;353880.87;3924260.94;111.0;3400.0;553.0;3647.91;3479.2;-173.96;3336;5424.29
3030.0;31124023311-6;drt236;41857233_0;382610.89;3947593.31;73172411_0;378114.43;3944119.95;121.0;3619.0;468.0;6601.88;6601.88;-330.09;3630;5610.08
3034.0;31123045483-2;drt149;105277676_0_r;376153.04;3947930.42;248924729_0;374731.28;3950101.6;204.0;3491.0;253.0;3469.27;3469.27;-173.46;3634;4954.14
3038.0;42164006633-4;drt258;598658745_5;356205.35;3929876.37;167192155_0_r;355792.42;3929853.63;156.0;3303.0;109.0;646.85;646.85;-32.34;3638;4553.71
3656.0;31127130081-3;drt37;931455736_1;382544.55;3947057.84;318031651_0_r;380089.27;3946595.34;119.0;4128.0;353.0;3793.73;3793.73;-189.69;4256;5870.77
11934.0;31127119452-2;drt264;145227810_1;386045.08;3949202.66;31151303_0;385984.62;3950013.02;211.0;12308.0;163.0;1153.05;1099.65;-54.98;12534;13595
13307.0;31157237961-2;drt208;420736711_1;386015.2;3946919;145227810_1;386045.08;3949202.66;206.0;13792.0;279.0;3042.96;3042.96;-152.15;13907;15293.74
14172.0;31157244751-1;drt12;768749280_0;378160.28;3950161.14;101715922_1;378165.76;3952042.52;141.0;14626.0;313.0;2299.04;2285.18;-114.26;14772;16254.92
14416.0;32193004471-1;drt356;243306765_0_r;370700.21;3945471.01;46149175_0_r;370545.42;3942787.21;103.0;15127.0;608.0;3819.17;3819.17;-190.96;15016;17428.7
14421.0;91535014171-1;drt9;143948943_0_r;359183.51;3932324.53;36988296_0;359125.21;3934215.29;175.0;14921.0;325.0;2769.25;2769.25;-138.46;15021;16594.84
14427.0;42113021231-1;drt175;204757759_1;339343.78;3914337.43;311773767_2;342980.46;3915777.75;344.0;15698.0;927.0;6060.49;4705.81;-235.29;15027;17595.64
14432.0;31127122811-1;drt373;47195857_0;377280.96;3947746.63;116432430_6;378245.04;3945280.23;102.0;15147.0;613.0;3658.41;3658.41;-182.92;15032;17404.95
14433.0;43844002911-1;drt141;215423832_0;331383.27;3904302.52;308807350_0;332285.31;3902961.8;224.0;15006.0;349.0;2476.19;2389.91;-119.5;15033;16629.53
14476.0;31093064401-1;drt86;23648313_0;383730.01;3949190.33;1069102646_1;382511.31;3949612.85;155.0;14848.0;217.0;1539.59;1539.59;-76.98;15076;16324.46
14727.0;91524008281-1;drt170;192219687_5;356078.34;3936427.47;432064320_6;355769.72;3937611.89;118.0;15065.0;220.0;1356.96;1356.96;-67.85;15327;16586.61
14808.0;32097077551-1;drt117;25437552_0;351948.07;3932122.17;201354172_2;352984.34;3933830.12;509.0;15791.0;474.0;3097.39;3097.39;-154.87;15408;17393.58
15310.0;31155017281-1;drt214;46626351_2;376671.01;3948110.19;199121804_7;376627.86;3946111.09;140.0;15869.0;419.0;3123.08;3123.08;-156.15;15910;17708.35
15311.0;91533015561-1;drt258;552593576_0_r;355706.23;3930422.77;1194917323_0;356999.67;3931327.41;201.0;15889.0;377.0;2412.92;2412.92;-120.65;15911;17634.61
15317.0;42114013901-1;drt175;1071936938_0;342473.14;3914996.97;106352742_0;343528.04;3916660.49;182.0;15995.0;496.0;3038.53;2896.21;-144.81;15917;17709.49
15607.0;32194001001-1;drt46;1137814248_0;372482.5;3943736.38;376661471_1;370864.38;3943569.87;126.0;16034.0;301.0;1891.13;1891.13;-94.56;16207;17684.66
15609.0;42141008661-1;drt243;113654895_1;345637.15;3919654.9;46888502_5;346833.59;3918301.18;118.0;16039.0;312.0;2314.79;2314.79;-115.74;16209;17733.35
15623.0;32083022542-1;drt88;1167516166_0;369813.32;3945153.4;360372742_1;371208.18;3944091.11;182.0;16186.0;381.0;2274.18;2274.18;-113.71;16223;17962.08
15719.0;61354045964-2;drt290;282545121_0_r;378749;3950446.44;34952472_0;380500.85;3948069.59;228.0;16387.0;440.0;4510.65;4510.65;-225.53;16319;18194.65
15920.0;31157119901-1;drt22;40008686_0_r;376719.22;3947949.7;36985681_0_r;377528.27;3946392.83;245.0;16461.0;296.0;2295.43;2295.43;-114.77;16520;17974.68
15931.0;42164003753-1;drt298;636657118_0_r;355958.28;3930413.81;286837418_4;355685.51;3929534.63;207.0;16351.0;213.0;1254.79;1254.79;-62.74;16531;17788.45
