vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drt830;17618.53;16184.46;1434.06;28227.25
drt831;48656.21;46918.24;1737.98;92957.31
drt832;20585.74;19220.23;1365.51;39263.22
drt833;11001.2;10163.41;837.8;13039.86
drt834;11021.36;10433.71;587.65;11127.27
drt835;0;0;0;0
drt836;39763.62;8996.67;30766.95;10152.08
drt837;34247.09;28273.95;5973.14;45612.94
drt838;19690.54;13765.45;5925.09;16978.81
drt839;36336.15;34985.56;1350.59;72404.59
drt820;28352.07;26199.45;2152.62;48750.66
drt821;25248.15;23525.7;1722.45;48025.16
drt822;10626.51;10263.07;363.44;10263.07
drt823;2690.95;2515.55;175.41;4808.82
drt824;35052.72;34212.44;840.28;70479.82
drt825;7874.46;7185.95;688.51;7185.95
drt826;6215.36;5908.41;306.95;5908.41
drt827;11020.2;4347.83;6672.37;16609.58
drt828;41104.58;19852.57;21252;21206.99
drt829;0;0;0;0
drt850;20994.58;19795.99;1198.59;38633.15
drt851;42181.66;34703.96;7477.7;50238.47
drt610;82632.14;11228.93;71403.21;11228.93
drt852;0;0;0;0
drt611;43032.44;23123.95;19908.49;34037.29
drt853;0;0;0;0
drt612;0;0;0;0
drt854;18144.94;15669.17;2475.77;41033.01
drt613;3675.94;2377.98;1297.95;2377.98
drt855;18940.07;18754.14;185.93;52750.28
drt614;22712.31;20792.71;1919.59;33009.76
drt856;11014.27;10727.63;286.65;15726.41
drt615;85887.64;55189.3;30698.33;64744.07
drt857;19145.2;15443.11;3702.09;18064.09
drt616;12202.15;10203.43;1998.72;10203.43
drt858;66620.45;46183.31;20437.14;61994.83
drt617;19010.26;18473.83;536.43;46376.81
drt859;44397.56;27346.91;17050.65;55376
drt618;56063.48;47265.25;8798.23;83024.65
drt619;27051.54;15996.03;11055.51;15996.03
drt840;35007.78;6749.15;28258.63;6749.15
drt841;26115.55;21585.65;4529.9;24945.14
drt600;34062.38;23996.81;10065.58;43206.12
drt842;43532.52;21026.43;22506.09;24099.48
drt601;64952.06;24711.69;40240.38;29427.88
drt843;8077.67;7636.99;440.68;7636.99
drt602;25706.56;19638.87;6067.69;38439.53
drt844;50342;27633.73;22708.27;41670.14
drt603;41672.38;27515.07;14157.32;38169.36
drt845;2449.95;2077.46;372.5;2077.46
drt604;14007.17;12397.14;1610.03;16302.61
drt846;0;0;0;0
drt605;32175.03;20032.68;12142.34;20032.68
drt847;22747.2;22173.13;574.07;47166.82
drt606;30756.53;22447.72;8308.81;25910.47
drt848;22309.08;12862.37;9446.71;23297.46
drt607;29019;21916.26;7102.74;29200.72
drt849;10169.45;9736.38;433.08;25497
drt608;24592.18;21332.65;3259.53;23638.91
drt609;62258.01;46440.22;15817.79;84848.15
drt870;5262.31;4895;367.31;5980.98
drt871;48514.07;43103.81;5410.26;79539.56
drt630;17284.39;16650.42;633.98;16650.42
drt872;40805.19;9754.36;31050.83;12934.58
drt631;3743.99;3017.97;726.02;5521.2
drt873;60077.45;18268.68;41808.77;20339.74
drt632;13973.03;11061.29;2911.74;11061.29
