zone;centerX;centerY;nRequests;sumWaitTime;meanWaitTime;min;max;p95;p90;p80;p75;p50
1;329083.2821588827;3899710.390773128;1;61;61.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0
10;331393.4543082903;3901516.4385849386;12;3126;260.5;61.0;512.0;512.0;478.10000000000014;364.8;334.0;237.0
100;329399.12241439725;3916350.4995232723;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
101;330447.5574759205;3911706.6962707443;3;1797;599.0;263.0;951.0;951.0;951.0;951.0;951.0;583.0
102;331583.84108944883;3911685.3264242904;3;383;127.66666666666667;111.0;153.0;153.0;153.0;153.0;153.0;119.0
103;332720.12202282384;3911664.100150668;2;334;167.0;166.0;168.0;168.0;168.0;168.0;168.0;167.0
104;333856.40029405616;3911643.017446829;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
105;334992.67592116643;3911622.0783097385;1;214;214.0;214.0;214.0;214.0;214.0;214.0;214.0;214.0
106;336128.9489221673;3911601.282736384;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
107;337265.21931508055;3911580.630723778;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
108;338401.48711792834;3911560.12226895;1;625;625.0;625.0;625.0;625.0;625.0;625.0;625.0;625.0
109;339537.75234872487;3911539.7573689506;1;61;61.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0
11;332531.0186504446;3901495.236325163;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
110;340674.0150254953;3911519.5360208503;1;61;61.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0
111;330465.00365422055;3912631.1497325525;20;3389;169.45;37.0;451.0;447.34999999999997;373.30000000000007;299.6000000000001;190.0;170.0
112;331601.17044721305;3912609.7776991334;5;1697;339.4;114.0;970.0;970.0;970.0;823.6000000000005;604.0;195.0
113;332737.33456254535;3912588.549253197;1;114;114.0;114.0;114.0;114.0;114.0;114.0;114.0;114.0
114;333873.4960182085;3912567.464391693;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
115;335009.6548322063;3912546.5231115916;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
116;336145.81102253846;3912525.7254098803;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
117;337281.9646072065;3912505.0712835696;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
118;338418.1156042161;3912484.5607296904;4;614;153.5;124.0;184.0;184.0;184.0;184.0;183.5;153.0
119;339554.26403156645;3912464.193745295;3;811;270.3333333333333;222.0;326.0;326.0;326.0;326.0;326.0;263.0
120;340690.4099072635;3912443.9703274556;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
121;330482.4534331519;3913555.6043473682;4;1190;297.5;112.0;726.0;726.0;726.0;726.0;600.5;176.0
122;332754.5506547441;3913512.9995123306;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
123;333890.5952707625;3913491.9124949467;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
124;335026.6372475738;3913470.969073605;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
125;336162.6766031597;3913450.169245294;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
126;337298.71335550497;3913429.5130070243;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
127;338434.7475226007;3913409.000355829;7;2143;306.14285714285717;158.0;696.0;696.0;696.0;511.8000000000001;389.0;243.0
128;339570.7791224265;3913388.6312887594;2;415;207.5;139.0;276.0;276.0;276.0;276.0;276.0;207.5
129;340706.8081729739;3913368.405802887;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
13;329135.84058886924;3902483.7163482932;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
130;332771.77029906923;3914437.4509281903;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
131;333907.6980513689;3914416.361756708;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
132;335043.62316691864;3914395.416195895;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
133;336179.54566368373;3914374.614242743;1;342;342.0;342.0;342.0;342.0;342.0;342.0;342.0;342.0
134;337315.4655596342;3914353.95589426;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
135;338451.3828727407;3914333.441147483;2;383;191.5;112.0;271.0;271.0;271.0;271.0;271.0;191.5
136;339587.29762096796;3914313.0699994615;5;1619;323.8;178.0;698.0;698.0;698.0;627.2000000000003;521.0;201.0
137;340723.2098222905;3914292.8424472655;1;865;865.0;865.0;865.0;865.0;865.0;865.0;865.0;865.0
138;332788.9934951673;3915361.9035008904;7;2361;337.2857142857143;228.0;467.0;467.0;467.0;414.8;380.0;369.0
139;333924.80435967626;3915340.812177095;1;243;243.0;243.0;243.0;243.0;243.0;243.0;243.0;243.0
14;329153.36732334236;3903408.1605063123;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
140;335060.6125898931;3915319.8644785816;4;759;189.75;175.0;216.0;216.0;216.0;216.0;208.25;184.0
141;336196.41820376687;3915299.060402346;4;1140;285.0;112.0;432.0;432.0;432.0;432.0;431.25;298.0
142;337332.22121924907;3915278.3999453974;3;1295;431.6666666666667;115.0;690.0;690.0;690.0;690.0;690.0;490.0
143;338468.0216542947;3915257.88310477;37;11118;300.4864864864865;35.0;1079.0;979.1000000000001;658.4000000000001;597.8000000000002;464.0;147.0
144;339603.8195268515;3915237.5098775188;5;1440;288.0;127.0;579.0;579.0;579.0;533.4000000000001;465.0;192.0
145;340739.61485487694;3915217.280260711;1;434;434.0;434.0;434.0;434.0;434.0;434.0;434.0;434.0
146;330534.82437014644;3916328.9751110165;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
147;331670.5236402642;3916307.5943477997;1;61;61.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0
148;332806.2202426845;3916286.357230551;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
149;333941.9141953344;3916265.26375622;4;1006;251.5;149.0;492.0;492.0;492.0;492.0;418.25;182.5
15;328033.6749206832;3904354.2450196724;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
150;335077.60551614995;3916244.313921778;12;2550;212.5;61.0;1042.0;1042.0;835.0000000000007;284.20000000000005;236.0;112.0
151;336213.29422306165;3916223.5077242185;11;2705;245.9090909090909;115.0;680.0;680.0;605.2000000000003;299.20000000000005;289.0;191.0
152;337348.9803340066;3916202.845160552;4;1234;308.5;184.0;577.0;577.0;577.0;577.0;502.25;236.5
153;338484.66386692185;3916182.32622781;9;3170;352.22222222222223;153.0;524.0;524.0;524.0;468.0;449.5;424.0
154;339620.3448397374;3916161.9509230466;9;2458;273.1111111111111;108.0;513.0;513.0;513.0;442.0;402.0;211.0
155;340756.0232703965;3916141.7192433393;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
157;331687.870877246;3917232.051397877;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
158;332823.4505412667;3917210.8121172865;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
159;333959.0275579914;3917189.7164942063;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
16;329170.8976861225;3904332.605814339;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
160;335094.6019453384;3917168.764525607;4;1362;340.5;129.0;533.0;533.0;533.0;533.0;531.75;350.0
161;336230.17372122227;3917147.956208481;4;1259;314.75;105.0;548.0;548.0;548.0;548.0;526.75;303.0
162;337365.7429035622;3917127.29153984;7;1876;268.0;122.0;424.0;424.0;424.0;404.8;392.0;230.0
163;338501.30951027974;3917106.770516719;2;325;162.5;158.0;167.0;167.0;167.0;167.0;167.0;162.5
164;339636.8735592883;3917086.39313617;3;1286;428.6666666666667;259.0;646.0;646.0;646.0;646.0;646.0;381.0
165;340772.43506851234;3917066.1593952696;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
166;331705.22168900404;3918156.5096033537;2;588;294.0;61.0;527.0;527.0;527.0;527.0;527.0;294.0
167;332840.6843905616;3918135.2681612177;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
168;333976.1444472965;3918114.1703911712;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
169;335111.6018771109;3918093.2162901848;1;343;343.0;343.0;343.0;343.0;343.0;343.0;343.0;343.0
17;329188.43167684885;3905257.052272497;1;292;292.0;292.0;292.0;292.0;292.0;292.0;292.0;292.0
170;336247.05669790204;3918072.405855251;1;882;882.0;882.0;882.0;882.0;882.0;882.0;882.0;882.0
171;337382.50892757316;3918051.739083384;10;2275;227.5;106.0;356.0;356.0;351.0;302.6;293.25;215.5
172;338517.95858402713;3918031.215971616;1;224;224.0;224.0;224.0;224.0;224.0;224.0;224.0;224.0
173;339653.4056851636;3918010.836517004;1;387;387.0;387.0;387.0;387.0;387.0;387.0;387.0;387.0
174;340788.8502488879;3917990.600716621;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
176;332857.92179021495;3919059.7253624583;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
177;333993.26486289804;3919038.625447229;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
178;335128.60531111807;3919017.669215627;1;241;241.0;241.0;241.0;241.0;241.0;241.0;241.0;241.0
179;336263.94315275556;3918996.856664644;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18;328068.97981957614;3906203.1435462204;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
180;338534.61108782416;3918955.6625926197;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
181;339669.9412170239;3918935.281065665;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
182;340805.268811187;3918915.0432075113;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
183;334010.3888044448;3919963.081662498;1;61;61.0;61.0;61.0;61.0;61.0;61.0;61.0;61.0
184;335145.6122470116;3919942.123302051;2;440;220.0;177.0;263.0;263.0;263.0;263.0;263.0;220.0
186;339686.4801545333;3919859.7267822744;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187;341826.5532493083;3912423.8904732633;2;948;474.0;474.0;474.0;474.0;474.0;474.0;474.0;474.0
188;342962.69407570566;3912403.954179832;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
189;344098.83240446425;3912384.1614442947;1;154;154.0;154.0;154.0;154.0;154.0;154.0;154.0;154.0
19;329205.96929516277;3906181.499880902;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
190;345234.96825358586;3912364.5122638103;12;3004;250.33333333333331;60.0;542.0;542.0;516.2;456.0;425.5;243.0
191;341842.83469222585;3913348.323895305;2;576;288.0;108.0;468.0;468.0;468.0;468.0;468.0;288.0
192;342978.8586981702;3913328.38556313;1;136;136.0;136.0;136.0;136.0;136.0;136.0;136.0;136.0
193;344114.8802087999;3913308.590803495;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
194;345250.89924209885;3913288.9396135537;1;371;371.0;371.0;371.0;371.0;371.0;371.0;371.0;371.0
195;346386.91581606126;3913269.431990484;9;978;108.66666666666667;61.0;278.0;278.0;278.0;190.0;143.5;81.0
196;341859.1194946741;3914272.7584879934;3;603;201.0;171.0;251.0;251.0;251.0;251.0;251.0;181.0
197;342995.02665609116;3914252.818118759;23;5985;260.2173913043478;24.0;588.0;588.0;558.0000000000001;365.8000000000005;327.0;221.0
198;344130.931324516;3914233.0213366966;3;960;320.0;157.0;413.0;413.0;413.0;413.0;413.0;390.0
