runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;9398;347.3;10158;688;464;288;91.4;97.83;856.83;4860.93;3136.19;1204.14;156.81;357;0.04
NA;1;9457;305.38;6174;677;408;232;92.58;98;786.31;4469.92;3140.44;1091.69;157.02;49;0.01
NA;2;9276;299.14;6390;690;416;230;92.04;98.23;739.11;4546.12;3140.66;1038.24;157.03;45;0
NA;3;9111;296.75;3025;684;414;232;92.03;98.19;709.66;4488.41;3136.95;1006.42;156.85;40;0
NA;4;8939;290.15;3118;652;412;228;92.86;98.8;702.61;4480.87;3139.5;992.76;156.98;46;0.01
NA;5;8844;292.91;3012;664;409;233.5;92.84;98.47;701.64;4473.77;3136.54;994.55;156.83;29;0
NA;6;8724;290.78;2790;664;413;227;92.18;98.74;699.35;4482.45;3135.94;990.14;156.8;37;0
NA;7;8667;287.76;3081;657.6;413;227;92.74;99.04;702.5;4495.82;3127.54;990.26;156.38;36;0
NA;8;8647;287.06;2043;658;404;226;92.48;98.86;702.84;4477.4;3121.91;989.89;156.1;31;0
NA;9;8624;286.9;1715;663;406;227;92.16;98.9;699.35;4466.79;3124.96;986.25;156.25;43;0
NA;10;8632;288.1;2112;657;411;226;92.39;98.92;697.3;4482.4;3111.36;985.4;155.57;38;0
NA;11;8595;289.78;1890;661.2;416;227;92.41;98.93;700.51;4485.1;3120.16;990.29;156.01;38;0
NA;12;8537;284.75;1710;652;407.5;224;92.57;99.02;698.79;4502.48;3127.38;983.54;156.37;37;0
NA;13;8522;286.63;2007;653;406;227;92.61;98.83;697.02;4494.18;3121.65;983.64;156.08;34;0
NA;14;8517;286.83;3805;655;404;226;92.56;98.99;695.81;4479.63;3119.83;982.64;155.99;34;0
NA;15;8479;284.24;1855;639;401;228;93.3;98.96;693.81;4473.23;3123.62;978.05;156.18;30;0
NA;16;8465;286.09;3180;645.7;404;229;92.65;99.13;700.12;4530.38;3130.05;986.22;156.5;32;0
NA;17;8465;287.63;2557;654.4;406;226;92.99;98.83;683.54;4468.12;3131.95;971.17;156.6;38;0
NA;18;8499;287.31;1869;654;408;226;92.52;98.91;690.89;4466.98;3121.5;978.2;156.07;38;0
NA;19;8428;284.14;2316;646.55;402;225;92.86;99.16;682.08;4451.29;3102.37;966.22;155.12;44;0.01
NA;20;8477;284.54;1776;647;406;225;92.69;99.09;680.56;4432.59;3100.65;965.09;155.03;36;0
