Iteration	bike	car	drt	pt	walk
0	0.0	0.0	0.0	1.0	0.0
1	0.02120899073378412	0.039130979213623844	1.0956674179814675E-4	0.9126283496118207	0.026922113698973203
2	0.03897445529676934	0.06902704733283245	2.8174305033809165E-4	0.8422082394189833	0.04950851490107688
3	0.05270160280490859	0.09284998747808665	2.973954420235412E-4	0.7877848735286752	0.06636614074630603
4	0.06351740545955421	0.11343288254445279	4.695717505634861E-4	0.7415633608815427	0.0810167793638868
5	0.07195404457801152	0.12877222639619335	5.634861006761833E-4	0.7055315552216379	0.09317868770348109
6	0.0793732782369146	0.1407306536438768	5.947908840470824E-4	0.6785937891309792	0.10070748810418231
7	0.08395942900075132	0.15225081392436765	6.887052341597796E-4	0.6547865013774105	0.10831455046331079
8	0.08981342349110945	0.1592474330077636	6.7305284247433E-4	0.6378975707488104	0.11236851990984223
9	0.09330390683696468	0.165946656649136	7.200100175306787E-4	0.6226521412471826	0.11737728524918607
10	0.09577698472326572	0.17145629852241423	7.513148009015778E-4	0.6104589281242174	0.12155647382920111
11	0.09771788129226146	0.1759328825444528	6.887052341597796E-4	0.6003944402704733	0.12526609065865263
12	0.09987791134485349	0.17762334084648135	7.200100175306787E-4	0.5947282744803406	0.1270504633107939
13	0.10192837465564739	0.1808633859253694	7.826195842724769E-4	0.5888273228149261	0.12759829701978462
14	0.10278925619834711	0.1827573253193088	7.669671925870273E-4	0.5853055346857	0.1283809166040571
15	0.10289882294014525	0.18502692211369898	6.574004507888805E-4	0.5811733032807413	0.1302435512146256
16	0.10473015276734285	0.1860130227898823	6.574004507888805E-4	0.5779489105935387	0.13065051339844727
17	0.10574755822689708	0.18696781868269471	7.200100175306787E-4	0.574927998998247	0.1316366140746306
18	0.10537190082644628	0.18836088154269973	6.41748059103431E-4	0.5736914600550964	0.13193400951665415
19	0.1046831955922865	0.18948785374405208	6.574004507888805E-4	0.5717818682694715	0.13338968194340095
20	0.10689018281993488	0.18865827698472326	6.41748059103431E-4	0.57103055346857	0.13277923866766841
