departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
929.0;31144040261-2;drtA13;34951902_0;387618.28;3950773.84;846599943_0_r;379628.51;3951061.49;303.0;1772.0;540.0;8648.12;8648.12;-8.05;1529;3696.51
1227.0;32043031771-2;drtA9;231404549_0;382816.61;3947017.9;38068616_1;372275;3949255.55;101.0;2380.0;1052.0;15477.67;15477.67;-12.83;1827;5521.81
1826.0;31157185231-3;drtA59;23646664_0;382611.57;3946807.88;206645191_0;374089.71;3949251.18;101.0;2722.0;795.0;12356.03;12356.03;-10.65;2426;5371.29
2461.0;31123036721-2;drtA77;286703474_1;388207.77;3949326.38;60351908_3;377284.26;3944145.31;282.0;3994.0;1251.0;14851.19;13709.65;-11.6;3061;6215.18
3032.0;31124023311-6;drtA77;41857233_0;382610.89;3947593.31;73172411_0;378114.43;3944119.95;223.0;3723.0;468.0;6601.88;6601.88;-6.62;3632;5631.28
3626.0;31192040801-6;drtA43;39393255_0;381281.3;3950240.99;34285850_0;375273.99;3954477;158.0;5039.0;1255.0;11172.33;11172.33;-9.82;4226;8486.36
4618.0;31123037701-7;drtA95;286703470_0;388328.01;3949449.87;116429945_12;379634.58;3944818.55;328.0;6084.0;1138.0;15950.71;11374.51;-9.96;5218;7821.16
5132.0;31124015231-4;drtA95;583378753_0_r;386741.43;3948400.09;115333958_1;374251.74;3944547.06;313.0;6748.0;1303.0;16713.05;15756.54;-13.03;5732;9677.23
7264.0;31132029211-2;drtA35;203035387_0;388374.38;3949967.18;115447306_0_r;380084.1;3948209.73;434.0;8439.0;741.0;11024.31;11024.31;-9.72;7864;10599.11
9838.0;31127119452-2;drtA24;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;399.0;11037.0;800.0;12723.47;12723.47;-10.91;10438;13369.95
24039.0;31131017341-1;drtA27;1061981252_1;383017.82;3948573.92;41857210_0_r;382998.54;3948107.82;85.0;24223.0;99.0;881.68;881.68;-2.62;24639;25531.49
27058.0;31144039921-1;drtA23;149672905_0;383043.12;3950251.38;195279740_0;379471.66;3951105.89;93.0;27485.0;334.0;4443.5;4443.5;-5.11;27658;29259.99
28231.0;31123068543-1;drtA30;31764457_0;377449.5;3946950.5;36878873_2;376478.87;3947776.56;197.0;28709.0;281.0;1727.89;1727.89;-3.21;28831;30151.03
30518.0;31123028081-1;drtA26;330038902_0;383114.78;3946875.6;291824531_0;377442.37;3944416.43;171.0;31224.0;535.0;7485.43;7485.43;-7.24;31118;33267.09
30623.0;31154000211-2;drtA39;39436535_0_r;382873.67;3950677.56;115982450_0;386589.78;3956473.04;124.0;31486.0;739.0;8827.19;8827.19;-8.18;31223;34043.99
31210.0;31035002051-1;drtA16;69963034_3;386470.33;3947299.32;41857248_1;382861.72;3947102.07;259.0;31881.0;412.0;6227.84;6227.84;-6.36;31810;33620.62
32412.0;31144028502-1;drtA81;263009789_0_r;379450;3952304.11;215070867_0;380071.93;3948964.84;222.0;33242.0;608.0;6844.6;6844.6;-6.79;33012;35395.95
33042.0;31132019831-1;drtA63;137206077_0;381657.49;3947452.11;182823065_0;382638.94;3946930.55;114.0;33357.0;201.0;1355.64;1355.64;-2.95;33642;34822.3
33321.0;31123088582-2;drtA93;48672204_1;379978.28;3945025.94;116837753_15;380505.9;3945652.89;132.0;33634.0;181.0;1916.49;1916.49;-3.34;33921;35046.16
33334.0;31163037751-2;drtA73;544206153_0;382405.18;3949856.8;115521447_0;386044.76;3954985.09;150.0;34340.0;856.0;9490.26;9490.26;-8.64;33934;36976.24
34248.0;61344034232-1;drtA51;47362605_0;374142.14;3941883.83;400569994_0;376012.43;3943475.35;427.0;35073.0;398.0;4540.09;4540.09;-5.18;34848;36660.33
36988.0;12431003711-2;drtA16;265033754_0;383300.44;3947683.34;62041909_0_r;388191.59;3958536;137.0;38203.0;1078.0;17562.18;17562.18;-14.29;37588;41356.56
37821.0;81087044691-2;drtA15;139506059_1;388213.03;3950370.37;159277089_0;382632.81;3948118.39;506.0;38815.0;488.0;7688.03;7688.03;-7.38;38421;40486.86
37838.0;31124060812-2;drtA20;43063458_2;376762.73;3944207.46;28980222_2;378307.73;3944219.54;166.0;38286.0;282.0;1974.11;1974.11;-3.38;38438;39836.27
38117.0;31124057271-1;drtA62;1090775099_0;375174.05;3944573.95;281754934_3;375285.01;3945445.77;135.0;38409.0;157.0;1233.42;1233.42;-2.86;38717;39767.4
38148.0;31185008541-4;drtA68;51768117_0;382466.82;3946661.86;958699794_0;384535.39;3960671.12;125.0;39452.0;1179.0;21487.96;21487.96;-17.04;38748;42824.2
42326.0;31157175882-2;drtA16;77100175_0;389626.63;3952739.18;39436437_0_r;382357.34;3950634.18;562.0;44034.0;1146.0;15966.51;9548.39;-8.68;42926;45277.5
43214.0;31157188541-1;drtA16;1089793582_0_r;387263.08;3947589.98;32125286_4;378281.61;3948684.15;341.0;44490.0;935.0;12527.39;11543.32;-10.08;43814;46728.3
43234.0;32013085781-2;drtA3;263956785_0;388569.54;3950185.04;45766796_0;381838.16;3950161.33;475.0;44211.0;502.0;8134.41;8134.41;-7.69;43834;45888.76
43252.0;31105019571-2;drtA113;384908616_0;381664.6;3950289.77;113971673_0_r;381851.17;3944805.19;148.0;43996.0;596.0;7064.08;7064.08;-6.94;43852;46107.8
43403.0;31047056611-2;drtA84;306838996_0;382522.66;3950430.17;342481197_3;388621.57;3948184.15;140.0;44002.0;459.0;7369.57;7369.57;-7.16;44003;45954.74
43532.0;31124096391-2;drtA95;31058204_12;374023.01;3945701.14;599973915_0;374008.15;3945292.92;278.0;43930.0;120.0;701.78;701.78;-2.49;44132;45028.68
44442.0;42133033301-3;drtA3;730222250_0;382203.1;3950281.67;91732280_0_r;389412.56;3952899.82;129.0;45292.0;721.0;9870.04;9870.04;-8.91;45042;47729.72
45009.0;51092040942-2;drtA38;92712572_8;383018.45;3947171;682981121_0;388629.05;3949377.98;144.0;45574.0;421.0;7110.92;7110.58;-6.98;45609;47416.16
45024.0;31143040412-2;drtA84;41818367_3;388689.53;3950433.23;544206153_0;382405.18;3949856.8;279.0;45897.0;594.0;8329.76;8329.76;-7.83;45624;47942.64
45643.0;31124015572-2;drtA109;531915925_0;374408.31;3944175.33;170175600_0;373921.38;3945112.73;255.0;46144.0;246.0;1521.03;1521.03;-3.06;46243;47550.42
46646.0;31105017361-5;drtA47;1037780119_0_r;382475.41;3945623.6;32623099_0;381253;3945914.14;131.0;47071.0;294.0;1536.92;1536.92;-3.08;47246;48351.26
46821.0;31073038211-2;drtA63;527523537_0;383273.33;3947502.4;372443876_0;394043.25;3952623.64;338.0;48308.0;1149.0;16721.73;14942.1;-12.46;47421;50822.17
46823.0;31157245222-1;drtA8;768503475_0;377925.85;3950171.89;168894567_0;378198.87;3951213.05;70.0;47127.0;234.0;1579.11;1565.25;-3.1;47423;48665.46
46834.0;51087063991-3;drtA63;23179562_0;382408.24;3947260.49;542264756_0;389271.86;3952491.77;131.0;47795.0;830.0;11636.3;11542.66;-10.08;47434;50005.3
47751.0;31131006284-2;drtA108;31609971_3;381105.05;3948066;115447193_0;381058.75;3948279.67;135.0;47968.0;82.0;571.23;571.23;-2.4;48351;49190.09
47767.0;31123066303-2;drtA31;249108974_8;373238.12;3944430.07;249108982_1;372837.53;3945319.64;207.0;48173.0;199.0;1191.33;1191.33;-2.83;48367;49546.33
48641.0;31124102851-2;drtA5;138671944_3;382841.41;3946889.01;155148734_0_r;378207.75;3940633.14;143.0;49607.0;823.0;11639.73;11639.73;-10.15;49241;52070.23
48649.0;31157100941-3;drtA61;153989307_10_r;383229.13;3950860.46;493371700_0;373161.14;3951372.72;204.0;50036.0;1183.0;13711.05;13711.05;-11.6;49249;53098.87
48654.0;31132012451-2;drtA78;231652212_3;382723.45;3947251.59;115447518_1;379465.59;3948761.44;183.0;49448.0;611.0;7664.63;7664.63;-7.37;49254;51401.83
48656.0;32013079652-2;drtA96;1214841279_0;382535.99;3950171.37;92219077_1;389020.19;3949728.49;196.0;49435.0;583.0;8283.05;8283.05;-7.8;49256;51545.76
50116.0;31154071371-2;drtA45;1095255428_0_r;379237.05;3951940.21;35939028_2;378042.34;3948774.99;119.0;50822.0;587.0;4556.54;4556.54;-5.19;50716;53002.71
50433.0;32227025342-2;drtA73;116825381_0;383677.47;3954898.73;251311714_4;382051.44;3950264.19;360.0;51313.0;520.0;6276.92;6276.92;-6.39;51033;53169.57
50438.0;32194009102-2;drtA90;255789569_0;373293.27;3943073.81;46967058_2;372451.44;3945202.37;186.0;51033.0;409.0;3011.97;3011.97;-4.11;51038;52730.93
50440.0;31155023881-1;drtA22;104124423_0_r;374589.08;3949254.22;270493292_29;373351.44;3948221.52;194.0;50902.0;268.0;2340.44;2340.44;-3.64;51040;52422.64
50458.0;51132016851-3;drtA89;1214088493_0;382821.34;3950573.14;375676167_0;382371.21;3946850.93;157.0;51041.0;426.0;4246.58;4246.58;-4.97;51058;52916.47
51627.0;31046022021-3;drtA92;39445419_2;383157.54;3950282.82;47216158_0;373360.77;3948041.45;190.0;52652.0;835.0;11452.78;11452.78;-10.02;52227;55302.66
