departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
24035.0;32093032783-1;drtC36;107465015_3;361749.17;3935790.94;142122399_3;361751.57;3935587.87;313.0;24401.0;53.0;395.49;395.49;-2.35;24635;25388.83
27030.0;42128034154-1;drtC40;215512782_0_r;352198.63;3925576.37;311904351_0_r;350734.56;3921126.89;577.0;28213.0;606.0;5865.48;5865.48;-6.11;27630;29829.19
27033.0;32097072743-1;drtC9;144486666_1;359636.16;3933645.69;59919273_6;359852.17;3934647.78;210.0;27449.0;206.0;1352.82;1352.82;-2.95;27633;28825.06
27926.0;32094052833-1;drtC14;1209644394_0;357976.99;3936145.17;142378179_11;358283.79;3936676.67;452.0;28636.0;258.0;1119.29;1119.29;-2.78;28526;29679.13
27930.0;42124023352-1;drtC26;701116745_0_r;348997.23;3922116.89;312017554_0_r;349923.61;3924078.74;248.0;28641.0;463.0;3089.63;3089.63;-4.16;28530;30486.37
27938.0;42142004674-1;drtC37;130539547_0;348546.43;3920499.04;166128808_0;348069.1;3919898.74;191.0;28283.0;154.0;923.83;923.83;-2.65;28538;29588.3
28235.0;91534016872-1;drtC30;32260341_2;357583.67;3931700.98;165545507_0_r;357863.22;3931421.74;334.0;28694.0;125.0;754.32;754.32;-2.53;28835;29805.88
28546.0;42124009113-1;drtC26;161543460_0;350312.37;3923854.68;189853445_1;350439.49;3926229.35;318.0;29231.0;367.0;3324.17;3324.17;-4.33;29146;30813.1
28816.0;42132024042-1;drtC7;26300855_1;358942.33;3930064.54;219475554_0;360294.77;3928099.2;129.0;29446.0;501.0;2786.2;2786.2;-3.95;29416;31354.85
29113.0;91536014361-1;drtC8;143948961_0_r;358921.44;3932159.39;191736804_0_r;358653.28;3930236.23;255.0;29773.0;405.0;2614.7;2614.7;-3.83;29713;31488.46
29717.0;42124025811-1;drtC43;701113292_0_r;348657.49;3925021.97;161450365_0;349461.78;3923714.75;242.0;30284.0;325.0;2329.82;2329.82;-3.63;30317;31868.12
30333.0;42125024721-1;drtC43;311958317_1;348468.08;3924361.62;161450365_0;349461.78;3923714.75;325.0;30968.0;310.0;1947.46;1947.46;-3.36;30933;32438.2
30620.0;42164016332-1;drtC33;105146020_0_r;355895.13;3927711.66;91571059_1;357569.41;3927787.47;204.0;31171.0;347.0;2246.03;2246.03;-3.57;31220;32773.77
30930.0;42132022441-1;drtC8;26300800_0;359220.92;3930200.62;199581523_3;358531.77;3930553.63;185.0;31292.0;177.0;1095.73;1095.73;-2.77;31530;32656.04
31224.0;91533020441-1;drtC45;131924837_1;358905.3;3933216.8;1182828131_0_r;358206.83;3934008.13;270.0;31667.0;173.0;1630.4;1630.4;-3.14;31824;32934.23
31832.0;42164001692-1;drtC10;148965630_0_r;358175.95;3927574.28;293725575_4;357189.59;3927727.67;94.0;32140.0;214.0;1722.24;1722.24;-3.21;32432;33625.36
33010.0;32093001221-1;drtC42;448830437_0_r;358263.12;3935957.56;131202624_0;359094.48;3935035.15;267.0;33512.0;235.0;1461.63;1461.63;-3.02;33610;34917.89
34213.0;32094050291-1;drtC14;142435268_12;359115.71;3936480.11;1050724827_0;359182.99;3940152.82;243.0;35039.0;583.0;5132.33;5132.33;-5.59;34813;37137.14
35121.0;42124024213-1;drtC29;570354684_0;348291.6;3928974.21;46907157_6;352832.88;3922537.41;429.0;36643.0;1093.0;10201.89;10201.89;-9.14;35721;39526.65
36028.0;91533005441-1;drtC45;150719462_4;357574.83;3933882.61;166961996_2;356010.4;3931837.62;199.0;36755.0;528.0;3251.54;3251.54;-4.28;36628;38741.15
36051.0;42127032632-3;drtC38;169632712_2;350917.65;3922915.12;169671184_3;349753.96;3922101.82;112.0;36406.0;243.0;2622.22;2622.22;-3.84;36651;37972.08
37549.0;42157017721-3;drtC11;50877713_1;353558.97;3924029.76;189332080_1;355728.06;3924537.54;258.0;38225.0;418.0;2619.71;2619.71;-3.83;38149;39985.18
39606.0;32094033152-1;drtC36;222367861_0_r;360944.95;3934552.38;222840256_0;361378.38;3933493.93;313.0;40152.0;233.0;1670.71;1670.71;-3.17;40206;41479.01
39627.0;42124030672-1;drtC26;658720980_0_r;350132.6;3925031.59;171949773_0;350215.6;3925197.76;312.0;40008.0;69.0;426.78;426.78;-2.35;40227;41030.26
39633.0;42167018831-1;drtC16;636657118_0_r;355958.28;3930413.81;598658745_3;356166.34;3929856.4;197.0;40112.0;282.0;890.9;890.9;-2.62;40233;41287.13
41433.0;32093031302-2;drtC36;222840339_0;361469.7;3933599.65;163168287_5;361059.77;3934128.29;196.0;41803.0;174.0;1179.45;1179.45;-2.83;42033;43136.74
42921.0;91534021281-3;drtC5;152610449_4;356240.02;3935287.6;152610395_0;355654.81;3935365.57;176.0;43229.0;132.0;994.52;994.52;-2.7;43521;44510.6
43218.0;32097072262-4;drtC0;1050902302_0_r;359961.17;3938000.12;149986999_0_r;360600.35;3937911.63;426.0;43791.0;147.0;1098.21;1042.7;-2.73;43818;44832.98
43231.0;42132028221-5;drtC4;148965547_0_r;358575.59;3928587.22;1214106092_0;357493.37;3928907.38;286.0;43722.0;205.0;1474.27;1474.27;-3.03;43831;45032.8
46814.0;42154007282-1;drtC10;313114264_0;355924.59;3926474.59;188014049_2;355871.27;3925004.49;352.0;47464.0;298.0;2227.22;2227.22;-3.56;47414;48881.73
46830.0;91531008271-1;drtC12;707117825_0;358138.12;3933568.03;1188545319_0;356633;3935546.19;396.0;47464.0;238.0;2853.23;2853.23;-4;47430;48734.13
46844.0;42155000211-7;drtC22;313032375_0;354353.26;3920677.08;368554302_0;354512.13;3921611.43;740.0;47716.0;132.0;1242.22;1242.22;-2.87;47444;48440.68
46858.0;32097059401-2;drtC0;53055718_1;361099.56;3938935.86;760761507_0;356980.01;3936987.3;340.0;48094.0;896.0;5871.5;5871.5;-6.11;47458;50671.46
50150.0;42133043652-4;drtC8;153151219_4;358723.78;3930570.39;43051210_1;358104.11;3930184.3;113.0;50414.0;151.0;889.29;889.29;-2.62;50750;51787.49
50173.0;32094006854-2;drtC28;189330545_4;360318.07;3937267.7;150612626_1;359891.14;3937161.21;301.0;50547.0;73.0;499.52;499.52;-2.35;50773;51582.42
50729.0;42034017511-4;drtC3;663146960_0_r;347406.87;3918361.02;169824956_0;349927.02;3917155.26;389.0;51582.0;464.0;3079.01;3079.01;-4.16;51329;53303.83
51320.0;42124028132-3;drtC26;312072230_0;350575.46;3924345.65;194938560_3;349558.43;3924555.02;228.0;51733.0;185.0;1333.18;1333.18;-2.93;51920;53054.85
52221.0;32094049171-4;drtC28;37112728_0_r;362206.5;3938746.15;153175280_0;362494.11;3938924.94;757.0;53042.0;64.0;409.96;409.96;-2.35;52821;53606.44
52250.0;42164017774-2;drtC39;91557737_0;355652.98;3928002.26;1123311559_0_r;355605.15;3929145.2;184.0;52649.0;215.0;1375.2;1375.2;-2.96;52850;54071.61
52251.0;91536008831-3;drtC12;42638967_0;357663.1;3934841.42;25513243_2;359473.02;3934169.18;614.0;53283.0;418.0;2648.76;2648.76;-3.85;52851;54662.49
52465.0;32097076601-2;drtC36;923042064_0;361660.9;3933542.72;1120622156_0_r;360874.26;3932505.85;258.0;52996.0;273.0;1711.07;1711.07;-3.2;53065;54454.66
53154.0;32093014221-2;drtC36;151493397_0_r;362170.14;3933605;1088837022_0_r;360476.72;3933945.85;383.0;53836.0;299.0;2159.9;2159.9;-3.51;53754;55230.56
54038.0;42124014572-3;drtC25;1124687438_0_r;348048.13;3922432.78;204244770_0_r;345649.65;3923426.95;301.0;54799.0;460.0;3290.79;3290.79;-4.3;54638;56604.41
54043.0;42141003641-2;drtC40;1096946751_1;351222.84;3919741.3;204354480_1;347496.65;3920065.94;250.0;55044.0;751.0;6134.34;6134.34;-6.29;54643;57040.52
55828.0;42124018572-2;drtC15;663070171_0_r;351909.47;3923237.56;41946733_1;346267.5;3923413.94;144.0;56916.0;944.0;7822.98;7822.98;-7.48;56428;59692.56
55882.0;42037039001-2;drtC40;626893500_1;347120.24;3919484.19;164813471_5;347608.54;3913414.68;304.0;57213.0;1027.0;8232.16;8232.16;-7.76;56482;60044.68
56424.0;42155015893-3;drtC10;313084877_0;355798.01;3925118.63;1169732950_0;354170.91;3924313.22;107.0;56892.0;361.0;2220.99;2220.99;-3.55;57024;58681.33
57638.0;42132024002-2;drtC23;199579622_1;359005.72;3930411.1;26300796_0;359206.01;3929754.73;292.0;58061.0;131.0;838.9;838.9;-2.59;58238;59212.13
57670.0;42163012124-2;drtC33;149698060_0_r;357241.72;3927499.28;149698067_10;357324.66;3926928.41;183.0;57973.0;120.0;927.29;927.29;-2.65;58270;59221.88
58216.0;91536013633-2;drtC30;248027136_0;358784;3931962.89;29422254_0_r;358479.79;3931904.81;281.0;58614.0;117.0;717.11;717.11;-2.5;58816;59761.88
59475.0;42163012123-2;drtC33;313265399_0;356744.31;3926848.16;149698067_10;357324.66;3926928.41;163.0;59740.0;102.0;704;704;-2.49;60075;60972.81
59563.0;91533019403-2;drtC31;150859599_3;354105;3935505.01;150719245_3;356326.18;3934937.6;367.0;61083.0;1153.0;7846.2;3713.47;-4.6;60163;62308.73
60019.0;32094055752-6;drtC42;35907492_8;359184.94;3935511.09;1115721797_0_r;357063.41;3936681.42;154.0;60624.0;451.0;3031.87;3031.87;-4.12;60619;62549.08
60084.0;91536017733-2;drtC31;150719242_0_r;357460.89;3933749.81;446436237_0;355268.25;3936249.34;738.0;61493.0;671.0;3955.61;3942.4;-4.76;60684;62259.05
61234.0;42163016361-2;drtC33;193632514_0;357849.27;3927025.2;150512966_0;355862.59;3927464.51;172.0;61783.0;377.0;2860.32;2860.32;-4;61834;63243.82
61243.0;91531008271-2;drtC5;1188545319_0;356633;3935546.19;707117825_0;358138.12;3933568.03;452.0;61964.0;269.0;2906.83;2906.83;-4.03;61843;63246.43
61275.0;32097073094-4;drtC2;143582053_0;360709.18;3932394.45;969559379_1;360258.42;3931900.16;211.0;61633.0;147.0;972.61;972.61;-2.68;61875;62891.56
62410.0;42142006611-6;drtC37;112757199_1;344702.51;3918801.52;309894566_0;346761.77;3918238.87;527.0;63267.0;330.0;2718.79;2718.79;-3.9;63010;64612.84
62453.0;42142011132-2;drtC3;130549589_1;347526.28;3918113.12;46888493_2;347063.52;3918795.29;487.0;63125.0;185.0;1268.54;1268.54;-2.89;63053;64182.97
63913.0;91536013231-4;drtC6;314955069_3;355527.68;3930115.94;552628964_2;355481.15;3930089.16;143.0;64066.0;10.0;53.7;53.7;-2.35;64513;65142
64507.0;42125015043-2;drtC18;311917634_0_r;351661.11;3920903.9;501019929_0_r;350957.8;3919532.75;429.0;65225.0;289.0;2311.26;2311.26;-3.62;65107;66556.92
64822.0;32094022972-2;drtC36;237411214_13;361639.43;3934475.78;143564421_0;361812.34;3932444.54;334.0;65511.0;355.0;2470.32;2470.32;-3.73;65422;67042.33
64831.0;32094050151-5;drtC20;753249007_0;359812.3;3936052.84;235444044_4;359291.49;3936399.95;376.0;65366.0;159.0;878.79;878.79;-2.62;65431;66489.56
65139.0;32093057142-4;drtC17;35904230_0;358896.04;3934418.74;221510048_2;359219.83;3938696.27;163.0;66029.0;727.0;5678.73;5678.73;-5.98;65739;68480.68
66648.0;42033020262-2;drtC18;146854331_1;349804.33;3918657.21;367640829_0;350765.75;3914712.18;289.0;67679.0;742.0;5813.94;5813.94;-6.07;67248;69661.79
66699.0;91536012482-2;drtC44;149685621_2;357204.94;3929546.38;166855088_1;356433.44;3931146.85;133.0;67426.0;594.0;2226.56;2226.56;-3.56;67299;68903.79
68619.0;91532014482-2;drtC44;49776539_8;355986.69;3931176.7;49772893_0;355489.75;3931521.22;171.0;68920.0;130.0;769.28;769.28;-2.54;69219;70195.13
