departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
28224.0;43627002261-1;drtD1;318388491_0_r;333477.85;3913249.55;205306348_3;332491.53;3910858.85;472.0;29162.0;466.0;4610.04;4610.04;-5.23;28824;30836.01
29722.0;42113009615-1;drtD9;317402044_2;340461.17;3916651.83;80141690_1;339433.78;3916267.65;640.0;30575.0;213.0;1526.08;1526.08;-3.07;30322;31532.93
35719.0;42147014941-2;drtD8;113004993_0_r;345412.62;3919002.4;195745632_2;347217.53;3918620.65;264.0;36461.0;478.0;2285.65;2285.65;-3.6;36319;37775.67
36007.0;42113016712-1;drtD9;554001016_0_r;337243.3;3915206.69;316805898_2;336026.51;3917360.03;475.0;37867.0;1385.0;9697.83;3182.09;-4.23;36607;38573.86
36619.0;42113012932-1;drtD9;556376260_0_r;338626.94;3913940.14;711146482_0;343455.38;3916758.79;505.0;39037.0;1913.0;15131.14;7776.93;-7.44;37219;40733.49
37828.0;42114010244-1;drtD7;200735038_0;343288.54;3916255.2;693131399_0;343570.24;3916585.67;429.0;38344.0;87.0;657.69;657.69;-2.46;38428;39280
38727.0;42173004862-2;drtD1;501349034_0;331286.11;3912942.78;33075851_0_r;332077.35;3912131.19;376.0;39642.0;539.0;1930.32;1930.32;-3.35;39327;40340.82
51924.0;42141010102-2;drtD3;166251096_0_r;349291.63;3919855.41;825119038_0_r;349141.41;3919965.87;187.0;52159.0;48.0;292.16;292.16;-2.35;52524;53262.03
54665.0;42113000032-3;drtD4;576229020_0;345267.42;3918419.27;106474341_1;343643.51;3917592.18;303.0;55375.0;407.0;2327.6;2327.6;-3.63;55265;56716.43
56427.0;42141000883-3;drtD8;114916323_1;346826.44;3918630.06;662377531_0_r;346987.55;3917413.24;135.0;56752.0;190.0;1365.38;1365.38;-2.96;57027;58186.38
57659.0;43624001943-2;drtD1;107415981_0;331626.73;3910270.1;205296958_1;332189.32;3909729.18;327.0;58168.0;182.0;1205.4;1291.69;-2.9;58259;59163.35
57703.0;42173002784-2;drtD1;107415981_1;331632.62;3910051.77;136560095_0;324838.39;3912888.59;380.0;59045.0;962.0;11484.68;10072.91;-9.05;58303;61163.42
60316.0;42113017451-3;drtD7;311773819_0_r;342710.56;3915785.35;1032514351_0_r;343054.81;3914405.2;316.0;60927.0;295.0;2044.23;2001.29;-3.4;60916;62350.07
60803.0;42033025481-2;drtD7;1032514351_0_r;343054.81;3914405.2;1186878774_0;342712.5;3914054.27;184.0;61133.0;146.0;1039.88;1039.88;-2.73;61403;62433
61273.0;43614001033-2;drtD4;205176345_2;339984.27;3916465.73;318370328_1;338114.77;3910745.22;548.0;62443.0;622.0;8041.55;8041.55;-7.63;61873;64331.61
64865.0;42113011211-2;drtD9;714429611_0;345580.81;3915929.12;197515789_5;344203.98;3916808.98;1170.0;66505.0;470.0;2099.35;2099.35;-3.47;65465;66891.46
75066.0;42141005141-3;drtD9;200734202_0_r;344555.59;3915125.37;33074085_12;346587.85;3917870.7;353.0;76024.0;605.0;4546.37;4546.37;-5.18;75666;78055.89
