time;personId;fromLinkId;toLinkId;fromX;fromY;toX;toY
72073.0;31157258891-4;760594795_0;30976441_4;381261.143806534;3949566.3546361364;377412.65786249813;3949378.7336476916
72067.0;31127124141-2;23579065_2;116429937_0;388151.1487740319;3949998.528424233;378861.3592128069;3944568.9043129175
39307.0;61312022984-1;1190349735_0;1035760831_0_r;383535.23228325776;3932983.846786558;382245.3286274168;3946987.5477017625
72039.0;31132013411-2;696269484_0_r;141293465_0;388458.2916605563;3948966.870478619;382856.59202911484;3946726.11903297
72053.0;61357051451-2;240388169_2;149603395_1;388526.5058286764;3948741.9495130614;372612.4253473129;3942279.796764373
72033.0;32132018671-2;658485462_0_r;1203906527_0;387695.54785351467;3947314.5742714936;382496.50097719196;3950504.39600787
33667.0;61357053261-2;533092485_5;780870438_0;390735.63646076946;3951648.414926194;387903.47473088675;3958612.7138265856
16597.0;31082028811-1;1060235876_0;251308522_1;394505.167835937;3950968.027411433;381978.89014362416;3950605.8758827597
75038.0;31127127051-2;379075322_1;198344430_1;387919.9000510914;3951308.6553900023;372435.1272169874;3944814.3151561203
81029.0;31123100061-2;156942441_10;864104329_0_r;389811.94849515124;3949949.423368228;378256.30740641005;3946160.9748637187
