time;personId;fromLinkId;toLinkId;fromX;fromY;toX;toY
67462.0;42124019712-5;115447369_0_r;770599761_0_r;380134.4609096747;3948024.4377386845;352891.97257628135;3928637.8455689237
75680.0;32062008501-2;390951625_4;172811412_2;381151.24296671274;3945827.804582878;364617.850745443;3947908.8606063123
79727.0;31123087721-4;158059312_3;42752546_1;381104.4761560549;3945929.5820514048;374138.03772730014;3943377.04545114
62568.0;91536012391-4;158059312_3;195098170_1;381104.4761560549;3945929.5820514048;353358.76262132626;3928377.2644322226
77102.0;31123059501-2;390951625_4;43113062_0;381151.24296671274;3945827.804582878;378129.61409101315;3942262.8087634277
67699.0;31124054011-2;115447369_0_r;37572624_0;380134.4609096747;3948024.4377386845;374748.0201659647;3948517.796385886
54612.0;32083021181-2;26998250_0;163192402_0_r;367046.9777054772;3947184.750153528;368142.85080142366;3946137.4431000478
102885.0;31147056851-2;172641058_1;115447369_0_r;360605.47672419914;3950242.5535762063;380134.4609096747;3948024.4377386845
99690.0;32112013021-3;172641058_1;115447369_0_r;360605.47672419914;3950242.5535762063;380134.4609096747;3948024.4377386845
100243.0;61352022953-2;172641058_1;203832403_7;360605.47672419914;3950242.5535762063;369445.46991631796;3943669.385007112
86559.0;61372001521-3;115447369_0_r;43047189_0;380134.4609096747;3948024.4377386845;365654.84768456314;3940485.3602009383
70269.0;61362006801-3;158059312_3;113213354_0;381104.4761560549;3945929.5820514048;372048.7547811569;3938936.8114507543
85148.0;31143023111-2;172641058_1;115447369_0_r;360605.47672419914;3950242.5535762063;380134.4609096747;3948024.4377386845
63769.0;32254001202-3;115447369_0_r;111492059_2;380134.4609096747;3948024.4377386845;362790.69874813093;3944903.3837614646
71550.0;31124069033-2;115447369_0_r;41175926_6;380134.4609096747;3948024.4377386845;376836.3441335631;3946803.477500097
65951.0;32017101151-2;115447369_0_r;252398991_0_r;380134.4609096747;3948024.4377386845;345131.7301663271;3942412.508423731
35157.0;31062006651-1;115447369_0_r;195248019_1;380134.4609096747;3948024.4377386845;352992.90955853584;3928533.835873959
67222.0;42048026664-2;158059312_3;220210201_0_r;381104.4761560549;3945929.5820514048;361863.7584684759;3929367.5047141104
44001.0;32054016741-1;172641058_1;750630133_0;360605.47672419914;3950242.5535762063;379144.3195075165;3948073.9291866184
66757.0;42124006273-2;158059312_3;770599761_0_r;381104.4761560549;3945929.5820514048;352891.97257628135;3928637.8455689237
54169.0;32083034142-2;115447369_0_r;148828655_1;380134.4609096747;3948024.4377386845;368423.06281742407;3945587.8058348144
