vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtC3;13758.08;7298.1;6459.98;7298.1
drtC25;4909.75;3290.79;1618.96;3290.79
drtC4;3069.46;1474.27;1595.19;1474.27
drtC26;13792.81;8173.76;5619.05;8173.76
drtC1;0;0;0;0
drtC27;0;0;0;0
drtC2;1927.17;972.61;954.57;972.61
drtC28;51047.34;42531.1;8516.24;42531.1
drtC29;13440.82;10201.89;3238.93;10201.89
drtC0;10355.47;6969.7;3385.77;6969.7
drtC9;2317.74;1352.82;964.92;1352.82
drtC7;3187.52;2786.2;401.32;2786.2
drtC8;7102.97;4599.71;2503.25;4599.71
drtC5;14540.75;7242.05;7298.7;7242.05
drtC6;519.51;53.7;465.81;53.7
drtC30;4117.44;1471.43;2646.01;1471.43
drtC31;11879.85;9942.21;1937.64;11801.8
drtC10;8873.7;6170.44;2703.26;6170.44
drtC32;0;0;0;0
drtC11;4075.6;2619.71;1455.89;2619.71
drtC33;10027.05;6737.64;3289.41;6737.64
drtC12;13009.03;6147.22;6861.81;6147.22
drtC34;0;0;0;0
drtC13;0;0;0;0
drtC35;0;0;0;0
drtC14;8922.31;6251.62;2670.69;6251.62
drtC36;19273.13;9586.94;9686.19;9586.94
drtC15;8292.31;7822.98;469.33;7822.98
drtC37;8917.78;3642.62;5275.16;3642.62
drtC16;1668.92;890.9;778.01;890.9
drtC38;12248.08;9750.57;2497.51;9750.57
drtC17;6327.2;5678.73;648.47;5678.73
drtC39;2156.21;1375.2;781.01;1375.2
drtC18;12812.35;8125.2;4687.16;8125.2
drtC19;0;0;0;0
drtC40;26111.59;20231.98;5879.61;20231.98
drtC41;0;0;0;0
drtC20;2806.15;878.79;1927.36;878.79
drtC42;6708.23;4493.49;2214.74;4493.49
drtC21;2825.4;1849.02;976.38;1849.02
drtC43;7076.2;4277.29;2798.91;4277.29
drtC22;4066.87;1242.22;2824.65;1242.22
drtC44;4163.79;2995.85;1167.95;2995.85
drtC23;1668.81;838.9;829.91;838.9
drtC45;7688.58;4881.94;2806.64;4881.94
drtC24;0;0;0;0
drtC46;0;0;0;0
