runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;76475.98;486974.86;32206.07;8647.01;0
NA;2;161126.83;805260.82;192141.49;90383.59;23859.27
NA;3;230318.36;919884.06;223948.25;146060.05;54843.12
NA;4;255879.6;1112772.36;232819.96;138040.25;79167.82
NA;5;278749.16;1164144.73;272541.37;128856.84;60239.1
NA;6;254809.18;1130630.06;336850.91;165577.65;79357.13
NA;7;285561.08;1195451.03;372942.88;200586.71;73491.36
NA;8;331373.09;1297744.21;380769.01;206682.45;151857.73
NA;9;352989.76;1406106.03;392926.01;191581.56;151873.03
NA;10;401367.8;1492456.15;424113.55;208300.48;86860.11
NA;11;403593.06;1462734.45;429801.8;164817.54;88100.48
NA;12;455981.56;1556279.76;429286.8;205736.18;116580.47
NA;13;429915.58;1522768.08;458642.06;165195.72;75742.77
NA;14;414289.57;1452989.4;493484.83;188227.62;81392.96
NA;15;414832.38;1431990.38;392008.2;188879.82;84478.69
NA;16;382136.74;1405760.44;536150.33;237181.28;94117.85
NA;17;382243.68;1457031.32;518417.19;209066.49;53978.4
NA;18;353653.63;1266065.73;479105.63;201293.23;76411.65
NA;19;339161.23;1173496.6;445426.04;237950.39;83252.08
NA;20;408839.6;1350455.43;429383.8;133834.14;108676.23
