runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;18657.63;25374.81;0;0;0
NA;2;32094.44;43859.47;0;0;0
NA;3;32528.72;54895.6;1128.2;0;0
NA;4;59172.7;95449.93;1128.2;0;0
NA;5;60370.6;104622.37;2164.14;0;0
NA;6;71686.38;121504.82;1128.2;0;0
NA;7;78349.89;121998.32;1452.08;0;0
NA;8;90572.28;128116.04;1128.2;0;0
NA;9;85415.5;131165.07;1128.2;0;0
NA;10;102546.23;192439.51;602.33;0;0
NA;11;122163.18;171463.52;0;0;0
NA;12;116438.52;165645.02;0;0;0
NA;13;112563.19;173040.94;2265.38;0;0
NA;14;119297.23;189150.99;0;0;0
NA;15;129361.77;207650.32;0;0;0
NA;16;96291.36;182368.8;0;0;0
NA;17;106840.56;195567.44;0;0;0
NA;18;107711.37;240140.01;1548.01;0;0
NA;19;124004.89;244474.77;2205.23;0;0
NA;20;110836.37;222990.01;1859.6;0;0
