runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;4812.21;10049.81;0;0;0
NA;2;12453.07;24746.94;0;0;0
NA;3;14617.44;16816.74;0;0;0
NA;4;34905.67;32954.65;0;0;0
NA;5;45994.65;43896.71;0;0;0
NA;6;62828.53;72561.36;3762.99;0;0
NA;7;40561.35;63918.44;0;0;0
NA;8;44279.25;59596.22;0;0;0
NA;9;50420.5;67003.84;0;0;0
NA;10;54123.19;84920.87;0;0;0
NA;11;64046.39;98952.9;0;0;0
NA;12;80213.43;132713.11;0;0;0
NA;13;63481.25;98101.17;1848.89;0;0
NA;14;74564.42;87578.59;0;0;0
NA;15;71900.98;91489.78;5261.73;0;0
NA;16;63806;100033.63;10747.65;1412.47;0
NA;17;42788.96;87125.62;2004.15;1412.47;0
NA;18;71187.7;133313.37;2004.15;1412.47;0
NA;19;63293.09;119116.66;2004.15;1412.47;0
NA;20;50767.9;103182.74;4734.7;1412.47;0
