runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;73;0;0;NaN;0;0;0;0;NaN;NaN;1;73
NA;1;73;192153.87;36658.12;0.19;162827.1;2632.24;502.17;2230.51;0.85;1.2;0.97;71
NA;2;73;260590.62;62772.65;0.24;205140.13;3569.73;859.9;2810.14;0.79;1.29;0.96;70.21
NA;3;73;361750.61;86876.83;0.24;332130.11;4955.49;1190.09;4549.73;0.92;1.19;0.95;69.38
NA;4;73;407537.81;96012.75;0.24;371178.78;5582.71;1315.24;5084.64;0.91;1.2;0.94;68.46
NA;5;73;487708.37;116889.42;0.24;429377.77;6680.94;1601.22;5881.89;0.88;1.22;0.94;68.46
NA;6;73;533910.81;144459.6;0.27;445489.44;7313.85;1978.9;6102.6;0.83;1.28;0.93;67.85
NA;7;73;572281.78;150119.92;0.26;473882.56;7839.48;2056.44;6491.54;0.83;1.28;0.95;69.65
NA;8;73;558702.16;153302.54;0.27;475636.01;7653.45;2100.03;6515.56;0.85;1.25;0.94;68.87
NA;9;73;589085.99;147726.4;0.25;539705.42;8069.67;2023.65;7393.22;0.92;1.26;0.94;68.26
NA;10;73;601476;154112.74;0.26;537956.61;8239.4;2111.13;7369.27;0.89;1.19;0.93;67.96
NA;11;73;543207.51;140421.85;0.26;438547.38;7441.2;1923.59;6007.5;0.81;1.3;0.93;67.53
NA;12;73;546406.94;141830.5;0.26;471015.12;7485.03;1942.88;6452.26;0.86;1.23;0.94;68.53
NA;13;73;577452.44;150477.34;0.26;503274.81;7910.31;2061.33;6894.18;0.87;1.24;0.93;67.99
NA;14;73;575707.16;155421.87;0.27;465351.49;7886.4;2129.07;6374.68;0.81;1.28;0.93;67.69
NA;15;73;563411.07;141528.92;0.25;435121.97;7717.96;1938.75;5960.57;0.77;1.36;0.93;67.67
NA;16;73;591648.34;140376.09;0.24;488653.15;8104.77;1922.96;6693.88;0.83;1.24;0.91;66.13
NA;17;73;549804.36;133136.47;0.24;454400.55;7531.57;1823.79;6224.67;0.83;1.21;0.94;68.92
NA;18;73;558036.8;130770.98;0.23;463226.77;7644.34;1791.38;6345.57;0.83;1.19;0.94;68.55
NA;19;73;461116.63;121794.77;0.26;374159.67;6316.67;1668.42;5125.47;0.81;1.21;0.92;67.07
NA;20;73;426848.99;118094.51;0.28;343592.3;5847.25;1617.73;4706.74;0.8;1.22;0.92;67.07
