vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtE5;0;0;0;0
drtE6;3139.36;1198.5;1940.85;1198.5
drtE3;1251.73;834.76;416.96;834.76
drtE4;0;0;0;0
drtE1;19406.55;12270.52;7136.03;12270.52
drtE2;49844.33;36342.1;13502.23;39072.64
drtE0;25907.44;18642.1;7265.34;18642.1
drtE9;4951.31;2997.33;1953.98;2997.33
drtE7;4738.06;1699.48;3038.58;1699.48
drtE10;12462.56;11482.28;980.28;16311.37
drtE8;16544.48;5792.02;10752.46;5792.02
drtE11;21851.99;18070.8;3781.19;18070.8
