vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;25813.16;17261.86;8551.3;17261.86
drtA27;95996.24;86725.13;9271.11;192348.83
drtA2;24928.26;16178;8750.26;16178
drtA28;4985.29;2340.44;2644.86;2340.44
drtA29;68753.97;60113.73;8640.24;116239.13
drtA0;73760.6;63343.61;10417;139145.02
drtA9;114000.77;103772.98;10227.79;183064.08
drtA7;0;0;0;0
drtA8;32144.17;26856.05;5288.12;26856.05
drtA5;0;0;0;0
drtA6;100827.29;92285.47;8541.83;194075.75
drtA3;54030.72;48747.33;5283.38;121825.69
drtA4;62268.51;56608.81;5659.7;85047.08
drtA30;12364.66;11172.33;1192.33;11172.33
drtA31;99499.72;79962.71;19537.02;119206.45
drtA10;30548.18;11643.41;18904.78;11643.41
drtA32;110440.56;103934.21;6506.36;183329.35
drtA11;38705.35;28298.33;10407.02;28298.33
drtA33;79942.7;67044.08;12898.62;85025.5
drtA12;29827.28;28194.53;1632.75;40550.56
drtA34;13608.77;10924.12;2684.66;11866.5
drtA13;30065.9;24792.36;5273.54;32277.37
drtA35;57211.22;46493.22;10718;79434.81
drtA14;122537.81;107157.73;15380.08;240683.21
drtA36;45943.94;36503.09;9440.86;50893.56
drtA15;15350.35;13711.05;1639.29;13711.05
drtA37;37860.23;24955.29;12904.94;34250.11
drtA16;5986.39;3011.97;2974.42;3011.97
drtA38;40689.06;29274.96;11414.1;29274.96
drtA17;77322.95;66014.3;11308.65;115654.62
drtA39;140802.15;130674.76;10127.39;241133.45
drtA18;77271.35;75077.89;2193.47;162424.82
drtA19;17492.06;8979.52;8512.55;8979.52
drtA40;50668.8;43909.44;6759.36;102743.28
drtA41;47261.37;35944.77;11316.6;62876.08
drtA20;204910.62;178520.53;26390.1;338754.88
drtA42;25494.16;20240.73;5253.42;20240.73
drtA21;143242.51;121835.36;21407.15;181871.22
drtA22;34096.2;29063.54;5032.66;29063.54
drtA23;20734.1;19049.56;1684.53;31879.66
drtA24;9493.7;7540.5;1953.2;7540.5
drtA25;18449.47;14871.48;3578;14871.48
