vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drt150;0;0;0;0
drt151;3039.31;410.39;2628.92;410.39
drt152;11517.73;10712.57;805.15;10712.57
drt153;13784.54;10847.63;2936.91;16162.64
drt154;0;0;0;0
drt155;7546.27;6159.6;1386.67;6159.6
drt156;8565.23;6340.73;2224.5;6340.73
drt157;10597.94;8213.16;2384.78;8213.16
drt158;3687.64;2000.13;1687.5;2000.13
drt159;3041.13;2261.31;779.82;2261.31
drt140;21919.42;10204.78;11714.65;10204.78
drt141;52298.48;49315.19;2983.29;101076
drt142;7277.08;5530.59;1746.49;5530.59
drt143;6965.08;6514.13;450.95;6514.13
drt144;0;0;0;0
drt145;41376.58;35977.18;5399.4;35977.18
drt146;0;0;0;0
drt147;0;0;0;0
drt148;5546.95;4260.42;1286.53;4260.42
drt149;2552.77;705.81;1846.97;705.81
drt170;0;0;0;0
drt171;5592.95;3816.83;1776.12;3816.83
drt172;3252.38;1091.77;2160.62;2183.53
drt173;1283.51;0;1283.51;0
drt174;78160.98;70186.13;7974.86;89274.43
drt175;0;0;0;0
drt176;0;0;0;0
drt177;3629.99;2180.31;1449.68;2180.31
drt178;0;0;0;0
drt179;43806.55;42642.06;1164.49;42642.06
drt160;0;0;0;0
drt161;0;0;0;0
drt162;3133.91;553.46;2580.45;553.46
drt163;20117.28;13305.57;6811.71;13305.57
drt164;0;0;0;0
drt165;5255.31;0;5255.31;0
drt166;69754.41;62604.88;7149.52;67183.14
drt167;20103.72;17020.09;3083.63;17020.09
drt168;0;0;0;0
drt169;4548.84;1205.81;3343.03;1205.81
drt190;5887.63;4650.57;1237.05;4650.57
drt191;6439.39;2871.01;3568.38;2871.01
drt192;0;0;0;0
drt193;14891.09;12752.51;2138.58;15202.97
drt194;12922.68;12593.98;328.71;12593.98
drt195;0;0;0;0
drt91;0;0;0;0
drt196;6497.92;5620.8;877.12;5620.8
drt92;11839.13;5831.42;6007.71;5831.42
drt197;4399.7;2080.24;2319.47;2080.24
drt198;0;0;0;0
drt90;0;0;0;0
drt199;0;0;0;0
drt88;70833.55;62093.72;8739.82;62093.72
drt89;7935.5;2304.09;5631.41;2304.09
drt86;0;0;0;0
drt87;0;0;0;0
drt84;11787.14;7457.37;4329.77;7457.37
drt85;0;0;0;0
drt82;0;0;0;0
drt83;9970.51;4851.01;5119.5;7394.46
drt180;50888.22;48443.68;2444.55;57689.14
drt181;6379.51;3460.87;2918.64;3460.87
drt182;10572.21;5972.86;4599.35;5972.86
drt183;31003.17;28488.32;2514.85;73833.17
drt184;3635.95;1402.25;2233.69;1402.25
drt80;6119.84;2683.48;3436.36;2683.48
drt185;24374.24;22046.33;2327.91;22046.33
drt81;11789.47;8464.42;3325.05;9023.05
drt186;7683.51;5208.17;2475.33;5208.17
drt187;17507.5;9482.99;8024.51;9482.99
drt188;0;0;0;0
drt189;2234.01;585.43;1648.59;585.43
drt77;2919.83;820.02;2099.81;820.02
drt78;0;0;0;0
drt75;0;0;0;0
drt76;6521.88;4034.73;2487.16;4034.73
drt73;16801.98;8078.01;8723.97;8078.01
drt74;0;0;0;0
drt71;55605.17;50607.15;4998.01;107219.49
drt72;4619.82;1517.69;3102.13;1517.69
drt79;0;0;0;0
drt99;24184.35;20378.71;3805.64;28848.27
drt97;21336.45;12071.79;9264.66;12071.79
drt98;6221.87;3075.8;3146.07;3075.8
drt95;8048.67;7421.25;627.42;7421.25
drt96;0;0;0;0
drt93;10449.72;5220.74;5228.97;5220.74
drt94;8757.05;3307.6;5449.45;3307.6
drt44;25631.89;20122.12;5509.77;20122.12
drt45;29814.09;26046.91;3767.18;26046.91
drt42;2113.52;0;2113.52;0
drt43;0;0;0;0
drt40;0;0;0;0
drt41;8537.31;7527.72;1009.59;7527.72
drt48;4409.02;1489.13;2919.89;1489.13
drt49;1315.52;303.79;1011.72;303.79
drt46;0;0;0;0
drt47;19369.55;9540.75;9828.8;9540.75
drt33;2444.1;2016.71;427.38;2016.71
drt34;4297.07;1777.5;2519.57;1777.5
drt31;3635.22;2533.39;1101.84;2533.39
drt32;0;0;0;0
drt30;1479.83;827.69;652.14;827.69
drt39;10442.82;4389.69;6053.13;4389.69
drt37;7988.16;2736.76;5251.39;2736.76
drt38;86639.56;83324.37;3315.18;130733.27
drt35;0;0;0;0
drt36;0;0;0;0
drt70;0;0;0;0
drt210;5061.3;3230.26;1831.04;3230.26
drt211;0;0;0;0
drt212;5761.57;4887.62;873.95;4887.62
drt213;0;0;0;0
drt214;0;0;0;0
drt66;47733.59;42159.01;5574.58;53996.46
drt215;11864.79;10679.13;1185.66;10679.13
drt67;0;0;0;0
drt216;9184.39;5725.49;3458.9;5725.49
drt64;0;0;0;0
drt217;0;0;0;0
drt65;53463.99;53195.24;268.75;53195.24
drt62;13426.17;6059.78;7366.4;6059.78
drt63;4405.79;587.47;3818.32;587.47
drt60;0;0;0;0
drt61;38652.99;35155.84;3497.15;35155.84
drt68;38057.92;26987.81;11070.11;31854.24
drt69;0;0;0;0
drt5;5344.49;2577.96;2766.53;2577.96
drt4;0;0;0;0
drt3;59960.11;59343.42;616.7;106804.03
drt2;0;0;0;0
drt1;0;0;0;0
drt0;0;0;0;0
drt200;26756.45;14787.93;11968.52;14787.93
drt201;5904.24;2664.92;3239.32;2664.92
drt202;10723.87;4089.53;6634.34;4089.53
drt203;0;0;0;0
drt55;6332.76;4262.96;2069.8;4262.96
drt204;8294.43;2348.04;5946.39;2348.04
drt56;0;0;0;0
drt205;0;0;0;0
drt53;11142.6;3699.39;7443.22;3699.39
drt206;7084.89;4484.21;2600.68;4484.21
drt54;28918.72;24779.8;4138.92;39325.57
drt207;8866.03;4294.77;4571.27;4294.77
drt51;21463.88;13742.7;7721.18;13742.7
drt208;0;0;0;0
drt52;8701.2;7892.05;809.15;7892.05
drt209;906.75;0;906.75;0
drt50;0;0;0;0
drt9;0;0;0;0
drt59;0;0;0;0
drt8;25975.3;10491.27;15484.03;10491.27
drt7;2636;2137.52;498.47;2137.52
drt57;0;0;0;0
drt6;0;0;0;0
drt58;8027.89;4419.75;3608.14;4419.75
drt110;0;0;0;0
drt111;11657.71;5578.31;6079.4;5578.31
drt112;0;0;0;0
drt113;11699.57;4684.65;7014.92;4684.65
drt114;58751.36;53752.51;4998.85;53752.51
drt115;1748.64;0;1748.64;0
drt116;46587.18;46442.44;144.74;48845.25
drt117;3527.5;2727.36;800.14;2727.36
drt118;22150.34;18530.8;3619.54;33117.57
drt119;68803.42;43858.99;24944.43;43858.99
drt100;3708.7;625.66;3083.04;625.66
drt101;1904.44;0;1904.44;0
drt102;4394.21;2157.11;2237.1;2157.11
drt103;12717.76;12112.22;605.54;17431.53
drt104;5237.66;3492.43;1745.23;3492.43
drt105;0;0;0;0
drt106;0;0;0;0
drt107;7060.08;3118.18;3941.9;3118.18
drt108;0;0;0;0
drt109;25393.86;16927.34;8466.53;23151.87
drt130;18275.05;16096.56;2178.49;16096.56
drt131;21387.04;16248.59;5138.44;16248.59
drt132;0;0;0;0
drt133;5851.63;5653.47;198.16;5653.47
drt134;24008.54;22573.19;1435.35;22573.19
drt135;1435.75;0;1435.75;0
drt136;42396.28;39405.72;2990.56;57198.59
drt137;16124.91;15852.94;271.97;15852.94
drt22;12972.91;12366.56;606.35;12366.56
drt138;0;0;0;0
drt23;6807.76;783.34;6024.42;783.34
drt139;1380.85;897.2;483.65;897.2
drt20;0;0;0;0
drt21;15034.19;14366.34;667.85;14366.34
drt28;934.16;307.23;626.93;307.23
drt29;0;0;0;0
drt26;7631.45;5751.79;1879.67;5751.79
drt27;6120.41;3423.97;2696.44;3423.97
drt24;48604.09;46273.14;2330.95;112595.83
drt25;18036.45;15013.82;3022.63;15013.82
drt120;1701.36;1375.06;326.3;1375.06
drt121;81867.62;75821.51;6046.11;115024.24
drt122;73160.57;66293.54;6867.03;66293.54
drt123;17021.18;13021.95;3999.23;13021.95
drt124;0;0;0;0
drt125;2073.55;829.85;1243.7;829.85
drt126;1736.88;925.61;811.27;925.61
drt11;7156.17;4032.04;3124.13;4032.04
drt127;54434.26;20984.05;33450.21;20984.05
drt12;0;0;0;0
drt128;29054.06;15833.15;13220.91;15833.15
drt129;0;0;0;0
drt10;0;0;0;0
drt19;2747.3;763.51;1983.78;763.51
drt17;0;0;0;0
drt18;0;0;0;0
drt15;3026.49;665.99;2360.5;665.99
drt16;0;0;0;0
drt13;33406.53;26144.26;7262.27;26144.26
drt14;20149.42;19506.45;642.96;19506.45
