runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;21451.48;145940.87;7331.35;0;0
NA;2;65295.26;182978.88;7322.16;0;0
NA;3;78060.69;267023.07;58644.41;0;0
NA;4;109843.49;336070.36;23380.66;0;0
NA;5;103673.3;314838.33;16736.43;0;0
NA;6;116750.44;312355.68;14602.6;41358.66;0
NA;7;150605.16;397636.8;6659.53;41308.88;0
NA;8;148315.28;358902.36;44687.39;43475.02;0
NA;9;139647.32;371871.89;38106.87;43479.18;0
NA;10;137111.65;446603.41;43415.57;990.75;0
NA;11;138649.84;400806.5;33182.09;0;0
NA;12;176436.15;439955.67;11511.69;25843.67;0
NA;13;161507.41;381611.94;12805.02;29044.46;0
NA;14;148536.22;315146.43;34242.26;3792.15;0
NA;15;124774.06;350268.65;7979.28;16235.8;31007.76
NA;16;138973.53;390142.79;34696.31;0;0
NA;17;113989.53;358957.16;5184.91;16017.15;31007.76
NA;18;130488.45;358605.83;25730.2;15215.48;1097.51
NA;19;142865.3;344511.21;34916.33;40263.43;12271.73
NA;20;131328.1;296317.08;18894.86;27757.54;6091.2
