runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;3516.66;4150.62;0;0;0
NA;2;11410.04;14102.72;2745.8;0;0
NA;3;18013.11;15150.71;0;0;0
NA;4;19292.07;19777.93;0;0;0
NA;5;32663.74;53023.29;0;0;0
NA;6;23255.85;25847.72;0;0;0
NA;7;6006.89;10114.08;0;0;0
NA;8;19701.61;18145.71;0;0;0
NA;9;25909.44;19642.39;0;0;0
NA;10;26065.12;27367.52;2799.18;0;0
NA;11;17604.47;22465.35;2799.18;0;0
NA;12;16490.75;23291.24;2776.97;0;0
NA;13;20514.24;25547.12;0;0;0
NA;14;13886.55;27354.05;1150.35;0;0
NA;15;16796.59;32832.96;0;0;0
NA;16;10740.44;26333.51;5495.39;0;0
NA;17;8855.5;16264.17;0;0;0
NA;18;28356.07;30085.32;0;0;0
NA;19;26021.35;32937.15;909.34;0;0
NA;20;29397.49;33412.38;909.34;0;0
