runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;42;0;0;NaN;0;0;0;0;NaN;NaN;1;42
NA;1;42;656114.89;120902.32;0.18;611708.75;15621.78;2878.63;14564.49;0.93;1.21;0.9;38
NA;2;42;1306038.19;212862.3;0.16;1727120.91;31096.15;5068.15;41121.93;1.32;1.07;0.83;35
NA;3;42;1605304.93;280497.62;0.17;2133312.26;38221.55;6678.51;50793.15;1.33;1.11;0.75;31.54
NA;4;42;1803118.29;285688.85;0.16;2398722.3;42931.39;6802.12;57112.44;1.33;1.17;0.76;32.1
NA;5;42;1850274.33;304542.67;0.16;2489746.07;44054.15;7251.02;59279.67;1.35;1.14;0.77;32.15
NA;6;42;1953629.15;347698.66;0.18;2450161.38;46514.98;8278.54;58337.18;1.25;1.15;0.78;32.66
NA;7;42;2007257.23;349861.23;0.17;2690725.09;47791.84;8330.03;64064.88;1.34;1.18;0.79;33.31
NA;8;42;2185060.53;345076.72;0.16;3148543.22;52025.25;8216.11;74965.31;1.44;1.14;0.74;31.14
NA;9;42;2332895.1;389988.41;0.17;3367446.97;55545.12;9285.44;80177.31;1.44;1.15;0.75;31.45
NA;10;42;2432216.72;409663.29;0.17;3308583.91;57909.92;9753.89;78775.81;1.36;1.2;0.74;31.16
NA;11;42;2340236.08;392105.94;0.17;3161654.33;55719.91;9335.86;75277.48;1.35;1.21;0.79;33
NA;12;42;2089343.17;334325.2;0.16;2791392.32;49746.27;7960.12;66461.72;1.34;1.2;0.77;32.49
NA;13;42;2094613.8;339392.76;0.16;2826227.24;49871.76;8080.78;67291.12;1.35;1.19;0.74;31.1
NA;14;42;2182610.96;376937.77;0.17;3011203.72;51966.93;8974.71;71695.33;1.38;1.16;0.75;31.43
NA;15;42;2176266.3;361715.26;0.17;2990133.83;51815.86;8612.27;71193.66;1.37;1.2;0.76;32
NA;16;42;2187051.7;312722.49;0.14;3368887.35;52072.66;7445.77;80211.6;1.54;1.16;0.74;30.89
NA;17;42;2270397.28;328032.82;0.14;3343456.18;54057.08;7810.31;79606.1;1.47;1.18;0.78;32.7
NA;18;42;2428968.09;424349.46;0.17;3254178.99;57832.57;10103.56;77480.45;1.34;1.21;0.74;31
NA;19;42;2367861.63;358380.55;0.15;3448394.68;56377.66;8532.87;82104.64;1.46;1.18;0.74;31.24
NA;20;42;2270495.05;342246.52;0.15;3312100.83;54059.41;8148.73;78859.54;1.46;1.18;0.71;30
