runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;17;0;0;NaN;0;0;0;0;NaN;NaN;1;17
NA;1;17;174723.71;21451.48;0.12;160603.58;10277.87;1261.85;9447.27;0.92;1.11;0.88;15
NA;2;17;255596.31;65295.26;0.26;197623.21;15035.08;3840.9;11624.89;0.77;1.32;0.82;14
NA;3;17;403728.18;78060.69;0.19;384311.9;23748.72;4591.81;22606.58;0.95;1.07;0.78;13.26
NA;4;17;469294.52;109843.49;0.23;382831.68;27605.56;6461.38;22519.51;0.82;1.24;0.81;13.7
NA;5;17;435248.06;103673.3;0.24;348311.18;25602.83;6098.43;20488.89;0.8;1.31;0.81;13.7
NA;6;17;485067.39;116750.44;0.24;465636.86;28533.38;6867.67;27390.4;0.96;1.11;0.81;13.71
NA;7;17;596210.36;150605.16;0.25;534882.49;35071.2;8859.13;31463.68;0.9;1.17;0.78;13.27
NA;8;17;595380.05;148315.28;0.25;578702.2;35022.36;8724.43;34041.31;0.97;1.13;0.72;12.22
NA;9;17;593105.27;139647.32;0.24;578523.18;34888.55;8214.55;34030.78;0.98;1.1;0.78;13.22
NA;10;17;628121.39;137111.65;0.22;536406.8;36948.32;8065.39;31553.34;0.85;1.22;0.77;13.09
NA;11;17;572638.42;138649.84;0.24;467170.67;33684.61;8155.87;27480.63;0.82;1.27;0.71;12.09
NA;12;17;653747.18;176436.15;0.27;540510.07;38455.72;10378.6;31794.71;0.83;1.26;0.75;12.74
NA;13;17;584968.83;161507.41;0.28;494355.35;34409.93;9500.44;29079.73;0.85;1.26;0.77;13.13
NA;14;17;501717.06;148536.22;0.3;395007.4;29512.77;8737.42;23235.73;0.79;1.3;0.77;13.13
NA;15;17;530265.54;124774.06;0.24;538965.63;31192.09;7339.65;31703.86;1.02;1.06;0.77;13.04
NA;16;17;563812.64;138973.53;0.25;459535.42;33165.45;8174.91;27031.5;0.82;1.27;0.78;13.2
NA;17;17;525156.51;113989.53;0.22;541409.47;30891.56;6705.27;31847.62;1.03;1.09;0.78;13.27
NA;18;17;531137.47;130488.45;0.25;460102.69;31243.38;7675.79;27064.86;0.87;1.28;0.76;13
NA;19;17;574828.01;142865.3;0.25;584221.1;33813.41;8403.84;34365.95;1.02;1.17;0.67;11.31
NA;20;17;480388.8;131328.1;0.27;441744.26;28258.16;7725.18;25984.96;0.92;1.19;0.71;11.99
