runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;3;0;0;NaN;0;0;0;0;NaN;NaN;1;3
NA;1;3;7667.28;3516.66;0.46;4150.62;2555.76;1172.22;1383.54;0.54;1.85;0.53;1.59
NA;2;3;28258.55;11410.04;0.4;19594.31;9419.52;3803.35;6531.44;0.69;2.57;0.67;2
NA;3;3;33163.82;18013.11;0.54;15150.71;11054.61;6004.37;5050.24;0.46;2.2;0.67;2
NA;4;3;39070;19292.07;0.49;19777.93;13023.33;6430.69;6592.64;0.51;1.98;0.67;2
NA;5;3;85687.04;32663.74;0.38;53023.29;28562.35;10887.91;17674.43;0.62;1.62;0.33;1
NA;6;3;49103.58;23255.85;0.47;25847.72;16367.86;7751.95;8615.91;0.53;1.9;0.67;2
NA;7;3;16120.97;6006.89;0.37;10114.08;5373.66;2002.3;3371.36;0.63;1.59;0.67;2
NA;8;3;37847.32;19701.61;0.52;18145.71;12615.77;6567.2;6048.57;0.48;2.09;0.67;2
NA;9;3;45551.83;25909.44;0.57;19642.39;15183.94;8636.48;6547.46;0.43;2.32;0.67;2
NA;10;3;56231.81;26065.12;0.46;32965.88;18743.94;8688.37;10988.63;0.59;2.17;0.67;2
NA;11;3;42869;17604.47;0.41;28063.7;14289.67;5868.16;9354.57;0.65;2.04;0.67;2
NA;12;3;42558.96;16490.75;0.39;28845.19;14186.32;5496.92;9615.06;0.68;1.95;0.33;1
NA;13;3;46061.36;20514.24;0.45;25547.12;15353.79;6838.08;8515.71;0.55;1.81;0.35;1.04
NA;14;3;42390.96;13886.55;0.33;29654.76;14130.32;4628.85;9884.92;0.7;1.51;0.67;2
NA;15;3;49629.55;16796.59;0.34;32832.96;16543.18;5598.86;10944.32;0.66;1.53;0.67;2
NA;16;3;42569.34;10740.44;0.25;37324.28;14189.78;3580.15;12441.43;0.88;1.69;0.66;1.99
NA;17;3;25119.67;8855.5;0.35;16264.17;8373.22;2951.83;5421.39;0.65;1.54;0.42;1.27
NA;18;3;58441.39;28356.07;0.49;30085.32;19480.46;9452.02;10028.44;0.51;1.95;0.47;1.4
NA;19;3;59867.85;26021.35;0.43;34755.83;19955.95;8673.78;11585.28;0.58;1.79;0.67;2
NA;20;3;63719.21;29397.49;0.46;35231.06;21239.74;9799.16;11743.69;0.55;1.88;0.67;2
