person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
31144040261-2;8648.123539619965;8648.123539619965;1.0;899.0;520.0337909875464;1.7287338161099017
32043031771-2;28194.527981860054;15477.669192281695;1.821626217203293;2199.0;1025.848175493273;2.143592056341694
31157185231-3;12356.034661842556;12356.034661842556;1.0;1264.0;776.2786503717491;1.6282812871314802
31123036721-2;14851.187454368288;13709.653339629964;1.083264987557237;1533.0;850.6926709421635;1.8020608997396956
31124023311-6;6601.880815648823;6601.880815648823;1.0;691.0;466.1245069741962;1.4824365371509043
31192040801-6;11172.326665690649;11172.326665690649;1.0;1417.0;1220.1212142651011;1.1613600218019995
31123037701-7;13218.495468171655;11374.509501679764;1.162115646940167;1421.0;664.870481011726;2.137258369235584
31124015231-4;16713.047164085634;15756.538250766118;1.0607055241510939;1571.0;1115.5602094852031;1.4082610572180307
31132029211-2;11024.306569782448;11024.306569782448;1.0;1166.0;710.2273490082971;1.6417278236723865
31127119452-2;12723.468797234784;12723.468797234784;1.0;1199.0;776.0806231459201;1.5449425797280367
31131017341-1;881.6812273037889;881.6812273037889;1.0;334.0;98.0900396525352;3.405034814779663
31144039921-1;4443.500446504809;4443.500446504809;1.0;427.0;332.30974149263966;1.2849457800485744
31123068543-1;1727.8884256126435;1727.8884256126435;1.0;481.0;238.16466703119838;2.019611078317471
31123028081-1;7485.430557164442;7485.430557164442;1.0;722.0;518.3668789520868;1.3928359031340334
31154000211-2;8827.192577913283;8827.192577913283;1.0;810.0;735.4533234366254;1.1013615333397815
31035002051-1;6227.840679943819;6227.840679943819;1.0;694.0;399.702465656583;1.7362915158904024
31144028502-1;6830.137099906973;6830.137099906973;1.0;878.0;594.0528776791937;1.4779829085756004
31132019831-1;1347.7395710467565;1347.7395710467565;1.0;624.0;197.10400013303433;3.16584138109239
31123088582-2;1916.4933206942228;1916.4933206942228;1.0;313.0;175.10250487894584;1.7875244001585657
31163037751-2;9490.260253591696;9490.260253591696;1.0;1004.0;814.1496558680637;1.2331885087263394
61344034232-1;4540.091498489954;4540.091498489954;1.0;952.0;396.3685692406663;2.401804971125161
12431003711-2;17562.18269315559;17562.18269315559;1.0;1250.0;1046.2708037054965;1.1947193743464612
81087044691-2;7744.918472071779;7744.918472071779;1.0;998.0;489.5345801529194;2.038671097940104
31124060812-2;1974.1136984368914;1974.1136984368914;1.0;461.0;266.0914111685013;1.73248733574521
31124057271-1;1233.415096233837;1233.415096233837;1.0;360.0;150.1317800519027;2.3978933699150367
31185008541-4;21487.960126694376;21487.960126694376;1.0;1311.0;1158.8779237391977;1.131266696124446
31157175882-2;15956.233952238254;9548.391366777567;1.6710913220163945;1708.0;585.1611603709329;2.9188540109485412
31157188541-1;12517.109059280361;11541.928279171445;1.0844902824312923;1276.0;769.0259743477889;1.6592417454848336
32013085781-2;8134.411805553427;8134.411805553427;1.0;1070.0;484.487517769506;2.208519230642079
31105019571-2;7064.080544671739;7064.080544671739;1.0;744.0;550.491481257587;1.351519551765536
