person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
31123064722-1;2984.137386495734;2984.137386495734;1.0;591.0;266.36347382174716;2.218772685009742
31124026835-1;25477.575776289043;25477.575776289043;1.0;2633.0;2101.9906300411258;1.2526221393995867
42137033062-1;1961.1277444895404;1961.1277444895404;1.0;981.0;307.7836942124338;3.1873033511739877
32083003583-1;711.9738726350752;711.9738726350752;1.0;583.0;79.51377071079219;7.332063299079225
91533019191-1;1553.5754041521861;1553.5754041521861;1.0;670.0;234.77140605210448;2.853839874568465
31127117341-1;562.8592989909778;562.8592989909778;1.0;509.0;81.87631374596543;6.216694141595764
31124013972-2;355.43938399434893;355.43938399434893;1.0;618.0;52.51157110834886;11.7688346959732
91524018461-4;2774.3532969003286;2774.3532969003286;1.0;737.0;465.34713391264734;1.5837639179235732
61354046421-1;1513.3575192054245;1513.3575192054245;1.0;574.0;242.94812841259807;2.3626442555884917
31062006651-1;41308.88037934381;41283.438113902856;1.0006162826209086;3633.0;3114.0549205265543;1.166646090938466
61353035261-1;814.6532637899372;814.6532637899372;1.0;713.0;134.19304062865874;5.313241257965275
32254010902-1;4694.698803723511;4694.698803723511;1.0;994.0;476.25658866860977;2.087110233537678
31154018631-1;38375.545476569765;38375.545476569765;1.0;3631.0;3195.255646662035;1.1363722974069919
31123014442-1;560.491163104376;560.491163104376;1.0;276.0;87.19297427439919;3.1653926511489194
61358057041-2;2998.0563738857227;2998.0563738857227;1.0;729.0;425.3825293400003;1.7137516228771208
61357056701-3;1373.962292356485;1373.962292356485;1.0;514.0;218.35438638156174;2.353971488815501
32193004071-2;3946.9731211014387;3946.9731211014387;1.0;1068.0;580.5958833191403;1.8394894464192142
61351024992-2;1195.5036473116684;1195.5036473116684;1.0;399.0;235.555402172701;1.693869027497264
61362024612-2;3075.596477085291;3075.596477085291;1.0;1198.0;450.40115531735484;2.6598510813230116
32097060231-1;1481.9775660090108;1481.9775660090108;1.0;709.0;214.19167908424646;3.3101192494090035
32083002822-1;2824.879114964884;2824.879114964884;1.0;756.0;379.19638979970034;1.9936898671407062
32097067922-2;722.1030559106568;722.1030559106568;1.0;501.0;118.10533256251273;4.241976116826245
61367055652-5;1087.7236241339083;1087.7236241339083;1.0;373.0;162.26027480818615;2.298775842953163
91532015413-2;1881.7862405383034;1881.7862405383034;1.0;591.0;307.0428808505849;1.9248125811052303
91534016872-2;836.502893445467;836.502893445467;1.0;442.0;134.97276097229505;3.2747348192034567
32093041081-7;403.168844796893;403.168844796893;1.0;654.0;59.138799778593366;11.058729674062986
31124101954-2;1598.6138134439507;1598.6138134439507;1.0;611.0;213.9333860853335;2.8560292116176997
91533018861-2;487.65350548705317;487.65350548705317;1.0;711.0;73.19288594593601;9.714058829777265
32097083975-2;774.7485821602811;774.7485821602811;1.0;636.0;128.41043586524984;4.952868477663294
31124066133-2;7163.6733236485325;1517.333049154308;4.7212267126464;1796.0;251.68802376532096;7.135818276655972
61352009423-2;525.133294688006;525.133294688006;1.0;223.0;85.43947890797924;2.6100346449932985
31127114991-4;1045.5037622094883;1045.5037622094883;1.0;562.0;173.31801972355981;3.242594168202379
61354047114-2;664.4922590761898;664.4922590761898;1.0;615.0;93.70819518809955;6.562926527029108
91532016202-2;680.4944690914874;680.4944690914874;1.0;702.0;111.80319474193087;6.278890344952913
31124077252-1;1471.87172893183;1471.87172893183;1.0;626.0;197.08653075071817;3.1762698222730723
32084033132-4;1664.3494103894855;1664.3494103894855;1.0;1129.0;278.5659156810113;4.052900719170645
31127129444-2;405.94641749752134;405.94641749752134;1.0;378.0;53.96152584744151;7.004990946117255
32083034142-2;16533.122416542334;16533.122416542334;1.0;1774.0;1256.9537741020472;1.4113486403008928
32094038093-2;17452.052673251197;17452.052673251197;1.0;3205.0;2697.337777044275;1.1882086208394775
42163010743-2;32306.481533261445;32281.039267820488;1.0007881488953896;2985.0;2653.7489158842936;1.1248238226808
61373028751-1;2123.322429156621;2123.322429156621;1.0;702.0;332.23376235159907;2.112970081761533
91532015841-3;1874.507803068198;1874.507803068198;1.0;650.0;270.78151544289733;2.400459274100904
32097060412-2;1931.2357017648546;1931.2357017648546;1.0;532.0;274.8412240289579;1.9356630428335861
61352011003-2;373.5831130330033;373.5831130330033;1.0;449.0;62.393991118289875;7.196205787649674
91534019301-5;1418.1947633169827;1418.1947633169827;1.0;421.0;176.33332609317392;2.3875237275201457
61353031623-2;1476.432794868249;1476.432794868249;1.0;982.0;252.24285757563618;3.8930735618769416
91536012391-4;37339.41998051485;37313.977715073896;1.0006818427570288;3151.0;2790.303227506218;1.1292679479914978
32255001291-2;2193.155166068275;2193.155166068275;1.0;1251.0;283.4179818166846;4.413975401212015
42124006273-2;53957.556741533;38066.409316577614;1.4174585339215307;5651.0;2885.530319343595;1.9583921756488418
42048026664-2;39275.014560823955;27572.085250892265;1.4244484667532706;3652.0;2065.322991128994;1.7682464271623008
42124019712-5;46271.84131957504;41502.08156311898;1.1149282054492111;4946.0;3173.325852789608;1.5586171195284182
31124054011-2;6091.204424352561;6091.204424352561;1.0;843.0;512.9818847067359;1.6433328839320138
61377042652-2;28.31739963658404;28.31739963658404;1.0;498.0;7.8691421707559215;63.2851699961295
32084001752-8;682.7877791923684;682.7877791923684;1.0;501.0;108.18517878605567;4.6309485792944445
61351013751-3;1319.0708921391874;1319.0708921391874;1.0;674.0;222.84584783355928;3.0245122651035525
61362006801-3;12552.043707421728;12552.043707421728;1.0;1492.0;891.7343930844626;1.6731439446215035
32097067922-5;2876.0602023014576;2876.0602023014576;1.0;777.0;379.74759034457236;2.046095932550808
91532021511-4;1709.467515396485;1709.467515396485;1.0;389.0;185.02120290407785;2.1024617389482256
