person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
42128034154-1;5865.477222245523;5865.477222245523;1.0;1232.0;531.8501290558374;2.3164420439026645
32097072743-1;1352.8180085567542;1352.8180085567542;1.0;511.0;197.35433161620864;2.589251504211888
32094052833-1;1119.2947806786233;1119.2947806786233;1.0;710.0;189.85818366494553;3.739633374208303
42124023352-1;3089.630297646217;3089.630297646217;1.0;850.0;451.2978669135197;1.8834567196456125
91534016872-1;754.3234100095617;754.3234100095617;1.0;410.0;123.53507035125317;3.3188955883881994
42124009113-1;2956.5384005545793;2956.5384005545793;1.0;822.0;356.0694392561899;2.308538474172662
42132024042-1;2794.6088451470005;2794.6088451470005;1.0;881.0;437.1417371894586;2.0153646404579573
42033002544-1;580.6619249707536;580.6619249707536;1.0;527.0;79.9369543845635;6.592695506820161
42124025811-1;3479.3630647589675;2329.8244204034513;1.4934014058263037;1298.0;316.14887343229833;4.10566068418384
42125024721-1;1947.464914179081;1947.464914179081;1.0;682.0;302.23383217178974;2.25653096180295
42164016332-1;2246.0306872607935;2246.0306872607935;1.0;1002.0;314.4543742566378;3.1864718128622087
42164001692-1;1722.2350375692813;1722.2350375692813;1.0;418.0;197.15113239085753;2.1202008577424936
32093001221-1;1461.6257683061083;1461.6257683061083;1.0;558.0;235.74423537202605;2.366971981815058
32094050291-1;5248.002607907082;5248.002607907082;1.0;906.0;569.379101315433;1.5912069795095638
42127032632-3;2384.4753112908443;2384.4753112908443;1.0;548.0;239.42766271626067;2.2887915029660553
42157017721-3;2619.7117316218273;2619.7117316218273;1.0;834.0;412.06131448134164;2.02397063419979
42124030672-1;426.7767037916284;426.7767037916284;1.0;416.0;69.80885085073756;5.959129751175453
32097072262-4;1098.2065497729052;1042.7045056481313;1.0532289290245989;601.0;137.12532793188336;4.382851870360121
42132028221-5;1474.2746775172823;1474.2746775172823;1.0;734.0;199.97734059965373;3.670415847110585
42154007282-1;2227.2157752828703;2227.2157752828703;1.0;699.0;289.2431665961395;2.4166517336466247
32097059401-2;5871.497014079159;5871.497014079159;1.0;1236.0;870.9993678367653;1.4190595833264024
42133043652-4;889.285547359682;889.285547359682;1.0;657.0;145.3412105340799;4.520397192136675
42034017511-4;3079.0103566808516;3079.0103566808516;1.0;1123.0;458.19912442956974;2.450899489164383
42124028132-3;1333.1773516100975;1333.1773516100975;1.0;413.0;178.28322547925717;2.3165387483302604
42164017774-2;1375.2000962570974;1375.2000962570974;1.0;941.0;207.20289124465248;4.541442420747521
91536008831-3;9222.587630459902;2648.7612809626994;3.481849306974137;1958.0;402.9609781014237;4.859031286913293
32093014221-2;2159.9000712770626;2159.9000712770626;1.0;815.0;288.1620230011878;2.8282699833650207
42124014572-3;3290.792866107714;3290.792866107714;1.0;788.0;453.87163293473384;1.7361737170150782
42141003641-2;5824.80254233267;5824.80254233267;1.0;1409.0;598.3575164760949;2.354779477490346
42124018572-2;7822.9830937730785;7822.9830937730785;1.0;1453.0;887.659363837998;1.6368891707711195
42037039001-2;8232.158289357749;8232.158289357749;1.0;1331.0;984.5894139720672;1.3518325315223838
42155015893-3;2220.9881890865686;2220.9881890865686;1.0;594.0;352.07019969317463;1.6871635273808023
42132024002-2;838.9024256741368;838.9024256741368;1.0;393.0;124.70964891804692;3.1513199131709557
42163012124-2;927.2886294299379;927.2886294299379;1.0;630.0;116.35580314990965;5.414426981250992
91536013633-2;717.1089013452807;717.1089013452807;1.0;633.0;115.29478961387264;5.490274123574405
42163012123-2;704.0003553686443;704.0003553686443;1.0;265.0;98.7292424510424;2.684108511532513
32094055752-6;3033.0214827769346;3033.0214827769346;1.0;780.0;442.1334116226258;1.7641733908717887
91536017733-2;3942.400376348559;3942.400376348559;1.0;917.0;319.74313358734867;2.867927106711395
42163016361-2;2860.3197839516383;2860.3197839516383;1.0;549.0;270.2016323640278;2.0318160005057355
91531008271-2;2906.826926987097;2906.826926987097;1.0;587.0;267.19138446859915;2.1969271246056414
91536013231-4;53.6988559391187;53.6988559391187;1.0;575.0;9.665429798904023;59.4903705229125
32093057142-4;5678.73035221622;5678.73035221622;1.0;1140.0;708.069234059428;1.6100120513135021
91536012482-2;2226.5637180764684;2226.5637180764684;1.0;835.0;334.9309797298206;2.4930509583603495
91532014482-2;769.2844023177713;769.2844023177713;1.0;301.0;125.37588238250208;2.400780710613038
91533018861-5;2917.0933945066104;2917.0933945066104;1.0;796.0;336.01104686821014;2.368969733046325
91536017473-4;423.6129886165878;423.6129886165878;1.0;402.0;69.26287923135224;5.803974718654669
32093052863-2;1849.0221820334325;1849.0221820334325;1.0;768.0;240.9759236288516;3.1870403832661096
32094010751-4;645.2351326453946;645.2351326453946;1.0;667.0;96.85477692453574;6.886598897643346
