departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
929.0;31144040261-2;drtA2;34951902_0;387618.28;3950773.84;846599943_0_r;379628.51;3951061.49;359.0;1828.0;540.0;8648.12;8648.12;-8.05;1529;3689.1
1227.0;32043031771-2;drtA12;231404549_0;382816.61;3947017.9;38068616_1;372275;3949255.55;168.0;3426.0;2031.0;28194.53;15477.67;-12.83;1827;5504.54
1826.0;31157185231-3;drtA12;23646664_0;382611.57;3946807.88;206645191_0;374089.71;3949251.18;480.0;3090.0;784.0;12356.03;12356.03;-10.65;2426;5354.84
2461.0;31123036721-2;drtA35;286703474_1;388207.77;3949326.38;60351908_3;377284.26;3944145.31;282.0;3994.0;1251.0;14851.19;13709.65;-11.6;3061;6213.08
3032.0;31124023311-6;drtA35;41857233_0;382610.89;3947593.31;73172411_0;378114.43;3944119.95;223.0;3723.0;468.0;6601.88;6601.88;-6.62;3632;5630.37
3626.0;31192040801-6;drtA30;39393255_0;381281.3;3950240.99;34285850_0;375273.99;3954477;162.0;5043.0;1255.0;11172.33;11172.33;-9.82;4226;8486.36
4618.0;31123037701-7;drtA37;286703470_0;388328.01;3949449.87;116429945_12;379634.58;3944818.55;385.0;6039.0;1036.0;13218.5;11374.51;-9.96;5218;7812.61
5132.0;31124015231-4;drtA37;583378753_0_r;386741.43;3948400.09;115333958_1;374251.74;3944547.06;223.0;6703.0;1348.0;16713.05;15756.54;-13.03;5732;9678.68
7264.0;31132029211-2;drtA38;203035387_0;388374.38;3949967.18;115447306_0_r;380084.1;3948209.73;425.0;8430.0;741.0;11024.31;11024.31;-9.72;7864;10594.68
9838.0;31127119452-2;drtA33;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;399.0;11037.0;800.0;12723.47;12723.47;-10.91;10438;13366.24
24039.0;31131017341-1;drtA20;1061981252_1;383017.82;3948573.92;41857210_0_r;382998.54;3948107.82;207.0;24373.0;127.0;881.68;881.68;-2.62;24639;25533.27
27058.0;31144039921-1;drtA31;149672905_0;383043.12;3950251.38;195279740_0;379471.66;3951105.89;93.0;27485.0;334.0;4443.5;4443.5;-5.11;27658;29254.93
28231.0;31123068543-1;drtA19;31764457_0;377449.5;3946950.5;36878873_2;376478.87;3947776.56;235.0;28712.0;246.0;1727.89;1727.89;-3.21;28831;30145.49
30518.0;31123028081-1;drtA21;330038902_0;383114.78;3946875.6;291824531_0;377442.37;3944416.43;180.0;31240.0;542.0;7485.43;7485.43;-7.24;31118;33273.1
30623.0;31154000211-2;drtA9;39436535_0_r;382873.67;3950677.56;115982450_0;386589.78;3956473.04;71.0;31433.0;739.0;8827.19;8827.19;-8.18;31223;34029.36
31210.0;31035002051-1;drtA22;69963034_3;386470.33;3947299.32;41857248_1;382861.72;3947102.07;282.0;31904.0;412.0;6227.84;6227.84;-6.36;31810;33609.11
32412.0;31144028502-1;drtA0;263009789_0_r;379450;3952304.11;215070867_0;380071.93;3948964.84;269.0;33290.0;609.0;6830.14;6830.14;-6.78;33012;35394.16
33042.0;31132019831-1;drtA22;137206077_0;381657.49;3947452.11;182823065_0;382638.94;3946930.55;292.0;33666.0;332.0;1347.74;1347.74;-2.94;33642;34833.31
33321.0;31123088582-2;drtA17;48672204_1;379978.28;3945025.94;116837753_15;380505.9;3945652.89;132.0;33634.0;181.0;1916.49;1916.49;-3.34;33921;35046.31
33334.0;31163037751-2;drtA8;544206153_0;382405.18;3949856.8;115521447_0;386044.76;3954985.09;148.0;34338.0;856.0;9490.26;9490.26;-8.64;33934;36976.45
34248.0;61344034232-1;drtA10;47362605_0;374142.14;3941883.83;400569994_0;376012.43;3943475.35;484.0;35200.0;468.0;4540.09;4540.09;-5.18;34848;36637.11
36988.0;12431003711-2;drtA20;265033754_0;383300.44;3947683.34;62041909_0_r;388191.59;3958536;172.0;38238.0;1078.0;17562.18;17562.18;-14.29;37588;41326.81
37821.0;81087044691-2;drtA36;139506059_1;388213.03;3950370.37;159277089_0;382632.81;3948118.39;506.0;38819.0;492.0;7744.92;7744.92;-7.42;38421;40489.6
