departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
10830.0;42063027351-1;drtE2;320432635_0;332886.92;3902294.65;1023921434_0;330875.08;3908938.75;187.0;11759.0;742.0;8606.76;8606.76;-8.02;11430;14209.36
26418.0;42068029513-1;drtE3;319420038_0;335078.12;3908147.73;154654700_5;334093.15;3907262.08;554.0;27182.0;210.0;1699.48;1699.48;-3.19;27018;28215.4
27776.0;43837001093-1;drtE1;131409984_0;330454.25;3894290.24;242462630_2;332496.42;3902490.6;585.0;29401.0;1040.0;9650.35;9650.35;-8.76;28376;32047.41
29721.0;42062020323-1;drtE1;199306646_7;334453.55;3904434.92;199306269_6;335013.29;3905115.25;686.0;30566.0;159.0;1198.5;1198.5;-2.84;30321;31406.33
30367.0;42173004182-1;drtE2;318854661_0;327787.25;3910576.05;501349034_0;331286.11;3912942.78;451.0;31199.0;381.0;5311.95;5177.69;-5.62;30967;32591.42
32759.0;43623000312-2;drtE2;107415981_0;331626.73;3910270.1;226039810_2;334692.28;3908824.7;349.0;33536.0;428.0;5261.73;5261.73;-5.68;33359;35214.33
33909.0;43624001943-1;drtE2;205296958_1;332189.32;3909729.18;107415981_0;331626.73;3910270.1;399.0;34531.0;223.0;999.91;999.91;-2.7;34509;35370.96
46224.0;42068030261-3;drtE3;226039810_2;334692.28;3908824.7;320230823_0;333672.71;3905672.53;339.0;47034.0;471.0;3982.1;3982.1;-4.79;46824;48802.38
47435.0;42063030002-4;drtE1;226039844_0_r;333855.19;3903675.71;320154957_0;335730.08;3904647;446.0;48365.0;484.0;2997.33;2997.33;-4.1;48035;49964.75
49247.0;42062024241-2;drtE2;319392667_0;331119.61;3907413.99;136560571_28;330983.13;3906187.67;408.0;49814.0;159.0;2368.66;2368.66;-3.66;49847;50888.35
51747.0;42062005643-4;drtE2;319768346_0_r;332029.44;3906141.71;320425688_0;332393.31;3904341.21;258.0;52312.0;307.0;2423.46;2423.46;-3.7;52347;53696.52
52764.0;42063030901-1;drtE1;197783348_3;336401.54;3904895.79;550346823_0;332497.12;3902742.4;230.0;54083.0;1089.0;6146.15;4931.8;-5.45;53364;56118.91
53444.0;42062019522-3;drtE1;444229884_0;334032.64;3903329.18;277515907_0;332948.46;3902570.57;112.0;53930.0;374.0;2474.36;1450.4;-3.02;54044;55182.86
53645.0;42062017042-2;drtE1;226039161_0;334120.66;3903116.37;197887641_8;331987.21;3907027.92;131.0;54695.0;919.0;7087.44;5493.96;-5.85;54245;56601.81
55865.0;42062017044-2;drtE2;226039161_0;334120.66;3903116.37;197887641_8;331987.21;3907027.92;434.0;56864.0;565.0;5493.96;5493.96;-5.85;56465;58751.73
57624.0;42062002982-3;drtE1;319288915_0;331252.37;3909138.67;18955491_2;331261.84;3909047.25;303.0;57964.0;37.0;266.86;266.86;-2.35;58224;58966.52
58614.0;42173002304-2;drtE2;963611077_0;329675.15;3905723.14;319012622_0;328542.78;3909239.76;529.0;59727.0;584.0;5323.51;5323.51;-5.73;59214;61556.38
61224.0;42062010941-4;drtE3;1068314201_0_r;331718.84;3903745.29;226038567_1;332070.69;3903239.54;509.0;61865.0;132.0;834.76;834.76;-2.58;61824;62812.6
63939.0;42063028272-2;drtE2;685054827_0;325291.77;3909052.36;1068314201_0_r;331718.84;3903745.29;688.0;66236.0;1609.0;16533.83;11962.52;-10.37;64539;68427.78
64830.0;43664001822-3;drtE2;318902099_0_r;327550.6;3910476.63;318736782_0;329626;3911085.25;217.0;65253.0;206.0;2730.55;2730.55;-3.91;65430;66628.95
