time;personId;fromLinkId;toLinkId;fromX;fromY;toX;toY
67847.0;32093042562-2;238178202_2;107465024_3;362602.65543061646;3935926.9447423695;361510.08861924853;3936029.9426284875
55539.0;61377039732-2;131300418_0_r;203250881_0_r;364689.6019530493;3939002.259320854;364877.50298416393;3938298.8730709953
54612.0;32083021181-2;26998250_0;163192402_0_r;367046.9777054772;3947184.750153528;368142.85080142366;3946137.4431000478
45047.0;91535003792-2;192210042_3;1064243960_4;356472.88274496526;3935561.8625331074;357922.2178602794;3933268.3578861803
35117.0;32097067921-1;144341352_1;449386749_0;361126.64445700694;3934101.942736776;359989.25094306807;3934412.4295985796
86559.0;61372001521-3;115447369_0_r;43047189_0;380134.4609096747;3948024.4377386845;365654.84768456314;3940485.3602009383
64847.0;32097078253-2;238178202_2;1088491450_0;362602.65543061646;3935926.9447423695;361861.04294190847;3934378.9477752824
85148.0;31143023111-2;172641058_1;115447369_0_r;360605.47672419914;3950242.5535762063;380134.4609096747;3948024.4377386845
63769.0;32254001202-3;115447369_0_r;111492059_2;380134.4609096747;3948024.4377386845;362790.69874813093;3944903.3837614646
30659.0;32094024374-1;143561740_0_r;222711887_1;361699.0373796308;3931355.4088166286;360503.7038696579;3932378.537284692
88598.0;32093003681-2;115447369_0_r;442978351_0;380134.4609096747;3948024.4377386845;360958.0862233625;3936649.7598616267
66642.0;51173065594-2;103420698_0_r;135242136_0_r;367782.84716275125;3940405.7929869364;367291.28923531907;3938864.2826648885
42975.0;61375032942-3;446196027_1;1003976248_0;364139.501745744;3938325.880887546;364975.6968336072;3938028.2128182664
88007.0;31157124691-2;254992125_5;1085751997_1;381004.2565397597;3946072.3559383824;373354.1904161365;3949210.449483498
65951.0;32017101151-2;115447369_0_r;252398991_0_r;380134.4609096747;3948024.4377386845;345131.7301663271;3942412.508423731
53418.0;51173061171-6;54156796_0;99866465_0;361902.4636160367;3937045.9311683998;362709.50483483565;3935753.4355782326
42041.0;32093006401-1;189328253_0_r;251728773_7;360384.8071455675;3937582.030750915;359109.3649247099;3934312.610813761
30982.0;32097064622-1;47109779_1;48442270_0_r;360734.8125083067;3941417.537651137;363572.2708804506;3938648.257924094
44001.0;32054016741-1;172641058_1;750630133_0;360605.47672419914;3950242.5535762063;379144.3195075165;3948073.9291866184
44425.0;32097061652-2;243628261_0;446196027_1;364560.1157650801;3938269.4931179835;364139.501745744;3938325.880887546
32427.0;32097059261-1;971269121_1;369319805_0;361006.2188646338;3936715.2451975113;361638.49780531926;3932778.6636341894
75680.0;32062008501-2;390951625_4;172811412_2;381151.24296671274;3945827.804582878;364617.850745443;3947908.8606063123
79727.0;31123087721-4;158059312_3;42752546_1;381104.4761560549;3945929.5820514048;374138.03772730014;3943377.04545114
77102.0;31123059501-2;390951625_4;43113062_0;381151.24296671274;3945827.804582878;378129.61409101315;3942262.8087634277
81593.0;32093016641-3;158059312_3;221668831_0;381104.4761560549;3945929.5820514048;357914.15089387796;3938124.4154753964
63623.0;61372005501-3;1121607074_0_r;43556034_0;361805.2506826235;3937514.163942931;362306.64680180966;3938774.125339985
81439.0;32094057554-3;254992125_5;221319980_0_r;381004.2565397597;3946072.3559383824;359952.5083079961;3939812.812280546
102885.0;31147056851-2;172641058_1;115447369_0_r;360605.47672419914;3950242.5535762063;380134.4609096747;3948024.4377386845
24942.0;61368049991-1;203099005_0_r;989378788_0;369291.47601307486;3939475.403407223;366304.25353829726;3940319.7645076797
26134.0;61354033961-1;558467324_0;146932845_0_r;367377.23611869116;3944169.8636199865;367538.5740371709;3943355.118582935
26477.0;32097084553-1;144487049_3;49175369_1;359238.4243798087;3938771.594206273;360173.2478426086;3939582.9041306283
52233.0;31123048662-3;37813175_0;116613738_0;372511.7405001912;3946116.8596068057;372774.5959583586;3946819.984238504
27349.0;61374036004-1;183748051_0;241415442_0;365843.3921229205;3940799.5442503057;365311.66396659386;3940570.585552949
99690.0;32112013021-3;172641058_1;115447369_0_r;360605.47672419914;3950242.5535762063;380134.4609096747;3948024.4377386845
27915.0;32093036764-1;52990506_0;189330545_4;360605.98863202665;3939338.801732511;360318.0669514672;3937267.6974893967
100243.0;61352022953-2;172641058_1;203832403_7;360605.47672419914;3950242.5535762063;369445.46991631796;3943669.385007112
28239.0;51177046913-1;99862170_0;142114538_0_r;362514.1311286269;3935761.279245776;362774.4363061764;3935250.776367152
28557.0;32084021753-1;27092317_1;309533147_0_r;369022.47212081;3945001.569119775;369207.17948389973;3945226.0094879903
28832.0;32094002031-1;166224181_1;1092250561_0_r;356039.14016203943;3939544.5196745903;358316.8715798316;3938536.67382841
55830.0;32097060653-2;59919273_6;940439118_0;359852.1673058446;3934647.7783055305;359160.9005198212;3934110.340443815
72616.0;32094006833-4;221500630_0;131237825_0;360046.27471351187;3938046.5778428675;360122.6490436641;3937189.7116802465
55923.0;42132016841-9;153151219_0;39088453_0_r;358608.831789692;3930403.1568946647;358000.46991019696;3930147.109873146
71550.0;31124069033-2;115447369_0_r;41175926_6;380134.4609096747;3948024.4377386845;376836.3441335631;3946803.477500097
48702.0;32094049312-1;452712441_0;153175280_0;362437.4356542675;3939634.158035033;362494.1139470546;3938924.9377563423
39611.0;32093012223-3;1111103321_0;211097494_1;359545.647675726;3934747.9965477474;359453.1640279459;3934728.083059946
