time;personId;fromLinkId;toLinkId;fromX;fromY;toX;toY
33742.0;43822000191-1;226038615_0_r;312734401_0_r;325135.23012023047;3902203.565445475;332328.25664121006;3902040.0437217876
64821.0;42068027861-2;136560020_0;567180182_0_r;319611.7450238896;3907394.186869433;332178.4001377503;3904142.763383889
26017.0;42062005746-1;377171176_0_r;136559134_0;330426.23310116003;3895826.2271457673;327607.58896872867;3911013.129645533
26466.0;42173002784-1;136558708_0;107415981_1;325211.744128464;3911338.8027263656;331632.619937848;3910051.769261341
29708.0;43823002222-1;226038615_0_r;215422781_0;325135.23012023047;3902203.565445475;331790.94594221434;3904344.7332466464
55955.0;42067026355-2;136559134_0;215617186_0;327607.58896872867;3911013.129645533;331675.61825656454;3904640.171355281
30666.0;42173002783-1;136558708_0;1203892567_1;325211.744128464;3911338.8027263656;331208.8191192264;3913067.982218193
39789.0;43663002011-2;226034817_0;136560114_2;332664.7446070205;3912958.37410926;328885.20565781475;3911468.145884087
54077.0;43663002032-1;137841278_1;318716041_8;329157.6792935055;3911454.692519181;329314.42301155906;3911151.9328191564
36017.0;43644001131-1;492225834_0;318403969_2;321584.63000549993;3915380.172082766;331893.983202262;3912269.908107243
70275.0;42062018563-2;137988708_1;208840518_1;328069.43101476855;3914082.0043374347;334565.65140145447;3906423.424471507
65935.0;42062000644-3;377171173_0_r;267421025_0;330481.898204423;3896790.2349621775;332889.2591149839;3903005.2753077587
63042.0;43637001701-2;226034845_0;318485948_10;332176.6639742401;3918315.844025935;331071.4991175919;3913149.06466129
51091.0;42174002752-3;136560144_0;319768364_1;325063.2259867962;3911539.8602351416;329559.6667831731;3907081.4026975166
46314.0;42114016402-2;963611077_0;332668052_0_r;329675.1487781578;3905723.1445324877;332390.0438352235;3902705.4010118195
