vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;25813.16;17261.86;8551.3;17261.86
drtA27;77257.81;67986.7;9271.11;151307.78
drtA2;24931.08;16178;8753.08;16178
drtA28;4985.29;2340.44;2644.86;2340.44
drtA29;68712.36;60072.13;8640.24;116197.52
drtA0;71866.01;61449.02;10417;131253.26
drtA9;163143.74;147592.02;15551.71;305397.75
drtA7;0;0;0;0
drtA8;32144.17;26856.05;5288.12;26856.05
drtA5;0;0;0;0
drtA6;106340.26;97088.34;9251.91;231401.13
drtA3;62748.62;57465.24;5283.38;126178.8
drtA4;62268.51;56608.81;5659.7;85047.08
drtA30;12364.66;11172.33;1192.33;11172.33
drtA31;117854.47;109271.28;8583.19;193065.57
drtA10;95965.12;75746.7;20218.43;146610.37
drtA32;91821.45;85315.1;6506.36;177266.68
drtA11;38705.35;28298.33;10407.02;28298.33
drtA33;79946.97;67044.08;12902.88;85025.5
drtA12;29827.28;28194.53;1632.75;40550.56
drtA34;13608.77;10924.12;2684.66;11866.5
drtA13;30107.5;24833.96;5273.54;32318.98
drtA35;53712.46;42994.46;10718;75936.05
drtA14;17494.09;13788.76;3705.33;13788.76
drtA36;45943.94;36503.09;9440.86;50893.56
drtA15;15350.35;13711.05;1639.29;13711.05
drtA37;37860.23;24955.29;12904.94;34250.11
drtA16;5986.39;3011.97;2974.42;3011.97
drtA38;40689.06;29274.96;11414.1;29274.96
drtA17;50661.06;37778.52;12882.54;48083.28
drtA39;214424.96;192558.18;21866.78;349836.45
drtA18;79367.9;77174.43;2193.47;152170.32
drtA19;17572.16;9059.62;8512.55;9059.62
drtA40;89487.41;69041.72;20445.69;97691.86
drtA41;47261.37;35944.77;11316.6;62876.08
drtA20;146680.72;124698.03;21982.69;219418.55
drtA42;25494.16;20240.73;5253.42;20240.73
drtA21;20605.17;12896.56;7708.61;12896.56
drtA22;34096.2;29063.54;5032.66;29063.54
drtA23;20734.1;19049.56;1684.53;31879.66
drtA24;78211.26;69932.77;8278.49;107551.75
drtA25;18449.47;14871.48;3578;14871.48
