vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;57282.68;53957.56;3325.12;145595.62
drtB15;24544.4;9866.77;14677.63;9866.77
drtB3;14441.39;5406.67;9034.71;5406.67
drtB16;28025.14;25477.58;2547.57;25477.58
drtB0;0;0;0;0
drtB1;34213.95;32306.48;1907.47;32306.48
drtB8;17906.15;5904.63;12001.52;5904.63
drtB9;16825.75;7362.65;9463.1;7362.65
drtB6;72563.41;61197.75;11365.66;61197.75
drtB7;23507.61;7123.38;16384.23;7123.38
drtB4;13553.7;3686.92;9866.77;3686.92
drtB5;17021.21;12552.04;4469.16;12552.04
drtB10;26976.12;18726.28;8249.84;18726.28
drtB11;24322.05;15407.4;8914.66;16452.9
drtB12;39353.02;37339.42;2013.6;37339.42
drtB13;25559.32;11436.28;14123.04;11436.28
drtB14;44292.9;41308.88;2984.02;41308.88
