timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
00:00:00;2;263.5;168;168;168;263.5;359;359;359
00:30:00;3;328.33;223;223;223;282;480;480;480
01:00:00;3;256.67;162;162;162;223;385;385;385
01:30:00;0;0;0;0;0;0;0;0;0
02:00:00;1;425;425;425;425;425;425;425;425
02:30:00;1;399;399;399;399;399;399;399;399
03:00:00;0;0;0;0;0;0;0;0;0
03:30:00;0;0;0;0;0;0;0;0;0
04:00:00;0;0;0;0;0;0;0;0;0
04:30:00;0;0;0;0;0;0;0;0;0
05:00:00;0;0;0;0;0;0;0;0;0
05:30:00;0;0;0;0;0;0;0;0;0
06:00:00;0;0;0;0;0;0;0;0;0
06:30:00;1;207;207;207;207;207;207;207;207
07:00:00;0;0;0;0;0;0;0;0;0
07:30:00;2;164;93;93;93;164;235;235;235
08:00:00;1;180;180;180;180;180;180;180;180
08:30:00;2;176.5;71;71;71;176.5;282;282;282
09:00:00;4;210.25;132;132;136;208.5;286.25;292;292
09:30:00;1;484;484;484;484;484;484;484;484
10:00:00;1;172;172;172;172;172;172;172;172
10:30:00;4;255;132;132;143.75;191;430.25;506;506
11:00:00;0;0;0;0;0;0;0;0;0
11:30:00;1;562;562;562;562;562;562;562;562
12:00:00;6;266.17;123;123;135;213;397.75;568;568
12:30:00;4;281.5;232;232;237.25;266;341.25;362;362
13:00:00;5;322.2;221;221;249;303;405;484;484
13:30:00;5;259.4;187;187;203;236;327.5;351;351
14:00:00;5;287.4;162;162;177;314;384.5;409;409
14:30:00;4;242.25;183;183;193.5;247;286.25;292;292
15:00:00;6;297.5;145;145;152.5;292.5;414.5;521;521
15:30:00;4;229.75;119;119;146.75;254;288.5;292;292
16:00:00;4;309;225;225;240.75;288.5;397.75;434;434
16:30:00;11;384.09;115;115;269;359;501;680;680
17:00:00;12;355;218;218;290.25;342;413.75;575;575
17:30:00;15;458.87;272;272;333;457;549;665;665
18:00:00;21;463.1;164;170.1;384.5;502;551.5;625;626
18:30:00;14;428;61;61;286.5;520.5;610;626;626
19:00:00;12;482;205;205;352.75;531.5;591;682;682
19:30:00;7;371.14;134;134;274;367;520;549;549
20:00:00;9;493.56;151;151;256.5;547;596;937;937
20:30:00;5;365;199;199;232.5;367;496.5;537;537
21:00:00;5;484.8;283;283;391.5;519;561;572;572
21:30:00;2;420;261;261;261;420;579;579;579
22:00:00;0;0;0;0;0;0;0;0;0
22:30:00;5;397.6;177;177;263.5;409;526;588;588
23:00:00;1;522;522;522;522;522;522;522;522
