timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
03:00:00;1;187;187;187;187;187;187;187;187
03:30:00;0;0;0;0;0;0;0;0;0
04:00:00;0;0;0;0;0;0;0;0;0
04:30:00;0;0;0;0;0;0;0;0;0
05:00:00;0;0;0;0;0;0;0;0;0
05:30:00;0;0;0;0;0;0;0;0;0
06:00:00;0;0;0;0;0;0;0;0;0
06:30:00;0;0;0;0;0;0;0;0;0
07:00:00;1;554;554;554;554;554;554;554;554
07:30:00;1;585;585;585;585;585;585;585;585
08:00:00;2;568.5;451;451;451;568.5;686;686;686
08:30:00;0;0;0;0;0;0;0;0;0
09:00:00;2;374;349;349;349;374;399;399;399
09:30:00;0;0;0;0;0;0;0;0;0
10:00:00;0;0;0;0;0;0;0;0;0
10:30:00;0;0;0;0;0;0;0;0;0
11:00:00;0;0;0;0;0;0;0;0;0
11:30:00;0;0;0;0;0;0;0;0;0
12:00:00;0;0;0;0;0;0;0;0;0
12:30:00;1;339;339;339;339;339;339;339;339
13:00:00;1;446;446;446;446;446;446;446;446
13:30:00;1;408;408;408;408;408;408;408;408
14:00:00;1;258;258;258;258;258;258;258;258
14:30:00;3;157.67;112;112;112;131;230;230;230
15:00:00;0;0;0;0;0;0;0;0;0
15:30:00;1;434;434;434;434;434;434;434;434
16:00:00;2;416;303;303;303;416;529;529;529
16:30:00;0;0;0;0;0;0;0;0;0
17:00:00;1;509;509;509;509;509;509;509;509
17:30:00;1;688;688;688;688;688;688;688;688
18:00:00;1;217;217;217;217;217;217;217;217
