runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;48;305.19;580;564.85;421.25;297;100;100;857.79;12743.93;11258.49;1162.98;9.88;1;0.02
NA;2;106;364.17;612;587;475;381;98.11;100;1308.02;16945.01;11725.51;1672.19;10.21;3;0.03
NA;3;126;374.48;789;590.6;491;386.5;96.03;100;1308.79;17007.76;11563.45;1683.27;10.09;9;0.07
NA;4;135;385.53;897;621.4;525;388;92.59;100;1369;17722.49;11550.12;1754.53;10.09;19;0.12
NA;5;155;370.57;669;606;490;358;94.19;100;1298.57;16086.52;10553.59;1669.14;9.39;15;0.09
NA;6;166;382.03;716;603;516.25;374;94.58;100;1215.11;14543.28;10178.88;1597.14;9.13;22;0.12
NA;7;174;393.56;900;606;546.5;412;93.68;99.43;1317.61;15839.05;10293.26;1711.17;9.21;32;0.16
NA;8;201;369.87;789;599.9;516;363;95.02;100;1408.85;16895.52;10154.51;1778.71;9.11;30;0.13
NA;9;205;369.35;931;602;521.5;366;93.66;99.51;1309.34;16082.44;10067.81;1678.69;9.05;36;0.15
NA;10;204;375.94;1146;628.25;506.5;365.5;93.14;99.51;1346.14;16255.93;9985.42;1722.08;8.99;46;0.18
NA;11;184;380.15;750;645;514.75;385.5;91.85;100;1370.68;17180.4;10413.7;1750.83;9.29;56;0.23
NA;12;165;371.74;698;604.3;487;381;95.15;100;1219.52;15585.83;10373.27;1591.25;9.26;79;0.32
NA;13;164;374.18;843;613.25;513;386;93.29;100;1302.07;16036.85;10308.72;1676.25;9.22;76;0.32
NA;14;180;370.21;771;602.9;508.75;376.5;94.44;100;1337.94;16598.9;10467.78;1708.15;9.33;57;0.24
NA;15;169;383.22;790;609.5;523.5;387;94.08;100;1349.18;15849.83;9944.16;1732.4;8.96;62;0.27
NA;16;194;366.9;743;599.5;495;377;95.36;100;1439.18;17645.49;10104.32;1806.08;9.07;46;0.19
NA;17;182;364.98;705;618.2;494;372;93.41;100;1436.88;17856.84;10299.73;1801.86;9.21;64;0.26
NA;18;211;383.55;809;607;502;388;92.89;100;1388.47;16376.41;9971.65;1772.03;8.98;29;0.12
NA;19;210;371.57;751;609.9;511.5;361;94.76;100;1383.3;16593.7;9611.03;1754.87;8.73;26;0.11
NA;20;195;373.15;1052;619.6;501;362;93.33;99.49;1448.59;17603.25;10033.89;1821.74;9.02;45;0.19
