runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;19;407.63;594;594;481;445;100;100;730.63;7666.12;7661.86;1138.26;7.37;11;0.37
NA;2;41;407.85;596;582.8;490.5;427;100;100;586.37;5260.51;5179.59;994.22;5.64;17;0.29
NA;3;53;397.89;604;584.5;480;409;98.11;100;870;8123.27;7765.75;1267.89;7.45;34;0.39
NA;4;57;367.84;548;537.6;448.5;382;100;100;783.19;7630.6;7327.91;1151.04;7.14;44;0.44
NA;5;71;381.86;599;578.8;484;391;100;100;728.56;7073.31;6748.88;1110.42;6.74;52;0.42
NA;6;78;392.78;599;574.3;485.5;396.5;100;100;777.94;7120.53;6475.69;1170.72;6.55;51;0.4
NA;7;82;399.05;635;577.7;513;404.5;97.56;100;841.61;7899.84;6991.08;1240.66;6.9;57;0.41
NA;8;81;392.02;692;594.7;502.5;394;96.3;100;822.81;7208.6;6349.76;1214.84;6.45;67;0.45
NA;9;88;407.24;713;589.3;511.75;404;96.59;100;956.7;9103.45;7881.16;1363.94;7.52;69;0.44
NA;10;92;402.61;699;616.95;526;396.5;92.39;100;939.39;9074.05;7999.82;1342;7.61;71;0.44
NA;11;83;397.75;657;604.2;505;403;93.98;100;868.17;8450.6;7717.92;1265.92;7.41;82;0.5
NA;12;93;409.43;620;599.3;529;434;95.7;100;668.29;6293.64;6040.8;1077.72;6.24;70;0.43
NA;13;93;383.43;710;589.9;498.5;386;96.77;100;685.23;6443.9;6034.63;1068.66;6.25;78;0.46
NA;14;76;381.11;741;593.65;515.75;386;96.05;100;805.58;7750.38;7331.35;1186.68;7.15;104;0.58
NA;15;89;387.47;820;589;480.5;384;96.63;100;691.1;6645.95;5986.13;1078.57;6.2;82;0.48
NA;16;93;378.41;648;598.6;481.5;372;95.7;100;715.22;6690.64;6182.18;1093.62;6.34;87;0.48
NA;17;88;376.33;959;592.3;487.75;378;96.59;98.86;824.5;7936.28;6980.48;1200.83;6.9;82;0.48
NA;18;91;380.84;921;596.4;485;397;95.6;98.9;827.15;8284.18;7398.63;1207.99;7.19;79;0.46
NA;19;83;377.06;610;592;505;384;98.8;100;834.7;8233.5;7277.85;1211.76;7.11;73;0.47
NA;20;77;399.18;885;597;510;404;96.1;100;851.68;8613.21;7845.55;1250.86;7.5;71;0.48
