runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;12;416.92;541;541;445.75;439;100;100;192.33;1393.17;1393.17;609.25;3;11;0.48
NA;2;17;432.47;767;767;516;439;94.12;100;306.41;2152.16;2152.16;738.88;3.53;22;0.56
NA;3;24;417.25;679;654.75;515.5;417.5;95.83;100;510.79;4120.67;3027.61;928.04;4.13;29;0.55
NA;4;28;415.11;560;558.65;508.5;446;100;100;428.32;3282.55;2677.03;843.43;3.89;36;0.56
NA;5;38;456.68;651;619.65;556.25;493.5;92.11;100;418.16;3347.56;2893.38;874.84;4.04;37;0.49
NA;6;52;450.06;819;686.55;554;468.5;94.23;100;472.27;3512.53;2547.71;922.33;3.8;43;0.45
NA;7;56;464.73;918;760;555;477;87.5;98.21;463.61;3363.85;2906.52;928.34;4.05;50;0.47
NA;8;72;440.24;718;598.4;539.25;466;95.83;100;485.24;3505.3;2691.44;925.47;3.89;45;0.38
NA;9;64;423.19;723;680;534.25;454;92.19;100;538.59;4033.32;3453.56;961.78;4.43;57;0.47
NA;10;73;452.42;1132;718.7;553;470;86.3;98.63;387.18;2723.05;2477.72;839.6;3.75;52;0.42
NA;11;68;443.4;923;757.55;554;453;86.76;98.53;492.19;3129.86;2362.03;935.59;3.67;50;0.42
NA;12;58;439.81;870;702.05;548.5;454.5;89.66;100;401.91;2731.25;2406.36;841.72;3.7;64;0.52
NA;13;62;438.1;758;700.55;559;432;90.32;100;387.05;2971.28;2897.79;825.15;4.04;69;0.53
NA;14;60;437.07;835;683.8;543.5;457.5;88.33;100;513.02;3648.46;3025.72;950.08;4.12;80;0.57
NA;15;46;417.5;742;607.95;516.5;422;95.65;100;618.26;4548.71;4060.02;1035.76;4.85;89;0.66
NA;16;55;429.36;806;745.2;495;436;89.09;100;625.27;4360.63;3500.96;1054.64;4.46;92;0.63
NA;17;64;423.17;964;581.25;512.5;422.5;96.88;98.44;493.84;3673.51;3041.9;917.02;4.14;74;0.54
NA;18;54;414.15;837;623.5;497.75;421;96.3;100;556.28;3961.19;3080.53;970.43;4.17;85;0.61
NA;19;40;458.77;852;655.7;536.75;456.5;92.5;100;648.2;5183.67;4718.47;1106.97;5.32;89;0.69
NA;20;42;466.98;697;686.9;538.5;458;88.1;100;651.64;5041.55;4599.86;1118.62;5.23;82;0.66
