runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;3;520;569;569;569;497;100;100;469.67;4424;4424;989.67;5.1;2;0.4
NA;2;5;406.6;569;569;504;395;100;100;442.6;4558.44;4558.44;849.2;5.19;7;0.58
NA;3;9;440;585;585;524;437;100;100;385.67;3490.65;3490.65;825.67;4.44;5;0.36
NA;4;10;479;621;621;576;520;90;100;437.5;3904.25;3904.25;916.5;4.73;9;0.47
NA;5;15;449.4;585;585;513;437;100;100;477.2;4103.02;3918.7;926.6;4.74;11;0.42
NA;6;19;456.26;585;585;525;482;100;100;431.95;3725.7;3725.7;888.21;4.61;14;0.42
NA;7;15;410;585;585;500;464;100;100;386.2;3481.62;3475.87;796.2;4.43;17;0.53
NA;8;19;432.11;585;585;538;477;100;100;490.63;3964.44;3867.24;922.74;4.71;15;0.44
NA;9;22;371.23;587;586.7;491.75;378;100;100;530.64;4418.48;3610.29;901.86;4.53;18;0.45
NA;10;27;457.89;841;797.8;587;468;81.48;100;545.89;5247.12;4619.4;1003.78;5.23;17;0.39
NA;11;33;436.55;664;651.4;549.5;452;90.91;100;457.61;4386.6;4012.46;894.15;4.82;14;0.3
NA;12;30;421.1;834;706.4;507.25;420;93.33;100;393.77;3766.12;3766.12;814.87;4.65;24;0.44
NA;13;27;477.11;976;919.2;572;423;88.89;96.3;382.96;3570.31;3051.23;860.07;4.14;22;0.45
NA;14;27;460.56;929;886.2;558;428;88.89;96.3;337.74;3282.29;3282.29;798.3;4.31;20;0.43
NA;15;33;404.58;712;703.6;566;382;90.91;100;464.21;4287.32;3273.4;868.79;4.3;18;0.35
NA;16;33;414.48;747;713.4;549.5;382;84.85;100;565.55;4760.17;3916.23;980.03;4.75;18;0.35
NA;17;24;447.25;853;809.25;554.5;447.5;91.67;100;665.08;6554.18;4339.96;1112.33;5.04;24;0.5
NA;18;33;403.79;853;741;526;383;90.91;100;588.06;5224;4622.73;991.85;5.24;21;0.39
NA;19;31;369.45;609;604.2;499;347;93.55;100;617.48;5604.57;4335.41;986.94;5.04;13;0.3
NA;20;29;367.21;686;635.5;463;379;96.55;100;507.24;4400.59;3751.67;874.45;4.63;14;0.33
