runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;49554.09;145656.35;0;0;0
NA;2;102850.42;212241.21;1719.79;0;0
NA;3;119333.44;415009.82;7761.84;0;0
NA;4;125123.6;352186.28;41379.09;0;0
NA;5;163224.49;361732.87;8272.89;41308.88;0
NA;6;184434.39;386715.88;9891.52;43398.04;4676.98
NA;7;179466.34;464185.5;18356.04;43398.04;4173.77
NA;8;169470.51;520950.47;21951.12;6347.99;0
NA;9;191746.77;585482.22;26998.96;48309.44;4173.77
NA;10;187614.66;609958.66;18791.14;23541.52;29161.84
NA;11;200525.69;507982.74;9789.96;19059.07;29164.9
NA;12;228867.5;573205.34;6051.81;0;0
NA;13;196313.76;577637.07;9558.44;842.96;0
NA;14;155592.88;560396.89;14315.99;0;0
NA;15;191884.09;565471.16;13009.11;0;0
NA;16;200196.32;583206;17845.3;1110.87;0
NA;17;183985.54;481664.94;15962.86;20265.14;31001.58
NA;18;205171.34;550041.7;14895.25;16673.95;31001.58
NA;19;175849.92;478455.97;12793.11;18444;31001.58
NA;20;179772;476195.3;5704.66;17201.96;31001.58
