runId;iteration;0 pax distance_m;1 pax distance_m;2 pax distance_m;3 pax distance_m;4 pax distance_m
NA;0;0;0;0;0;0
NA;1;4926.15;6221.08;0;0;0
NA;2;12513.7;10983.07;0;0;0
NA;3;19121.89;12241;0;0;0
NA;4;21642.32;14778.1;0;0;0
NA;5;36703.65;54018.36;1576;0;0
NA;6;34365.89;27755.51;4089.4;0;0
NA;7;19398.28;16274.29;0;0;0
NA;8;28066.36;17373.27;0;0;0
NA;9;27944.54;32610.71;0;0;0
NA;10;46619.84;79321.05;1685.34;0;0
NA;11;36770.36;63304.59;1685.34;0;0
NA;12;22274.44;38992.8;0;0;0
NA;13;27473.41;44265.16;0;0;0
NA;14;38666.03;49322.49;1150.35;0;0
NA;15;36956.78;53620.11;1786.58;0;0
NA;16;32881.57;50136.47;5495.39;0;0
NA;17;34692.99;36148.53;4594.04;0;0
NA;18;38653.76;33223.93;0;0;0
NA;19;42510.34;49453.28;858.52;0;0
NA;20;43743.26;52996.87;3517.14;0;0
