runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;42;0;0;NaN;0;0;0;0;NaN;NaN;1;42
NA;1;42;376462.84;70906.68;0.19;362228.54;8963.4;1688.25;8624.49;0.96;1.22;0.93;39.19
NA;2;42;822399.33;131733.22;0.16;943054.39;19580.94;3136.51;22453.68;1.15;1.12;0.82;34.44
NA;3;42;1028831.33;185793.55;0.18;1220760.03;24495.98;4423.66;29065.72;1.19;1.13;0.77;32.49
NA;4;42;1155526.92;232870.43;0.2;1259633.1;27512.55;5544.53;29991.26;1.09;1.21;0.84;35.31
NA;5;42;1247849.41;249955.03;0.2;1314380.26;29710.7;5951.31;31294.77;1.05;1.22;0.84;35.37
NA;6;42;1262340.75;288553.46;0.23;1271694.35;30055.73;6870.32;30278.44;1.01;1.28;0.84;35.45
NA;7;42;1494757.05;309034.24;0.21;1556433.72;35589.45;7357.96;37057.95;1.04;1.27;0.84;35.46
NA;8;42;1639390.9;360978.87;0.22;1704933.28;39033.12;8594.73;40593.65;1.04;1.25;0.82;34.48
NA;9;42;1661523.45;326837.17;0.2;1711209.12;39560.08;7781.84;40743.07;1.03;1.31;0.83;34.94
NA;10;42;1685240.26;339151.16;0.2;1787807.67;40124.77;8075.03;42566.85;1.06;1.32;0.84;35.19
NA;11;42;1621732.21;329719.39;0.2;1720332.39;38612.67;7850.46;40960.3;1.06;1.32;0.82;34.64
NA;12;42;1648879.11;362344.38;0.22;1583384.07;39259.03;8627.25;37699.62;0.96;1.28;0.83;34.8
NA;13;42;1630733.05;352084.53;0.22;1596088.65;38826.98;8382.96;38002.11;0.98;1.26;0.77;32.31
NA;14;42;1545644.46;364337.49;0.24;1441859.93;36801.06;8674.7;34330;0.93;1.28;0.82;34.29
NA;15;42;1488234.96;329617.09;0.22;1520184.25;35434.17;7848.03;36194.86;1.02;1.24;0.83;35
NA;16;42;1620362.9;332760.74;0.21;1763094.2;38580.07;7922.87;41978.43;1.09;1.21;0.81;34.16
NA;17;42;1515574.04;313262.09;0.21;1558197.92;36085.1;7458.62;37099.95;1.03;1.24;0.81;34
NA;18;42;1486217.1;326352.36;0.22;1457033.01;35386.12;7770.29;34691.26;0.98;1.22;0.81;33.81
NA;19;42;1481730.63;329137.59;0.22;1520119.19;35279.3;7836.61;36193.31;1.03;1.2;0.82;34.38
NA;20;42;1579572.04;348874.96;0.22;1560233.71;37608.86;8306.55;37148.42;0.99;1.24;0.82;34.46
