runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;7;0;0;NaN;0;0;0;0;NaN;NaN;1;7
NA;1;7;48545.9;31827.89;0.66;16718.01;6935.13;4546.84;2388.29;0.34;2.9;0.74;5.17
NA;2;7;87196.2;50609.52;0.58;36586.68;12456.6;7229.93;5226.67;0.42;2.38;0.71;5
NA;3;7;147859.82;59555.3;0.4;98896.19;21122.83;8507.9;14128.03;0.67;2.03;0.57;4
NA;4;7;163994.17;77838.55;0.47;91911.45;23427.74;11119.79;13130.21;0.56;2.19;0.58;4.08
NA;5;7;229207.3;107754.51;0.47;127207.39;32743.9;15393.5;18172.48;0.55;2.08;0.57;4
NA;6;7;304738.01;138037.84;0.45;182651.38;43534;19719.69;26093.05;0.6;2.3;0.36;2.55
NA;7;7;320629.05;145488.57;0.45;188375.8;45804.15;20784.08;26910.83;0.59;1.97;0.09;0.63
NA;8;7;396265.07;166827.27;0.42;252381.4;56609.3;23832.47;36054.49;0.64;2.04;0.29;2.06
NA;9;7;386020.91;140904.9;0.37;258132.55;55145.84;20129.27;36876.08;0.67;1.75;0.15;1.06
NA;10;7;364818.46;172481;0.47;198782.71;52116.92;24640.14;28397.53;0.54;2.02;0.34;2.38
NA;11;7;333611.17;145160.53;0.44;212830.34;47658.74;20737.22;30404.33;0.64;2.08;0.44;3.1
NA;12;7;293088.85;140223.15;0.48;158412.59;41869.84;20031.88;22630.37;0.54;2.1;0.44;3.11
NA;13;7;336570.22;154872.2;0.46;184219.18;48081.46;22124.6;26317.03;0.55;1.87;0.45;3.16
NA;14;7;339001.22;145985.02;0.43;218907.75;48428.75;20855;31272.54;0.65;1.87;0.29;2.04
NA;15;7;311001.05;112312.18;0.36;209240.73;44428.72;16044.6;29891.53;0.67;1.67;0.43;3
NA;16;7;329994.08;114047.65;0.35;239834.72;47142.01;16292.52;34262.1;0.73;1.71;0.31;2.18
NA;17;7;356572.13;141483.72;0.4;235104.45;50938.88;20211.96;33586.35;0.66;1.83;0.41;2.9
NA;18;7;316457.97;119679.78;0.38;213904.28;45208.28;17097.11;30557.75;0.68;1.9;0.4;2.78
NA;19;7;313762.3;116047.05;0.37;207346.8;44823.19;16578.15;29620.97;0.66;1.66;0.36;2.53
NA;20;7;330880.19;122127.58;0.37;211744.98;47268.6;17446.8;30249.28;0.64;1.71;0.45;3.16
