runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;3;0;0;NaN;0;0;0;0;NaN;NaN;1;3
NA;1;3;11147.23;4926.15;0.44;6221.08;3715.74;1642.05;2073.69;0.56;1.79;0.67;2
NA;2;3;23496.77;12513.7;0.53;10983.07;7832.26;4171.23;3661.02;0.47;2.14;0.67;2
NA;3;3;31362.89;19121.89;0.61;12241;10454.3;6373.96;4080.33;0.39;2.56;0.39;1.16
NA;4;3;36420.42;21642.32;0.59;14778.1;12140.14;7214.11;4926.03;0.41;2.46;0.39;1.16
NA;5;3;92298.01;36703.65;0.4;57170.36;30766;12234.55;19056.79;0.62;1.74;0.35;1.06
NA;6;3;66210.8;34365.89;0.52;35934.31;22070.27;11455.3;11978.1;0.54;2.17;0.37;1.12
NA;7;3;35672.57;19398.28;0.54;16274.29;11890.86;6466.09;5424.76;0.46;2.19;0.67;2
NA;8;3;45439.63;28066.36;0.62;17373.27;15146.54;9355.45;5791.09;0.38;2.62;0.56;1.69
NA;9;3;60555.24;27944.54;0.46;32610.71;20185.08;9314.85;10870.24;0.54;1.88;0.67;2
NA;10;3;127626.24;46619.84;0.37;82691.74;42542.08;15539.95;27563.91;0.65;1.72;0.33;1
NA;11;3;101760.3;36770.36;0.36;66675.28;33920.1;12256.79;22225.09;0.66;1.75;0.33;1
NA;12;3;61267.24;22274.44;0.36;38992.8;20422.41;7424.81;12997.6;0.64;1.57;0.67;2
NA;13;3;71738.57;27473.41;0.38;44265.16;23912.86;9157.8;14755.05;0.62;1.62;0.33;1
NA;14;3;89138.87;38666.03;0.43;51623.2;29712.96;12888.68;17207.73;0.58;1.79;0.49;1.48
NA;15;3;92363.47;36956.78;0.4;57193.27;30787.82;12318.93;19064.42;0.62;1.83;0.33;1
NA;16;3;88513.43;32881.57;0.37;61127.25;29504.48;10960.52;20375.75;0.69;1.9;0.33;1
NA;17;3;75435.56;34692.99;0.46;45336.61;25145.19;11564.33;15112.2;0.6;1.98;0.46;1.37
NA;18;3;71877.69;38653.76;0.54;33223.93;23959.23;12884.59;11074.64;0.46;2.18;0.67;2
NA;19;3;92822.15;42510.34;0.46;51170.32;30940.72;14170.11;17056.77;0.55;1.88;0.67;2
NA;20;3;100257.27;43743.26;0.44;60031.14;33419.09;14581.09;20010.38;0.6;1.78;0.33;1
