runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles;minCountIdleVehicles
NA;0;3;0;0;NaN;0;0;0;0;NaN;NaN;1;3
NA;1;3;27827.66;14555.65;0.52;13272.01;9275.89;4851.88;4424;0.48;2.1;0.67;2
NA;2;3;41013.73;18221.53;0.44;22792.2;13671.24;6073.84;7597.4;0.56;1.8;0.67;2
NA;3;3;64802.92;33387.1;0.52;31415.81;21600.97;11129.03;10471.94;0.48;2.06;0.67;2
NA;4;3;81683.49;42640.95;0.52;39042.54;27227.83;14213.65;13014.18;0.48;2.09;0.67;2
NA;5;3;112737.05;56515.19;0.5;61545.37;37579.02;18838.4;20515.12;0.55;1.92;0.33;1
NA;6;3;148901.76;78113.54;0.52;70788.22;49633.92;26037.85;23596.07;0.48;2.1;0.33;1
NA;7;3;100535.74;48311.48;0.48;52224.26;33511.91;16103.83;17408.09;0.52;1.93;0.33;1
NA;8;3;135433.65;60837.48;0.45;75324.37;45144.55;20279.16;25108.12;0.56;1.84;0.33;1
NA;9;3;141881.24;51555.73;0.36;97206.56;47293.75;17185.24;32402.19;0.69;1.79;0.33;1
NA;10;3;225074.34;86148.2;0.38;141672.34;75024.78;28716.07;47224.11;0.63;1.8;0.05;0.14
NA;11;3;246367.81;105522.12;0.43;144757.68;82122.6;35174.04;48252.56;0.59;1.86;0.33;1
NA;12;3;206756.49;93772.81;0.45;112983.69;68918.83;31257.6;37661.23;0.55;1.83;0.33;1
NA;13;3;182840.88;89064.01;0.49;96398.25;60946.96;29688;32132.75;0.53;2.22;0.33;1
NA;14;3;184035.15;95413.31;0.52;88621.85;61345.05;31804.44;29540.62;0.48;2.08;0.33;1
NA;15;3;196356.4;76958.11;0.39;141481.42;65452.13;25652.7;47160.47;0.72;1.82;0.33;1
NA;16;3;223728.1;88228.6;0.39;157085.63;74576.03;29409.53;52361.88;0.7;1.73;0.1;0.31
NA;17;3;196694.86;65005.98;0.33;157300.34;65564.95;21668.66;52433.45;0.8;1.89;0.33;1
NA;18;3;247456.26;87910.37;0.36;172391.92;82485.42;29303.46;57463.97;0.7;1.62;0.05;0.14
NA;19;3;220653.63;71080.21;0.32;173741.62;73551.21;23693.4;57913.87;0.79;1.64;0;0
NA;20;3;185286.81;70578.78;0.38;127617.2;61762.27;23526.26;42539.07;0.69;1.7;0.33;1
