person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
31124112811-4;25571.893389817305;16080.579565838376;1.5902345612058848;2096.0;984.7892597942716;2.128374146198413
31144040261-2;8648.123539619965;8648.123539619965;1.0;787.0;520.8026286903578;1.5111290854637935
31157185231-3;12369.016775830469;12369.016775830469;1.0;930.0;783.5889296356956;1.1868467825756208
31123036721-2;14851.187454368288;13709.653339629964;1.083264987557237;1533.0;858.0100300846797;1.7866924001444406
31123057841-4;552.9959144120652;552.9959144120652;1.0;225.0;66.47002820419692;3.3849842715395972
31124023311-6;6601.880815648823;6601.880815648823;1.0;691.0;464.8168663442547;1.4866069844553114
31123037701-7;13218.495468171655;11374.509501679764;1.162115646940167;1421.0;666.6009684453129;2.1317100743404893
31124015231-4;16713.047164085634;15756.538250766118;1.0607055241510939;1571.0;1115.7636300108552;1.4080043100031105
31132029211-2;11024.306569782448;11024.306569782448;1.0;1166.0;711.0712179704851;1.639779491185084
31127119452-2;12723.468797234784;12723.468797234784;1.0;1199.0;776.2776344287986;1.5445504891845163
31157121751-1;19191.54339692496;19191.54339692496;1.0;1431.0;1110.3005210777812;1.2888402489543211
31124042353-1;9744.703377506523;9654.558836463191;1.0093369922510467;1328.0;1042.399422225867;1.2739838220211992
32193002591-1;1699.8406700496434;1699.8406700496434;1.0;457.0;232.27490796574423;1.9674962052612162
31157187332-2;901.342181691661;901.342181691661;1.0;673.0;143.53518224382537;4.688745919148692
31157233704-1;840.5701660366926;840.5701660366926;1.0;377.0;128.27138213347766;2.939081139764272
31144039921-1;4443.500446504809;4443.500446504809;1.0;427.0;333.2865777533425;1.281179706900806
31124017273-1;879.0209635152837;879.0209635152837;1.0;504.0;111.24429797521667;4.530569289153882
31144022501-1;4939.093426256761;4884.764051702951;1.0111222106080782;803.0;383.4119118537679;2.0943532925660944
31147080691-1;6710.286864714009;6710.286864714009;1.0;958.0;559.1988083639476;1.7131653102102062
31157214741-1;1812.9039642997684;1812.9039642997684;1.0;461.0;245.1922967954852;1.8801569463029255
31131008983-1;3168.895471311178;3168.895471311178;1.0;556.0;294.4470007215941;1.8882854932718767
31093053471-1;12287.856589047127;12287.856589047127;1.0;1298.0;737.560761294029;1.759855008721853
31124068593-1;497.0908953204165;497.0908953204165;1.0;689.0;75.64076455419793;9.108844999924868
31124051432-1;711.0055929997785;711.0055929997785;1.0;367.0;117.52273223024805;3.122800100332771
31143045852-1;2932.1914453961926;2932.1914453961926;1.0;554.0;316.0766613873912;1.7527393435765388
31147069541-1;1662.4698068969024;1662.4698068969024;1.0;290.0;119.14400454927234;2.4340293168513543
31035002051-1;6227.840679943819;6227.840679943819;1.0;694.0;401.7783508139167;1.727320545256122
31124091153-1;2966.46943034881;2966.46943034881;1.0;692.0;387.32974788643656;1.7865914089379251
31155072501-2;1646.54856061935;1646.54856061935;1.0;655.0;264.355539835937;2.4777237519081416
31137040091-1;896.8714724118599;896.8714724118599;1.0;273.0;137.52495101957265;1.9850943263462528
31105014571-1;2020.0883261178597;2020.0883261178597;1.0;690.0;173.77523995114205;3.970646222062462
31144028502-1;6830.137099906973;6830.137099906973;1.0;860.0;591.7747648883408;1.453255615187088
31123058524-1;2078.6700721040147;2045.216816669982;1.0163568259176068;523.0;216.99676757341828;2.410174150741896
31132017731-1;1818.6166622037567;1818.6166622037567;1.0;426.0;161.66964537792887;2.635002996413806
31124096391-1;3896.506441320592;3896.506441320592;1.0;670.0;435.47488436363665;1.5385502678967973
61344034232-1;4540.091498489954;4540.091498489954;1.0;972.0;392.23928916266703;2.4780791390759895
