person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
31123028081-3;5253.568156482992;5253.568156482992;1.0;658.0;401.24281214293455;1.6399047661085602
32094014273-1;16819.520672191695;16819.520672191695;1.0;2040.0;1362.4664596235139;1.4972845647618416
31124026835-1;25477.575776289043;25477.575776289043;1.0;2676.0;2104.7117956002758;1.2714329845986299
42133033544-1;9434.535380190788;3949.391335519645;2.3888580742403005;1851.0;446.52914560610054;4.145306119911899
91532010621-1;1330.1073050978866;1330.1073050978866;1.0;643.0;207.67284645915348;3.096216048285685
61353044794-1;1230.5914427600983;1230.5914427600983;1.0;338.0;195.8497055869764;1.7258131636552039
32083028362-1;41578.510802578065;33281.08845462561;1.2493134309373595;4601.0;3236.4483722601153;1.4216200818883988
91532014072-1;6159.756784165758;6159.756784165758;1.0;1414.0;892.9444493887069;1.5835251576601412
31157121123-1;20124.603817349038;20124.603817349038;1.0;1971.0;1397.0452704006302;1.4108347394030953
61357052363-1;1295.6773244433066;1295.6773244433066;1.0;697.0;220.93523120389318;3.1547707271583305
31124051454-1;2885.055925138306;2840.557488667119;1.0156653884488243;694.0;362.72949696466793;1.9132714758722802
32084015711-1;1559.3894878588799;1462.3360958975177;1.0663687316709467;811.0;248.15398740854863;3.2681320516716466
31105010572-1;1921.8090844187186;1921.8090844187186;1.0;438.0;188.44070711793006;2.324338550300019
61354037231-2;1650.8688301369602;1650.8688301369602;1.0;778.0;263.864638446901;2.948481481184003
31124087952-1;1635.6965472939328;1635.6965472939328;1.0;437.0;238.06638286151022;1.8356224627238318
32193005572-1;1235.503720726703;1235.503720726703;1.0;613.0;207.35924447938544;2.956222190812145
61361017382-1;9976.663382161383;3661.269574703649;2.7249190966685144;2374.0;361.2353369562858;6.571893049010555
61354046792-1;1186.5887223454745;1186.5887223454745;1.0;1074.0;181.63721983654685;5.912885040667764
31123005801-1;838.7143432319629;838.7143432319629;1.0;743.0;131.8749401327582;5.634125780470676
31062006651-1;41317.849161403516;41292.40689596256;1.0006161487632594;3634.0;3123.8634102031774;1.1633031035001762
32254010902-1;4694.698803723511;4694.698803723511;1.0;842.0;477.5611545394895;1.7631249778092557
