person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
42157018041-1;3626.258750751141;3626.258750751141;1.0;733.0;368.780572378557;1.9876318193019347
91535010912-1;15631.62458833655;15631.62458833655;1.0;2138.0;1789.126415377467;1.1949966093083078
42141004881-1;2180.3140685112958;2180.3140685112958;1.0;662.0;299.0869256289946;2.2134033395401063
42155010491-1;21019.76815645019;21019.76815645019;1.0;2905.0;2414.319163919964;1.2032377671572434
42128034154-1;5865.477222245523;5865.477222245523;1.0;1232.0;529.8377852821354;2.3252399776357353
32097072743-1;1352.8180085567542;1352.8180085567542;1.0;511.0;197.35425412575756;2.5892525208723494
91535004261-1;19444.98422188589;19444.98422188589;1.0;3422.0;2403.6621289591285;1.4236609874457888
42163006143-1;2168.3866449860243;2168.3866449860243;1.0;639.0;211.89951308888624;3.0155803129757848
42124009113-1;7066.212798844828;2956.5384005545793;2.390029095349943;1658.0;355.69862775085215;4.66124935731082
42128034954-1;787.5579337956209;787.5579337956209;1.0;831.0;132.53498445776003;6.270042611012237
42163006644-1;3369.230256699296;3369.230256699296;1.0;1135.0;482.63288346900066;2.3516839379903143
42125002421-1;2149.6051642671837;2149.6051642671837;1.0;1857.0;359.60880998542825;5.163944676648072
42147014412-1;1443.1104113459885;1443.1104113459885;1.0;645.0;192.7512023298278;3.3462826286100302
42132023302-1;2389.1846946678547;2389.1846946678547;1.0;701.0;345.8020031466566;2.027171599994179
42157018042-1;1432.904043220983;1432.904043220983;1.0;742.0;216.98772802748167;3.4195482239715655
42132008342-3;2324.745386052963;2124.2503152131467;1.0943839195427865;838.0;246.1951621514238;3.403803684349342
42154017241-3;4032.1555892601436;4032.1555892601436;1.0;827.0;292.507790720889;2.8272751230380857
42034002392-2;727.9278471860038;727.9278471860038;1.0;591.0;93.8653184995349;6.296255203171003
42138038493-1;4521.867131502031;4521.867131502031;1.0;1222.0;673.9809866467801;1.8131075270828456
91535003792-2;3599.6908036614454;3599.6908036614454;1.0;1134.0;382.3523705575469;2.9658505800458337
42157017821-2;385.60625100316514;385.60625100316514;1.0;606.0;59.55877610850422;10.174822916038247
42142002851-5;3738.155137423534;3710.0689288834737;1.007570265964981;1056.0;499.2951535568105;2.1149814743391993
91531008941-2;1589.3573264457052;1589.3573264457052;1.0;663.0;227.23761262854185;2.9176507899851294
42148015532-2;2104.75011468243;2104.75011468243;1.0;547.0;305.2278786995145;1.7921036647458444
42124014572-3;3300.6273821201044;3300.6273821201044;1.0;956.0;456.0060763011828;2.0964632922316175
91536015842-2;311.0079894207373;311.0079894207373;1.0;604.0;51.10731071392645;11.818270058874639
42124018572-2;15470.536376246258;7800.540688164975;1.9832646216073515;2679.0;887.4296776321478;3.0188307507904684
42128036773-3;531.6878145415379;531.6878145415379;1.0;675.0;74.30981929108026;9.083590922970032
42142004673-2;3263.183704356046;3263.183704356046;1.0;761.0;368.54349647769266;2.064885168977774
32097060412-2;1931.2357017648546;1931.2357017648546;1.0;893.0;274.01595893495306;3.2589342732843662
91536017733-2;3942.400376348559;3942.400376348559;1.0;1065.0;319.8698032344407;3.3294796483787947
42128033753-3;462.7767756580424;462.7767756580424;1.0;523.0;69.08725438994682;7.57013727956316
42125009382-4;359.73013962963483;359.73013962963483;1.0;404.0;53.29011024141022;7.581144009082255
91531008271-2;2906.826926987097;2906.826926987097;1.0;713.0;266.10838466062023;2.6793593930131903
51145026432-4;7051.7305328189805;509.1078454361072;13.851152748939457;1414.0;74.00294416999672;19.107347901616095
42155015071-2;1673.129140813398;1673.129140813398;1.0;774.0;200.92825831722934;3.8521211823674606
32097076502-4;1115.1937774614255;1115.1937774614255;1.0;699.0;158.18167523407885;4.418969510631448
42155012551-5;850.9516371849063;850.9516371849063;1.0;604.0;69.71249865620646;8.664156523476242
42125008721-2;1038.0119600654375;1038.0119600654375;1.0;628.0;158.41530983062103;3.964263306819668
31157101752-2;44880.53177950405;44880.53177950405;1.0;4688.0;4388.803244452107;1.0681727429740917
32097067922-5;2876.0602023014576;2876.0602023014576;1.0;605.0;380.0164296576535;1.5920364299644312
42125011841-3;6827.664711492114;6827.664711492114;1.0;1002.0;568.9332160547075;1.7611908950375814
