vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;20350.27;9240.19;11110.08;9240.19
drtB15;20606.43;7999.82;12606.62;7999.82
drtB3;24665.08;9392.74;15272.33;9392.74
drtB16;56784;44670.32;12113.69;44670.32
drtB0;40235.93;21313.24;18922.69;22499.83
drtB1;35223.6;30731.14;4492.45;30731.14
drtB8;57462.96;51627.88;5835.08;179369.2
drtB9;11414.54;6345.57;5068.98;6345.57
drtB6;76442.95;65493.24;10949.7;65493.24
drtB7;21987.92;15594.29;6393.63;16924.4
drtB4;69631.3;43910.64;25720.66;43910.64
drtB5;15843.85;5025.45;10818.4;5025.45
drtB10;51378.24;41562.33;9815.9;41562.33
drtB11;72582.26;63176.13;9406.13;64471.81
drtB12;49967.01;41290.73;8676.27;41290.73
drtB13;18657.05;16819.52;1837.53;16819.52
drtB14;66642.09;55910.24;10731.85;57469.85
