runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;29;255.93;390;387.5;341;240;100;100;492.93;6763.98;6488.09;748.86;6.55;0;0
NA;2;62;335.53;1377;1030.45;382.25;294;90.32;95.16;636.89;8068.4;6989.31;972.42;6.89;0;0
NA;3;92;368.18;1098;897.6;486;311.5;83.7;95.65;683.53;8116.82;7108.77;1051.72;6.98;0;0
NA;4;102;344.09;1145;854.35;430;293.5;88.24;96.08;620.91;7701.18;7122.24;965;6.99;0;0
NA;5;124;349.73;1138;826;421;304;87.1;96.77;733.56;8621.92;7370.82;1083.28;7.16;0;0
NA;6;141;396.64;1297;980.1;517;344;80.14;94.33;757.19;8589.45;6999.28;1153.83;6.9;0;0
NA;7;155;338.26;1066;701.6;439;302;91.61;96.77;731.73;8841.26;7269.86;1069.99;7.09;0;0
NA;8;158;369.32;1570;915.05;450;302;87.97;94.3;727;8439.38;6929.41;1096.32;6.86;0;0
NA;9;158;412.18;1290;1063.1;511.5;333;81.01;91.77;753.51;8789.28;7010.39;1165.68;6.91;0;0
NA;10;167;370.32;1519;914.2;478;305;85.63;95.21;729.05;8306.94;6884.51;1099.37;6.82;0;0
NA;11;169;355.35;1434;824.5;443.5;294;86.98;95.86;730.31;8493.92;6906.98;1085.66;6.84;1;0.01
NA;12;172;342.76;1221;874.6;447;294.5;89.53;95.93;637.62;7401.03;6747.99;980.37;6.73;1;0.01
NA;13;160;362.01;1177;844.4;463;320;88.12;96.25;694.92;8324.51;7164.41;1056.92;7.02;0;0
NA;14;152;374.3;1239;816.8;483.75;318;84.21;96.71;711.18;8311.03;7236.59;1085.48;7.07;0;0
NA;15;149;389.73;1211;905;498.5;329;81.88;95.3;694.15;8340.08;7304.77;1083.88;7.12;0;0
NA;16;165;384.15;1149;981;467;313;83.03;93.94;747.52;8928.93;7268.98;1131.66;7.09;0;0
NA;17;169;362.38;1149;915;464;297;86.39;95.27;746.17;8638.54;7321.99;1108.56;7.13;0;0
NA;18;168;366.24;1184;867.95;483.5;294.5;83.93;97.02;703.99;8155.39;7006.27;1070.23;6.91;0;0
NA;19;167;363.39;1207;891.2;445;310;85.03;95.81;730.58;8469.43;7205.29;1093.97;7.04;1;0.01
NA;20;175;387.7;1240;1024;438;310;84;92.57;769.81;8888.62;7278.93;1157.51;7.1;0;0
