runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;34;497.38;1119;1003.5;681.5;482.5;64.71;94.12;601.62;5667.55;4924.9;1099;5.46;6;0.15
NA;2;68;561.84;1207;1146.25;794.25;482;60.29;83.82;760.1;6767.86;5591.93;1321.94;5.92;3;0.04
NA;3;95;606.32;1375;1132;877;489;55.79;76.84;797.2;7305.19;6197.51;1403.52;6.35;5;0.05
NA;4;108;593.73;1227;1133.7;816.75;543;58.33;82.41;881.52;8296.07;7095.81;1475.25;6.98;10;0.08
NA;5;133;594.91;1265;1142.8;805;548;54.89;81.2;846.6;7967.42;6684.17;1441.51;6.69;7;0.05
NA;6;142;556.4;1381;1180.85;734.5;490.5;63.38;83.1;750.43;7362.74;6802.47;1306.83;6.77;4;0.03
NA;7;149;541.52;1227;1101.5;733.5;483;62.42;86.58;726.11;7000.68;6150.1;1267.63;6.31;7;0.04
NA;8;162;572.25;1381;1103.55;787.25;525;58.02;83.33;800.88;7272.74;6051;1373.13;6.24;9;0.05
NA;9;169;602.36;1550;1191;805;553;56.21;82.25;880.92;7734.44;6462.29;1483.27;6.53;4;0.02
NA;10;162;586.64;1761;1205.15;787;538.5;59.26;84.57;902.35;8214.76;6922.88;1488.99;6.85;14;0.08
NA;11;159;557.77;1702;1183;782;482;63.52;82.39;942.95;8689.91;6836.76;1500.72;6.79;20;0.11
NA;12;178;586.69;1359;1136.35;807;530;58.99;79.78;885.02;7941.33;6431.84;1471.7;6.51;11;0.06
NA;13;181;581.91;1302;1143.4;803;531;60.22;79.56;932.1;8447.93;6571.65;1514.01;6.61;10;0.05
NA;14;197;613.33;1330;1195.2;815.5;566;54.82;77.66;884.27;8138.8;6648.62;1497.6;6.66;9;0.04
NA;15;200;629.21;1397;1183.85;873.75;585.5;52.5;77;922.48;8310.91;6770.02;1551.68;6.75;8;0.04
NA;16;203;628.26;1575;1170.4;864;599;50.25;76.85;794.94;6934.61;5660.66;1423.19;5.97;13;0.06
NA;17;192;660.86;1420;1145.45;938.75;601;48.96;73.44;810.36;7135.39;5893.01;1471.22;6.13;13;0.06
NA;18;194;651.27;1766;1197.5;938.25;616.5;49.48;71.13;807.04;7180.97;5812.98;1458.3;6.07;14;0.07
NA;19;192;672.95;1766;1187.1;953.5;643;47.4;71.35;844.53;7724.23;6474.11;1517.48;6.54;8;0.04
NA;20;187;635.35;1613;1210.2;926;583;51.34;74.33;851.18;7827.1;6681.82;1486.52;6.68;7;0.04
